2020/03/25 06:06:24 UTC
Country,Td,Deaths/Mil.
SanMarino,10.735,618.882
Italy,7.339,112.786
Spain,4.636,64.004
Iran,13.589,22.995
France,5.435,16.867
Netherlands,4.865,16.083
Switzerland,4.205,14.094
Luxembourg,2.873,12.783
Belgium,4.598,10.517
UK,4.318,6.217
Iceland,5.094,5.861
Denmark,11.865,5.531
Sweden,8.420,3.967
Portugal,3.725,3.241
Austria,4.161,3.111
Cyprus,6.386,2.492
S.Korea,58.774,2.455
Total:,7.290,2.424
USA,2.570,2.366
China,1213.845,2.262
Norway,8.165,2.215
Slovenia,9.371,1.925
Greece,8.435,1.911
Germany,4.929,1.899
Bahrain,11.284,1.760
Albania,6.605,1.748
Mauritius,1.839,1.571
Ecuador,2.497,1.522
Ireland,3.202,1.417
Panama,2.960,1.395
NorthMacedonia,3.365,0.959
Hungary,4.145,0.914
BosniaandHerzegovina,3.322,0.911
Lithuania,2.629,0.737
PuertoRico,2.362,0.718
Canada,3.350,0.689
Iraq,7.398,0.684
Romania,4.346,0.620
Lebanon,5.566,0.591
DominicanRepublic,1.798,0.558
HongKong,6.385,0.537
Turkey,2.126,0.517
Malaysia,6.733,0.493
Algeria,3.856,0.432
Bulgaria,5.624,0.427
Paraguay,4.000,0.405
CostaRica,5.151,0.395
Tunisia,3.544,0.351
Israel,3.247,0.347
Serbia,3.961,0.347
Singapore,8.392,0.341
Japan,17.148,0.324
Philippines,4.827,0.317
Australia,3.438,0.314
Czechia,4.940,0.280
Poland,4.241,0.266
Indonesia,4.387,0.241
Brazil,2.787,0.225
Peru,4.604,0.219
UAE,6.173,0.202
Egypt,7.472,0.199
BurkinaFaso,2.788,0.175
Morocco,4.231,0.147
Argentina,3.054,0.140
Chile,3.583,0.104
Taiwan,6.300,0.083
Ghana,2.397,0.075
Ukraine,2.619,0.059
Thailand,3.564,0.058
Colombia,3.460,0.056
Mexico,3.535,0.033
Pakistan,4.210,0.029
DRC,2.608,0.022
Bangladesh,4.736,0.021
India,4.018,0.008
