2020/04/11 00:05:30 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3336,1480.465,2.322
Zambia,2,191.645,0.100
S.Korea,208,170.024,4.060
Taiwan,6,66.192,0.251
TrinidadandTobago,8,63.652,5.725
Martinique,6,60.213,15.987
Guadeloupe,8,50.908,19.972
Australia,54,41.519,2.121
Venezuela,9,39.980,0.309
Norway,113,37.621,20.850
SriLanka,7,35.931,0.332
HongKong,4,35.045,0.533
Austria,319,34.501,35.429
Jordan,7,34.353,0.677
Lebanon,20,30.711,2.923
Luxembourg,54,29.163,86.269
Iceland,7,29.007,20.515
Italy,18849,28.713,311.772
Slovenia,45,28.261,21.647
Syria,2,28.234,0.105
Jamaica,4,28.072,1.333
Thailand,33,27.056,0.467
Greece,92,26.368,8.829
Latvia,3,26.329,1.588
Senegal,2,25.449,0.121
Switzerland,1002,25.375,115.786
Estonia,24,25.368,18.086
Tunisia,25,25.087,2.124
Armenia,12,24.718,4.047
Iran,4232,24.071,50.393
Uruguay,7,23.871,2.013
Palestine,2,22.890,0.390
Malaysia,70,21.919,2.158
Albania,23,21.803,8.017
Bulgaria,25,20.821,3.583
Spain,16081,20.376,343.926
Montenegro,2,19.742,3.183
Myanmar,3,19.307,0.056
Barbados,4,19.144,13.910
Andorra,26,19.072,336.486
Lithuania,22,18.729,8.082
Czechia,119,17.764,11.107
Israel,95,17.210,10.971
Germany,2767,17.206,33.022
Croatia,21,17.117,5.113
SouthAfrica,24,16.974,0.407
SaintMartin,2,16.866,51.750
CostaRica,3,16.522,0.591
Paraguay,6,16.422,0.837
Bahrain,6,16.392,3.529
NewZealand,2,16.147,0.415
Philippines,221,15.938,2.002
SanMarino,34,15.394,1002.012
Bermuda,4,15.362,64.250
France,13197,14.794,202.179
Netherlands,2511,14.762,146.548
Cyprus,10,14.522,8.286
AntiguaandBarbuda,2,14.420,20.381
Algeria,256,14.190,5.815
BurkinaFaso,26,14.157,1.219
Mayotte,2,13.690,7.330
Denmark,247,13.638,42.659
World,102667,13.434,13.186
Total:,102667,13.434,13.174
Zimbabwe,3,13.195,0.208
Belgium,3019,13.135,260.499
Honduras,23,13.132,2.348
Nigeria,7,13.001,0.023
DRC,20,12.993,0.186
Iraq,70,12.898,1.751
Argentina,82,12.828,1.827
BosniaandHerzegovina,36,12.814,10.988
Portugal,435,12.590,42.651
Finland,48,12.565,8.667
Georgia,3,12.556,0.756
NorthMacedonia,32,12.549,15.347
Kenya,7,11.967,0.148
Sweden,870,11.904,86.147
Romania,270,11.714,14.026
Slovakia,2,11.624,0.366
Kazakhstan,10,11.126,0.530
Haiti,2,11.071,0.194
Chile,65,10.874,3.399
Canada,569,10.351,15.081
Tanzania,3,10.323,0.047
Guyana,6,10.206,7.622
Cameroon,12,10.175,0.454
Mauritius,9,10.026,7.075
Morocco,107,9.810,2.882
Poland,181,9.786,4.772
Malta,2,9.770,4.531
Pakistan,66,9.505,0.295
USA,18699,9.500,56.483
SaudiArabia,47,9.401,1.352
Egypt,135,9.389,1.355
Indonesia,306,9.366,1.133
Sudan,2,9.144,0.047
Ethiopia,3,9.039,0.028
ChannelIslands,9,8.990,51.761
Afghanistan,15,8.738,0.374
Oman,3,8.694,0.589
Bahamas,8,8.670,20.381
Hungary,77,8.625,7.959
Ireland,287,8.609,58.117
UK,8958,8.581,131.896
DominicanRepublic,126,8.576,11.638
Singapore,7,8.473,1.195
Panama,74,8.434,17.144
Ghana,6,7.930,0.190
Togo,3,7.862,0.355
Japan,99,7.659,0.788
Qatar,6,7.585,2.083
Angola,2,7.559,0.063
Azerbaijan,10,7.546,0.989
Serbia,71,7.486,8.118
Moldova,29,7.485,7.179
Bolivia,19,7.391,1.631
Colombia,80,7.255,1.585
Cuba,15,7.219,1.330
Turkey,1006,7.183,11.936
Ukraine,69,7.125,1.566
Mexico,194,6.813,1.522
Ecuador,297,6.684,16.839
Kyrgyzstan,5,6.671,0.772
ElSalvador,6,6.585,0.923
Brazil,1068,6.510,5.019
Mali,7,6.449,0.322
SintMaarten,8,6.248,186.560
IvoryCoast,3,6.147,0.112
Guatemala,3,6.117,0.167
UAE,16,6.041,1.619
Uzbekistan,3,5.691,0.091
India,249,5.376,0.197
Belize,2,5.295,5.000
Russia,94,5.252,0.647
Congo,5,4.836,0.917
Peru,169,3.986,5.130
Niger,11,3.748,0.452
Liberia,5,3.709,0.946
Belarus,19,3.225,2.014
Bangladesh,27,2.694,0.191
