2020/10/15 05:24:39 JST
北海道,2390,107
青森県,39,1
岩手県,24,0
宮城県,491,2
秋田県,59,0
山形県,81,1
福島県,319,5
茨城県,710,17
栃木県,444,1
群馬県,763,19
埼玉県,5131,102
千葉県,4346,74
東京都,27959,423
神奈川県,7591,151
新潟県,179,0
富山県,422,26
石川県,782,47
福井県,249,11
山梨県,197,6
長野県,320,2
岐阜県,636,10
静岡県,567,2
愛知県,5557,91
三重県,542,7
滋賀県,518,8
京都府,1863,27
大阪府,11249,224
兵庫県,2913,59
奈良県,603,9
和歌山県,252,4
鳥取県,36,0
島根県,140,0
岡山県,164,1
広島県,641,3
山口県,209,2
徳島県,149,9
香川県,96,2
愛媛県,115,6
高知県,139,4
福岡県,5105,99
佐賀県,249,0
長崎県,241,3
熊本県,714,8
大分県,158,2
宮崎県,344,1
鹿児島県,456,12
沖縄県,2769,49
