2020/04/17 03:51:18 JST
北海道,302,13
青森県,22,0
岩手県,0,
宮城県,65,0
秋田県,16,0
山形県,45,0
福島県,40,0
茨城県,119,5
栃木県,39,0
群馬県,107,4
埼玉県,479,7
千葉県,525,5
東京都,2457,19
神奈川県,614,15
新潟県,46,0
富山県,54,0
石川県,140,4
福井県,100,2
山梨県,39,0
長野県,36,0
岐阜県,128,1
静岡県,47,0
愛知県,350,24
三重県,20,0
滋賀県,52,0
京都府,215,3
大阪府,969,8
兵庫県,423,15
奈良県,53,1
和歌山県,37,1
鳥取県,1,0
島根県,13,0
岡山県,16,0
広島県,67,0
山口県,28,0
徳島県,3,0
香川県,20,0
愛媛県,40,2
高知県,62,0
福岡県,433,6
佐賀県,17,0
長崎県,15,0
熊本県,31,1
大分県,50,0
宮崎県,17,0
鹿児島県,4,0
沖縄県,86,0
