2020/04/07 03:21:57 JST
北海道,194,8
青森県,11,0
岩手県,0,0
宮城県,23,0
秋田県,11,0
山形県,10,0
福島県,16,0
茨城県,64,2
栃木県,14,0
群馬県,26,1
埼玉県,174,4
千葉県,238,1
東京都,1040,12
神奈川県,226,6
新潟県,32,0
富山県,10,0
石川県,43,0
福井県,51,2
山梨県,13,0
長野県,12,0
岐阜県,50,1
静岡県,10,0
愛知県,227,20
三重県,13,0
滋賀県,18,0
京都府,111,0
大阪府,409,3
兵庫県,195,11
奈良県,25,0
和歌山県,25,1
鳥取県,0,0
島根県,0,0
岡山県,11,0
広島県,16,0
山口県,8,0
徳島県,3,0
香川県,2,0
愛媛県,12,1
高知県,31,0
福岡県,109,0
佐賀県,8,0
長崎県,9,0
熊本県,20,0
大分県,31,0
宮崎県,6,0
鹿児島県,3,0
沖縄県,9,0
