2020/05/19 04:30:16 JST
北海道,1006,74
青森県,27,0
岩手県,0,0
宮城県,88,1
秋田県,16,0
山形県,69,0
福島県,81,0
茨城県,168,9
栃木県,60,0
群馬県,147,18
埼玉県,988,46
千葉県,898,42
東京都,5055,237
神奈川県,1251,63
新潟県,83,0
富山県,225,18
石川県,287,21
福井県,122,8
山梨県,57,0
長野県,76,-
岐阜県,150,7
静岡県,73,1
愛知県,504,34
三重県,45,1
滋賀県,99,1
京都府,358,13
大阪府,1768,70
兵庫県,699,38
奈良県,90,2
和歌山県,63,3
鳥取県,3,0
島根県,24,0
岡山県,25,-
広島県,165,2
山口県,37,0
徳島県,5,1
香川県,28,0
愛媛県,71,3
高知県,74,3
福岡県,657,25
佐賀県,47,0
長崎県,17,1
熊本県,48,0
大分県,60,1
宮崎県,17,0
鹿児島県,10,0
沖縄県,142,6
