2020/05/10 17:22:25 JST
北海道,928,47
青森県,27,不明
岩手県,0,0
宮城県,88,0
秋田県,16,不明
山形県,69,不明
福島県,81,0
茨城県,168,9
栃木県,54,不明
群馬県,147,18
埼玉県,946,41
千葉県,876,38
東京都,4810,171
神奈川県,1150,47
新潟県,82,不明
富山県,216,13
石川県,275,16
福井県,122,8
山梨県,56,0
長野県,74,不明
岐阜県,150,6
静岡県,73,1
愛知県,491,34
三重県,45,1
滋賀県,97,1
京都府,347,13
大阪府,1716,59
兵庫県,681,32
奈良県,89,2
和歌山県,62,2
鳥取県,3,0
島根県,24,不明
岡山県,23,不明
広島県,165,2
山口県,37,不明
徳島県,5,不明
香川県,28,0
愛媛県,48,3
高知県,74,3
福岡県,651,24
佐賀県,45,0
長崎県,17,1
熊本県,48,2
大分県,60,1
宮崎県,17,不明
鹿児島県,11,不明
沖縄県,142,5
