2020/07/22 07:22:10 JST
北海道,1348,102
青森県,30,1
岩手県,0,0
宮城県,132,1
秋田県,16,0
山形県,75,1
福島県,84,0
茨城県,226,10
栃木県,133,0
群馬県,167,19
埼玉県,1783,69
千葉県,1318,46
東京都,9579,327
神奈川県,2009,98
新潟県,90,0
富山県,231,22
石川県,303,27
福井県,126,8
山梨県,78,1
長野県,84,-
岐阜県,180,7
静岡県,109,1
愛知県,640,34
三重県,57,1
滋賀県,111,1
京都府,539,18
大阪府,2469,86
兵庫県,834,45
奈良県,156,2
和歌山県,93,3
鳥取県,5,0
島根県,25,0
岡山県,43,-
広島県,209,3
山口県,42,0
徳島県,10,1
香川県,44,0
愛媛県,83,5
高知県,76,3
福岡県,1028,33
佐賀県,48,0
長崎県,40,1
熊本県,50,3
大分県,60,1
宮崎県,20,0
鹿児島県,170,0
沖縄県,153,7
