2020/10/29 07:19:19 JST
北海道,2804,109
青森県,187,1
岩手県,27,0
宮城県,602,2
秋田県,61,0
山形県,84,1
福島県,386,6
茨城県,743,18
栃木県,477,1
群馬県,870,19
埼玉県,5653,106
千葉県,4836,77
東京都,30127,450
神奈川県,8389,163
新潟県,182,0
富山県,422,26
石川県,799,49
福井県,256,11
山梨県,203,6
長野県,334,4
岐阜県,672,11
静岡県,596,2
愛知県,5869,92
三重県,555,7
滋賀県,539,9
京都府,1974,30
大阪府,12089,235
兵庫県,3142,61
奈良県,626,9
和歌山県,272,4
鳥取県,37,0
島根県,141,0
岡山県,206,1
広島県,656,5
山口県,213,2
徳島県,164,9
香川県,101,2
愛媛県,116,6
高知県,142,4
福岡県,5189,101
佐賀県,254,0
長崎県,244,3
熊本県,769,8
大分県,159,3
宮崎県,367,1
鹿児島県,463,12
沖縄県,3194,58
