2020/07/05 04:15:32 JST
北海道,1275,101
青森県,27,1
岩手県,0,0
宮城県,95,1
秋田県,16,0
山形県,69,0
福島県,82,0
茨城県,182,10
栃木県,84,0
群馬県,154,19
埼玉県,1191,65
千葉県,987,45
東京都,6523,325
神奈川県,1545,96
新潟県,84,0
富山県,228,22
石川県,300,27
福井県,122,8
山梨県,75,1
長野県,77,-
岐阜県,160,7
静岡県,86,1
愛知県,525,34
三重県,46,1
滋賀県,103,1
京都府,386,18
大阪府,1851,86
兵庫県,709,45
奈良県,92,2
和歌山県,64,3
鳥取県,4,0
島根県,24,0
岡山県,28,-
広島県,169,3
山口県,37,0
徳島県,6,1
香川県,28,0
愛媛県,82,5
高知県,74,3
福岡県,858,33
佐賀県,47,0
長崎県,17,1
熊本県,49,3
大分県,60,1
宮崎県,17,0
鹿児島県,21,0
沖縄県,142,7
