Date,High,Low,Open,Close,Volume,Adj Close
2016-01-04,5640.0,5500.0,5640.0,5500.0,5680.0,5500.0
2016-01-05,5500.0,5470.0,5470.0,5490.0,2960.0,5490.0
2016-01-06,5460.0,5380.0,5450.0,5400.0,3970.0,5400.0
2016-01-07,5530.0,5210.0,5390.0,5210.0,9040.0,5210.0
2016-01-08,5300.0,5100.0,5140.0,5250.0,7630.0,5250.0
2016-01-12,5220.0,5100.0,5170.0,5150.0,6090.0,5150.0
2016-01-13,5270.0,5210.0,5210.0,5270.0,5500.0,5270.0
2016-01-14,5040.0,4970.0,5000.0,4995.0,9160.0,4995.0
2016-01-15,5140.0,5030.0,5120.0,5050.0,9660.0,5050.0
2016-01-18,4990.0,4910.0,4930.0,4970.0,10790.0,4970.0
2016-01-19,4995.0,4910.0,4950.0,4995.0,5730.0,4995.0
2016-01-20,4940.0,4800.0,4940.0,4820.0,4300.0,4820.0
2016-01-21,4980.0,4885.0,4930.0,4910.0,3930.0,4910.0
2016-01-22,5040.0,4915.0,4915.0,5040.0,3100.0,5040.0
2016-01-25,5130.0,5080.0,5130.0,5110.0,4120.0,5110.0
2016-01-26,5050.0,4980.0,5030.0,4980.0,2660.0,4980.0
2016-01-27,5080.0,5020.0,5050.0,5060.0,5020.0,5060.0
2016-01-28,5040.0,4980.0,5000.0,5030.0,1810.0,5030.0
2016-01-29,5170.0,4990.0,5010.0,5080.0,1830.0,5080.0
2016-02-01,5280.0,5210.0,5250.0,5270.0,3610.0,5270.0
2016-02-02,5270.0,5190.0,5260.0,5200.0,1300.0,5200.0
2016-02-03,5100.0,5050.0,5080.0,5090.0,3630.0,5090.0
2016-02-04,5080.0,5000.0,5020.0,5040.0,2740.0,5040.0
2016-02-05,4945.0,4925.0,4940.0,4930.0,2920.0,4930.0
2016-02-08,4855.0,4780.0,4800.0,4850.0,3270.0,4850.0
2016-02-09,4705.0,4535.0,4660.0,4605.0,16270.0,4605.0
2016-02-10,4620.0,4535.0,4620.0,4540.0,6930.0,4540.0
2016-02-12,4565.0,4490.0,4505.0,4535.0,8210.0,4535.0
2016-02-15,4710.0,4590.0,4645.0,4695.0,8160.0,4695.0
2016-02-16,4800.0,4730.0,4765.0,4800.0,2760.0,4800.0
2016-02-17,4785.0,4680.0,4740.0,4705.0,3190.0,4705.0
2016-02-18,4895.0,4840.0,4895.0,4885.0,3430.0,4885.0
2016-02-19,4795.0,4755.0,4795.0,4785.0,2970.0,4785.0
2016-02-22,4800.0,4715.0,4745.0,4800.0,1890.0,4800.0
2016-02-23,4850.0,4780.0,4835.0,4780.0,1620.0,4780.0
2016-02-24,4730.0,4695.0,4710.0,4705.0,2770.0,4705.0
2016-02-25,4825.0,4765.0,4805.0,4825.0,1150.0,4825.0
2016-02-26,4895.0,4860.0,4865.0,4875.0,1000.0,4875.0
2016-02-29,4895.0,4805.0,4895.0,4810.0,1460.0,4810.0
2016-03-01,4820.0,4770.0,4800.0,4810.0,970.0,4810.0
2016-03-02,5030.0,4990.0,4990.0,5020.0,5250.0,5020.0
2016-03-03,5040.0,4980.0,4980.0,5040.0,1590.0,5040.0
2016-03-04,4995.0,4970.0,4975.0,4990.0,1630.0,4990.0
2016-03-07,4980.0,4960.0,4980.0,4970.0,1600.0,4970.0
2016-03-08,4970.0,4880.0,4970.0,4880.0,5260.0,4880.0
2016-03-09,4890.0,4850.0,4860.0,4880.0,5350.0,4880.0
2016-03-10,4985.0,4950.0,4950.0,4980.0,970.0,4980.0
2016-03-11,4980.0,4930.0,4930.0,4980.0,1280.0,4980.0
2016-03-14,5050.0,5010.0,5040.0,5030.0,670.0,5030.0
2016-03-15,5070.0,5000.0,5020.0,5000.0,1070.0,5000.0
2016-03-16,5050.0,5000.0,5000.0,5020.0,310.0,5020.0
2016-03-17,5090.0,5000.0,5090.0,5020.0,1060.0,5020.0
2016-03-18,5020.0,5000.0,5020.0,5010.0,590.0,5010.0
2016-03-22,5030.0,5000.0,5030.0,5020.0,3290.0,5020.0
2016-03-23,5070.0,5040.0,5060.0,5070.0,810.0,5070.0
2016-03-24,5040.0,5010.0,5010.0,5040.0,2230.0,5040.0
2016-03-25,5080.0,5020.0,5080.0,5020.0,950.0,5020.0
2016-03-28,5100.0,5070.0,5080.0,5080.0,2010.0,5080.0
2016-03-29,5100.0,5060.0,5080.0,5100.0,3780.0,5100.0
2016-03-30,5130.0,5110.0,5130.0,5110.0,2600.0,5110.0
2016-03-31,5140.0,5110.0,5120.0,5110.0,1170.0,5110.0
2016-04-01,5120.0,5060.0,5110.0,5080.0,3540.0,5080.0
2016-04-04,5150.0,5100.0,5120.0,5150.0,4450.0,5150.0
2016-04-05,5110.0,5040.0,5110.0,5070.0,1450.0,5070.0
2016-04-06,5050.0,5000.0,5000.0,5040.0,1750.0,5040.0
2016-04-07,5060.0,5010.0,5040.0,5020.0,1010.0,5020.0
2016-04-08,4990.0,4925.0,4945.0,4980.0,5160.0,4980.0
2016-04-11,4940.0,4890.0,4940.0,4895.0,3120.0,4895.0
2016-04-12,4925.0,4880.0,4895.0,4910.0,1470.0,4910.0
2016-04-13,4990.0,4960.0,4980.0,4990.0,1900.0,4990.0
2016-04-14,5080.0,5040.0,5040.0,5040.0,2640.0,5040.0
2016-04-15,5080.0,5030.0,5030.0,5060.0,1700.0,5060.0
2016-04-18,4990.0,4915.0,4990.0,4940.0,3740.0,4940.0
2016-04-19,5070.0,5040.0,5040.0,5050.0,920.0,5050.0
2016-04-20,5020.0,5000.0,5020.0,5000.0,1770.0,5000.0
2016-04-21,5080.0,5050.0,5050.0,5060.0,730.0,5060.0
2016-04-22,5030.0,4985.0,5020.0,5030.0,750.0,5030.0
2016-04-25,5080.0,5020.0,5080.0,5030.0,1570.0,5030.0
2016-04-26,5060.0,5040.0,5050.0,5060.0,990.0,5060.0
2016-04-27,5000.0,4980.0,5000.0,4980.0,1100.0,4980.0
2016-04-28,5040.0,4860.0,5000.0,4885.0,3310.0,4885.0
2016-05-02,4700.0,4615.0,4700.0,4700.0,9690.0,4700.0
2016-05-06,4725.0,4670.0,4700.0,4725.0,4190.0,4725.0
2016-05-09,4775.0,4725.0,4740.0,4730.0,4210.0,4730.0
2016-05-10,4830.0,4765.0,4780.0,4820.0,2090.0,4820.0
2016-05-11,4900.0,4850.0,4890.0,4860.0,1390.0,4860.0
2016-05-12,4840.0,4790.0,4810.0,4830.0,1570.0,4830.0
2016-05-13,4820.0,4785.0,4815.0,4790.0,5140.0,4790.0
2016-05-16,4795.0,4760.0,4760.0,4785.0,970.0,4785.0
2016-05-17,4865.0,4790.0,4790.0,4865.0,2400.0,4865.0
2016-05-18,4805.0,4775.0,4800.0,4800.0,800.0,4800.0
2016-05-19,4855.0,4825.0,4850.0,4850.0,1570.0,4850.0
2016-05-20,4855.0,4830.0,4835.0,4850.0,610.0,4850.0
2016-05-23,4880.0,4855.0,4870.0,4880.0,1040.0,4880.0
2016-05-24,4850.0,4835.0,4850.0,4835.0,330.0,4835.0
2016-05-25,4985.0,4965.0,4965.0,4965.0,4000.0,4965.0
2016-05-26,5000.0,4970.0,4990.0,4970.0,2880.0,4970.0
2016-05-27,5020.0,4985.0,4985.0,5000.0,1820.0,5000.0
2016-05-30,5110.0,5080.0,5090.0,5100.0,5080.0,5100.0
2016-05-31,5120.0,5080.0,5080.0,5100.0,1200.0,5100.0
2016-06-01,5100.0,5030.0,5100.0,5040.0,1490.0,5040.0
2016-06-02,5050.0,5000.0,5050.0,5010.0,1220.0,5010.0
2016-06-03,5030.0,4985.0,5000.0,4985.0,1720.0,4985.0
2016-06-06,4915.0,4860.0,4900.0,4915.0,2360.0,4915.0
2016-06-07,4970.0,4940.0,4940.0,4970.0,620.0,4970.0
2016-06-08,4925.0,4900.0,4925.0,4915.0,1250.0,4915.0
2016-06-09,4925.0,4880.0,4920.0,4890.0,1440.0,4890.0
2016-06-10,4915.0,4895.0,4900.0,4915.0,1360.0,4915.0
2016-06-13,4845.0,4775.0,4845.0,4775.0,3970.0,4775.0
2016-06-14,4775.0,4755.0,4770.0,4765.0,2370.0,4765.0
2016-06-15,4780.0,4755.0,4760.0,4780.0,1310.0,4780.0
2016-06-16,4780.0,4650.0,4780.0,4650.0,7150.0,4650.0
2016-06-17,4770.0,4685.0,4690.0,4695.0,4880.0,4695.0
2016-06-20,4740.0,4680.0,4680.0,4705.0,5120.0,4705.0
2016-06-21,4695.0,4635.0,4635.0,4695.0,6800.0,4695.0
2016-06-22,4695.0,4675.0,4680.0,4695.0,2220.0,4695.0
2016-06-23,4735.0,4690.0,4690.0,4705.0,2800.0,4705.0
2016-06-24,4785.0,4335.0,4775.0,4405.0,9330.0,4405.0
2016-06-27,4430.0,4380.0,4400.0,4400.0,9950.0,4400.0
2016-06-28,4395.0,4335.0,4340.0,4380.0,3870.0,4380.0
2016-06-29,4490.0,4460.0,4485.0,4460.0,1870.0,4460.0
2016-06-30,4580.0,4535.0,4565.0,4565.0,3200.0,4565.0
2016-07-01,4635.0,4580.0,4635.0,4595.0,1860.0,4595.0
2016-07-04,4635.0,4625.0,4625.0,4630.0,1150.0,4630.0
2016-07-05,4640.0,4570.0,4630.0,4590.0,1240.0,4590.0
2016-07-06,4580.0,4490.0,4520.0,4510.0,4080.0,4510.0
2016-07-07,4565.0,4505.0,4560.0,4505.0,1630.0,4505.0
2016-07-08,4575.0,4525.0,4555.0,4540.0,3850.0,4540.0
2016-07-11,4675.0,4630.0,4630.0,4670.0,2450.0,4670.0
2016-07-12,4775.0,4735.0,4745.0,4775.0,4230.0,4775.0
2016-07-13,4880.0,4810.0,4880.0,4830.0,3170.0,4830.0
2016-07-14,4885.0,4825.0,4830.0,4885.0,1850.0,4885.0
2016-07-15,4975.0,4875.0,4910.0,4875.0,3920.0,4875.0
2016-07-19,4980.0,4920.0,4980.0,4955.0,2780.0,4955.0
2016-07-20,4975.0,4940.0,4975.0,4960.0,1360.0,4960.0
2016-07-21,5080.0,5030.0,5050.0,5040.0,3240.0,5040.0
2016-07-22,4995.0,4960.0,4995.0,4975.0,2510.0,4975.0
2016-07-25,5090.0,5000.0,5020.0,5000.0,3610.0,5000.0
2016-07-26,5000.0,4900.0,5000.0,4945.0,2240.0,4945.0
2016-07-27,5050.0,5000.0,5000.0,5040.0,4580.0,5040.0
2016-07-28,5040.0,4940.0,5020.0,5000.0,1780.0,5000.0
2016-07-29,5100.0,4940.0,5030.0,4960.0,1970.0,4960.0
2016-08-01,4950.0,4920.0,4935.0,4940.0,2310.0,4940.0
2016-08-02,4985.0,4930.0,4985.0,4950.0,2940.0,4950.0
2016-08-03,4840.0,4820.0,4825.0,4825.0,4860.0,4825.0
2016-08-04,4870.0,4845.0,4860.0,4870.0,3740.0,4870.0
2016-08-05,4880.0,4870.0,4870.0,4880.0,2220.0,4880.0
2016-08-08,4945.0,4930.0,4945.0,4945.0,2720.0,4945.0
2016-08-09,4945.0,4930.0,4945.0,4930.0,320.0,4930.0
2016-08-10,4930.0,4890.0,4930.0,4890.0,1400.0,4890.0
2016-08-12,4950.0,4945.0,4945.0,4950.0,1090.0,4950.0
2016-08-15,4935.0,4920.0,4925.0,4935.0,1100.0,4935.0
2016-08-16,4945.0,4880.0,4945.0,4880.0,4020.0,4880.0
2016-08-17,4890.0,4850.0,4850.0,4890.0,1040.0,4890.0
2016-08-18,4865.0,4845.0,4855.0,4860.0,1780.0,4860.0
2016-08-19,4885.0,4810.0,4870.0,4880.0,100.0,4880.0
2016-08-22,4895.0,4870.0,4890.0,4895.0,2210.0,4895.0
2016-08-23,4880.0,4860.0,4880.0,4870.0,1130.0,4870.0
