Date,High,Low,Open,Close,Volume,Adj Close,Ma25,Ma75,Ma25&75 Signal,MACD,MACD Signal,MACD Hist,MACDw,MACDw Signal,MACDw Hist,MACDm,MACDm Signal,MACDm Hist,RSI
2018-12-31,6365.39013671875,6273.93994140625,6354.85009765625,6329.97021484375,2098560000,6329.97021484375,,,,0.0,,,0.0,,,0.0,,,
2019-01-02,6394.740234375,6198.68017578125,6198.68017578125,6360.8701171875,2261800000,6360.8701171875,,,,2.464949474714558,,,0.5413573179985178,,,0.09206152339902474,,,
2019-01-03,6292.68017578125,6139.39990234375,6274.759765625,6147.1298828125,2607290000,6147.1298828125,,,,-12.682415923724875,,,-2.6879666332570196,,,-0.4534290133651666,,,
2019-01-04,6445.2001953125,6234.58984375,6250.0498046875,6422.669921875,2579550000,6422.669921875,,,,-2.4250789639700088,,,-0.9349979507051103,,,-0.17357252733927453,,,
2019-01-07,6521.43994140625,6412.97998046875,6434.5498046875,6488.25,2507550000,6488.25,,,,10.870391598105925,,,1.8840228942717658,,,0.2994090704196424,,,
2019-01-08,6574.72998046875,6457.0,6555.91015625,6551.85009765625,2378290000,6551.85009765625,,,,26.236703770623535,,,5.682301611755975,,,0.958048257361952,,,
2019-01-09,6631.06005859375,6549.43994140625,6576.5400390625,6600.68994140625,2422590000,6600.68994140625,,,,41.872899375637644,,,10.15277442333445,,,1.7568583992588174,,,
2019-01-10,6625.10986328125,6517.5400390625,6551.0498046875,6620.93994140625,2179080000,6620.93994140625,,,,55.261680554771374,,,14.76035263272388,,,2.609515571006341,,,
2019-01-11,6604.56005859375,6562.0400390625,6579.89013671875,6601.39990234375,2066500000,6601.39990234375,,,,63.56295408267124,20.573564885425487,42.98938919724576,18.79910008265324,5.355216042086188,13.443884040567053,3.3970239022992246,0.9428794647822846,2.45414443751694,
2019-01-14,6566.8701171875,6512.64013671875,6536.3701171875,6541.0400390625,1942210000,6541.0400390625,,,,64.52740488599466,27.743276539424894,36.78412834656976,21.578893548015003,7.752870880754522,13.826022667260482,3.998282655676121,1.3871330931907424,2.6111495624853784,
2019-01-15,6674.52978515625,6567.31982421875,6571.14990234375,6669.64013671875,2038090000,6669.64013671875,,,,74.80637094224858,35.78121225803979,39.02515868420879,26.468732887590704,10.633690388486988,15.835042499103716,4.977766707760566,1.9299892247864692,3.0477774829740962,
2019-01-16,6720.41015625,6665.0498046875,6677.3798828125,6668.56005859375,2149580000,6668.56005859375,,,,81.92103759239217,46.2927070931639,35.62833049922827,31.093871336403026,14.387227940671437,16.70664339573159,5.946041321236407,2.641041484186644,3.3049998370497633,
2019-01-17,6747.27978515625,6637.10009765625,6646.18994140625,6718.4501953125,2128840000,6718.4501953125,,,,90.54147350847506,56.622324034546686,33.91914947392838,36.35756453990507,18.53084599518368,17.82671854472139,7.055041350880856,3.444220803988881,3.610820546891975,
2019-01-18,6816.22998046875,6727.93994140625,6771.52001953125,6784.60986328125,2451240000,6784.60986328125,,,,101.54125893871515,66.69686485016993,34.844394088545215,42.51184963930791,23.045048966854363,19.466800672453548,8.352085619782883,4.338962642807019,4.013122976975865,
