2020/06/10 00:19:41 UTC,,,,
Continent,Country,Total deaths,Td,Deaths/Mil.
Africa,Guinea-Bissau,12,132.349,6.108
Asia,Bangladesh,975,18.5,5.917
Africa,Morocco,210,77.037,5.7
Asia,India,7750,20.063,5.613
Africa,Somalia,85,40.943,5.348
Asia,S. Korea,274,217.054,5.34
Europe,Slovakia,28,1235.649,5.121
Asia,Tajikistan,48,43.132,5.035
North America,Belize,2,46.052,5
North America,Haiti,54,14.085,4.747
Africa,Mali,94,35.996,4.623
Asia,Lebanon,30,56.804,4.386
Asia,Yemen,127,21.698,4.363
Africa,Congo,24,27.694,4.352
Africa,Chad,71,168.192,4.29
Asia,Singapore,25,86.158,4.275
Australia/Oceania,Australia,102,925.459,4
Asia,Kyrgyzstan,24,51.726,3.679
Asia,Malaysia,117,108.065,3.621
South America,Suriname,2,7.878,3.416
North America,Jamaica,10,320.497,3.372
Asia,Georgia,13,218.063,3.258
Asia,Kazakhstan,61,47.169,3.252
Asia,China,4634,18312.444,3.237
Africa,Senegal,52,35.038,3.109
Africa,Niger,65,361.098,2.669
Africa,Eswatini,3,21.167,2.588
Africa,Burkina Faso,53,615.165,2.558
Africa,Comoros,2,73.562,2.298
North America,Costa Rica,11,28.108,2.16
Africa,Nigeria,365,25.926,1.762
Africa,Guinea,23,61.111,1.756
Africa,South Sudan,19,10.14,1.694
Africa,Kenya,88,16.215,1.649
Africa,Togo,13,47.142,1.583
Africa,Ghana,48,27.445,1.548
South America,Paraguay,11,46.757,1.548
Africa,Ivory Coast,38,19.376,1.446
Africa,CAR,5,10.649,1.035
Africa,DRC,90,24.542,1.014
Asia,Jordan,9,44.12,0.884
Asia,Thailand,58,406.844,0.836
South America,Venezuela,22,15.797,0.774
Africa,Libya,5,8.017,0.724
Asia,Palestine,3,94.796,0.586
Africa,Zambia,10,49.989,0.542
Asia,Uzbekistan,18,29.903,0.538
Asia,Hong Kong,4,381.572,0.534
Asia,Sri Lanka,11,70.287,0.515
Asia,Nepal,15,8.443,0.514
Asia,Syria,6,28.305,0.329
Africa,Benin,4,21.744,0.328
Africa,Madagascar,9,21.49,0.324
Africa,Ethiopia,32,10.726,0.274
Africa,Zimbabwe,4,13.994,0.268
Africa,Malawi,4,23.16,0.211
Africa,Rwanda,2,31.55,0.156
Africa,Angola,4,44.109,0.125
Asia,Myanmar,6,89.367,0.122
Africa,Mozambique,2,13.472,0.066
