都道府県,2020/04/02,2020/04/09,Td
山形県,0.714,17.714,1.511
福島県,5.000,24.429,3.059
石川県,14.429,60.143,3.399
宮城県,7.714,29.143,3.651
富山県,4.000,14.714,3.725
佐賀県,2.714,9.429,3.897
福岡県,44.286,147.714,4.028
広島県,6.000,19.571,4.104
沖縄県,8.571,27.143,4.209
宮崎県,3.143,9.714,4.300
静岡県,5.714,17.571,4.319
長崎県,3.571,10.714,4.417
滋賀県,8.000,23.286,4.541
山梨県,6.714,19.000,4.665
福井県,21.714,61.143,4.687
茨城県,26.429,73.143,4.766
岡山県,5.000,13.000,5.078
岐阜県,23.714,61.143,5.123
愛媛県,8.143,20.286,5.316
埼玉県,100.429,231.857,5.799
東京都,561.857,1292.000,5.827
神奈川県,133.000,305.714,5.830
長野県,8.286,18.000,6.254
高知県,17.714,38.000,6.357
山口県,6.143,13.000,6.472
奈良県,14.143,29.571,6.578
京都府,66.857,137.000,6.763
全国,2207.143,4459.429,6.899
大阪府,262.429,518.143,7.132
秋田県,6.000,11.143,7.838
千葉県,166.000,294.429,8.467
鹿児島県,1.714,3.000,8.670
香川県,1.714,2.714,10.559
兵庫県,150.714,234.571,10.968
熊本県,13.429,20.857,11.020
和歌山県,18.143,28.000,11.182
群馬県,19.286,29.286,11.615
栃木県,13.286,20.000,11.862
青森県,8.143,12.000,12.513
愛知県,178.714,263.143,12.541
大分県,29.000,35.857,22.860
徳島県,2.429,3.000,22.962
三重県,11.000,13.429,24.322
北海道,180.000,209.286,32.187
新潟県,31.143,35.571,36.493
