都道府県,2020/04/21,2020/04/28,Td
佐賀県,16.429,33.714,6.749
富山県,91.286,175.143,7.446
北海道,415.286,626.000,11.823
鳥取県,2.143,3.000,14.420
徳島県,3.571,5.000,14.420
石川県,172.000,231.714,16.281
滋賀県,69.714,93.857,16.317
和歌山県,43.143,56.571,17.905
長野県,50.143,65.143,18.540
鹿児島県,7.714,10.000,18.697
東京都,3021.714,3894.143,19.129
埼玉県,621.571,800.857,19.145
島根県,15.429,19.714,19.794
三重県,35.286,44.714,20.489
新潟県,54.429,68.571,21.006
全国,10373.714,13050.143,21.140
大阪府,1197.714,1501.714,21.451
神奈川県,758.714,948.000,21.784
奈良県,62.571,77.714,22.387
沖縄県,109.857,135.714,22.955
兵庫県,506.000,619.857,23.907
静岡県,51.429,63.000,23.909
千葉県,644.143,783.000,24.855
京都府,247.571,298.571,25.904
愛知県,394.714,474.714,26.291
福岡県,504.143,604.286,26.779
熊本県,37.429,44.429,28.300
群馬県,120.714,142.429,29.333
福島県,58.143,68.429,29.788
茨城県,137.000,159.143,32.385
岡山県,18.571,21.286,35.569
香川県,24.571,28.000,37.146
栃木県,46.714,53.143,37.632
広島県,130.143,145.571,43.308
山形県,59.857,66.143,48.590
高知県,66.143,72.429,53.446
福井県,110.286,120.714,53.701
大分県,55.286,60.000,59.294
山梨県,47.571,51.286,64.539
愛媛県,44.000,47.000,73.562
岐阜県,137.429,146.000,80.196
青森県,22.000,23.286,85.427
宮城県,81.143,85.571,91.306
山口県,30.143,31.429,116.162
秋田県,16.000,16.000,1000
長崎県,16.857,16.143,1000
宮崎県,17.000,17.000,1000
