都道府県,2020/04/18,2020/04/25,Td
鳥取県,1.286,3.000,5.726
富山県,64.571,144.143,6.042
鹿児島県,5.143,10.000,7.297
三重県,26.000,42.714,9.774
佐賀県,15.571,25.143,10.127
北海道,337.571,530.714,10.724
徳島県,3.000,4.714,10.735
滋賀県,58.143,85.286,12.665
広島県,98.286,140.714,13.521
沖縄県,90.286,128.857,13.640
長野県,42.286,59.714,14.059
埼玉県,521.857,733.714,14.240
石川県,148.000,207.286,14.403
大阪府,1012.143,1404.857,14.799
福島県,47.429,65.714,14.879
奈良県,53.143,73.429,15.006
東京都,2610.714,3563.143,15.600
全国,8979.714,12060.286,16.450
和歌山県,38.286,51.000,16.921
千葉県,558.143,738.857,17.298
神奈川県,665.286,875.429,17.676
山形県,49.429,65.000,17.717
熊本県,32.571,42.286,18.589
島根県,13.000,16.857,18.674
兵庫県,448.000,578.286,19.007
香川県,21.429,27.143,20.526
新潟県,48.857,61.857,20.566
福岡県,448.000,565.571,20.820
群馬県,107.714,135.000,21.489
栃木県,41.286,51.571,21.812
愛知県,361.286,446.857,22.826
京都府,225.143,277.000,23.408
茨城県,124.143,152.000,23.967
山梨県,42.000,50.429,26.530
大分県,49.714,59.286,27.556
宮城県,71.286,84.286,28.965
静岡県,48.714,57.143,30.405
福井県,101.000,118.429,30.480
愛媛県,40.571,46.857,33.685
岡山県,17.286,19.857,34.986
高知県,62.571,70.571,40.327
岐阜県,130.000,143.286,49.864
山口県,28.000,30.857,49.937
長崎県,15.714,16.429,109.153
秋田県,15.857,16.000,540.998
青森県,22.000,22.000,1000
宮崎県,17.000,17.000,1000
