都道府県,2020/04/07,2020/04/14,Td
香川県,2.143,10.857,2.990
静岡県,9.857,41.000,3.404
沖縄県,15.714,63.857,3.461
富山県,10.429,36.571,3.867
山形県,10.286,34.143,4.044
福岡県,102.000,335.857,4.071
広島県,14.429,46.714,4.130
群馬県,25.571,76.286,4.439
石川県,39.571,113.286,4.613
宮崎県,6.143,16.714,4.847
滋賀県,16.714,41.000,5.407
長野県,12.714,31.143,5.416
山梨県,13.857,33.000,5.592
宮城県,22.143,50.714,5.855
栃木県,15.143,34.571,5.878
福島県,16.571,37.714,5.900
岐阜県,46.429,103.857,6.027
埼玉県,173.857,386.714,6.069
神奈川県,232.000,510.429,6.153
山口県,10.000,21.857,6.205
愛媛県,15.429,33.143,6.346
東京都,1011.286,2055.429,6.841
全国,3544.000,7065.429,7.032
大阪府,413.143,810.429,7.201
高知県,29.143,57.143,7.206
兵庫県,192.714,367.857,7.505
千葉県,240.571,443.571,7.930
佐賀県,7.286,13.429,7.935
青森県,10.857,19.714,8.134
福井県,49.571,87.143,8.601
奈良県,24.714,42.571,8.922
京都府,113.286,191.429,9.249
長崎県,8.429,14.143,9.374
茨城県,61.143,101.286,9.613
岡山県,10.714,16.000,12.100
愛知県,228.571,328.714,13.354
熊本県,18.571,26.429,13.752
秋田県,10.000,14.143,13.998
和歌山県,24.429,34.143,14.492
三重県,12.571,17.143,15.644
北海道,194.571,264.714,15.761
大分県,32.571,43.429,16.866
新潟県,32.857,42.571,18.733
鹿児島県,3.000,3.714,22.718
徳島県,3.000,3.000,1000
