都道府県,2020/04/03,2020/04/10,Td
山形県,1.571,21.429,1.857
福島県,6.714,27.714,3.422
石川県,17.714,70.429,3.515
沖縄県,9.000,32.857,3.747
福岡県,50.857,185.571,3.748
宮崎県,3.286,11.571,3.854
静岡県,6.571,21.714,4.059
宮城県,10.286,32.857,4.178
富山県,5.429,16.571,4.348
広島県,7.286,22.143,4.365
佐賀県,3.429,10.286,4.417
山梨県,7.714,22.000,4.630
滋賀県,9.571,26.286,4.803
長崎県,4.429,11.571,5.052
福井県,26.286,67.143,5.174
岐阜県,27.571,68.000,5.375
愛媛県,9.286,22.857,5.386
茨城県,33.000,77.714,5.665
神奈川県,146.286,344.000,5.674
山口県,6.286,14.714,5.705
埼玉県,111.143,259.286,5.728
岡山県,6.000,13.857,5.797
長野県,9.000,20.429,5.919
東京都,637.429,1437.286,5.968
高知県,19.286,42.286,6.180
全国,2427.714,4948.714,6.813
奈良県,16.000,31.714,7.092
大阪府,290.429,572.286,7.153
京都府,76.571,147.857,7.374
千葉県,179.286,321.857,8.292
群馬県,20.714,37.000,8.364
秋田県,6.857,11.571,9.273
栃木県,13.714,22.571,9.738
兵庫県,158.857,259.714,9.870
香川県,1.857,3.000,10.117
和歌山県,18.714,29.714,10.494
鹿児島県,2.000,3.143,10.735
青森県,8.857,13.571,11.370
熊本県,14.286,21.857,11.409
愛知県,186.143,280.857,11.796
大分県,29.571,37.429,20.592
三重県,11.429,14.143,22.770
北海道,183.000,218.143,27.621
新潟県,31.286,36.857,29.606
徳島県,2.714,3.000,48.480
