都道府県,2020/04/14,2020/04/21,Td
広島県,46.714,130.143,4.736
富山県,36.571,91.286,5.304
香川県,10.857,24.571,5.941
島根県,6.857,15.429,5.983
鳥取県,1.000,2.143,6.366
鹿児島県,3.714,7.714,6.639
三重県,17.143,35.286,6.721
山形県,34.143,59.857,8.643
沖縄県,63.857,109.857,8.943
滋賀県,41.000,69.714,9.140
長野県,31.143,50.143,10.187
埼玉県,386.714,621.571,10.224
宮城県,50.714,81.143,10.323
群馬県,76.286,120.714,10.572
北海道,264.714,415.286,10.775
福島県,37.714,58.143,11.209
石川県,113.286,172.000,11.619
福岡県,335.857,504.143,11.946
神奈川県,510.429,758.714,12.241
大阪府,810.429,1197.714,12.422
東京都,2055.429,3021.714,12.592
奈良県,42.571,62.571,12.599
全国,7065.429,10373.714,12.633
千葉県,443.571,644.143,13.006
山梨県,33.000,47.571,13.267
熊本県,26.429,37.429,13.943
山口県,21.857,30.143,15.096
兵庫県,367.857,506.000,15.218
茨城県,101.286,137.000,16.064
栃木県,34.571,46.714,16.118
愛媛県,33.143,44.000,17.123
岐阜県,103.857,137.429,17.323
京都府,191.429,247.571,18.866
新潟県,42.571,54.429,19.747
大分県,43.429,55.286,20.100
福井県,87.143,110.286,20.601
和歌山県,34.143,43.143,20.738
静岡県,41.000,51.429,21.410
佐賀県,13.429,16.429,24.063
愛知県,328.714,394.714,26.518
長崎県,14.143,16.857,27.637
徳島県,3.000,3.571,27.829
岡山県,16.000,18.571,32.556
高知県,57.143,66.143,33.173
秋田県,14.143,16.000,39.326
青森県,19.714,22.000,44.230
宮崎県,16.714,17.000,286.263
