都道府県,2020/04/20,2020/04/27,Td
富山県,82.571,164.429,7.044
佐賀県,16.429,30.714,7.754
鳥取県,1.857,3.000,10.117
徳島県,3.286,5.000,11.556
北海道,390.857,589.857,11.790
鹿児島県,6.857,10.000,12.860
滋賀県,66.286,91.000,15.312
三重県,32.286,44.143,15.511
石川県,164.857,223.143,16.027
長野県,47.571,63.429,16.866
埼玉県,592.714,777.714,17.862
和歌山県,41.714,54.714,17.886
東京都,2898.429,3779.857,18.274
大阪府,1143.143,1466.286,19.490
奈良県,59.714,76.429,19.661
沖縄県,104.286,133.429,19.689
全国,9958.286,12702.857,19.933
神奈川県,729.857,921.429,20.817
新潟県,52.714,66.143,21.381
島根県,15.000,18.714,21.931
千葉県,618.571,768.429,22.366
兵庫県,488.429,606.143,22.471
福島県,54.714,67.286,23.460
愛知県,384.429,465.571,25.336
熊本県,36.000,43.571,25.419
京都府,240.571,291.143,25.430
福岡県,489.000,590.000,25.842
静岡県,50.571,60.857,26.207
群馬県,117.286,140.286,27.096
広島県,120.000,143.429,27.206
茨城県,133.143,156.857,29.601
栃木県,45.000,52.714,30.666
香川県,23.714,27.714,31.129
山形県,57.143,65.571,35.266
岡山県,18.143,20.714,36.606
福井県,107.714,120.143,44.433
大分県,53.857,60.000,44.922
山梨県,46.000,51.000,47.023
高知県,65.143,71.714,50.486
愛媛県,43.000,47.000,54.549
宮城県,78.429,85.000,60.301
岐阜県,135.714,145.143,72.239
山口県,29.714,31.286,94.153
青森県,22.000,22.714,151.856
秋田県,16.000,16.000,1000
長崎県,16.571,16.143,1000
宮崎県,17.000,17.000,1000
