都道府県,2020/04/06,2020/04/13,Td
沖縄県,12.429,56.143,3.218
静岡県,8.571,36.429,3.353
山形県,7.286,30.857,3.361
香川県,2.000,8.429,3.373
福岡県,86.429,297.000,3.931
富山県,9.143,30.857,3.989
広島県,12.000,40.429,3.995
宮崎県,4.857,16.000,4.070
石川県,32.286,102.714,4.192
福島県,13.286,36.143,4.848
群馬県,24.286,65.143,4.917
山梨県,11.857,30.571,5.123
滋賀県,14.429,37.000,5.152
長野県,11.286,28.714,5.196
宮城県,18.286,46.286,5.224
山口県,8.429,20.286,5.524
岐阜県,39.714,95.429,5.535
愛媛県,13.143,31.000,5.654
埼玉県,153.714,352.857,5.839
神奈川県,205.000,469.429,5.856
栃木県,14.143,32.000,5.942
東京都,903.571,1896.857,6.543
全国,3206.714,6526.143,6.828
高知県,26.714,53.571,6.973
佐賀県,6.286,12.571,7.000
大阪府,378.000,747.000,7.123
福井県,43.143,82.429,7.494
千葉県,220.286,413.857,7.694
長崎県,7.429,13.714,7.914
兵庫県,184.857,338.286,8.029
京都府,102.143,182.000,8.400
茨城県,53.571,95.286,8.426
青森県,10.286,18.286,8.433
奈良県,22.571,39.286,8.755
岡山県,9.143,15.857,8.812
愛知県,214.714,318.429,12.312
熊本県,17.429,25.286,13.039
秋田県,9.286,13.429,13.152
和歌山県,22.857,33.000,13.212
大分県,30.857,42.143,15.566
北海道,190.857,251.286,17.640
三重県,12.286,16.143,17.770
新潟県,32.000,41.286,19.044
鹿児島県,2.857,3.571,21.744
徳島県,3.000,3.000,1000
