都道府県,2020/04/24,2020/05/01,Td
佐賀県,22.429,38.857,8.829
富山県,132.000,192.857,12.797
北海道,504.857,722.714,13.525
島根県,16.000,22.714,13.847
静岡県,55.571,68.571,23.082
石川県,200.000,246.429,23.243
新潟県,60.000,73.857,23.351
和歌山県,49.286,60.429,23.805
東京都,3445.000,4152.000,25.993
埼玉県,710.286,840.857,28.752
神奈川県,850.429,1004.429,29.153
全国,11706.571,13774.571,29.827
岡山県,19.429,22.571,32.360
大阪府,1364.714,1585.143,32.405
京都府,270.857,314.571,32.429
滋賀県,82.000,95.143,32.638
長野県,57.714,66.429,34.504
福岡県,552.714,630.571,36.818
兵庫県,562.000,640.429,37.142
奈良県,71.429,81.286,37.533
青森県,22.000,25.000,37.956
徳島県,4.429,5.000,39.980
千葉県,721.000,805.000,44.028
熊本県,41.429,46.143,45.022
沖縄県,125.571,139.714,45.463
愛知県,436.143,484.429,46.210
福島県,64.714,71.714,47.241
群馬県,132.286,145.286,51.762
広島県,138.857,152.000,53.652
茨城県,148.857,162.714,54.512
三重県,41.429,45.000,58.676
栃木県,50.714,53.714,84.425
山口県,30.714,32.429,89.336
高知県,69.857,73.571,93.661
香川県,26.714,28.000,103.221
山梨県,50.143,52.429,108.849
山形県,64.286,67.143,111.579
福井県,117.143,121.714,126.744
宮城県,84.000,87.143,132.093
岐阜県,142.286,147.000,148.856
鹿児島県,9.714,10.000,167.383
大分県,58.429,60.000,182.823
愛媛県,46.571,47.000,529.676
秋田県,16.000,16.000,1000
鳥取県,3.000,3.000,1000
長崎県,16.571,16.571,1000
宮崎県,17.000,17.000,1000
