都道府県,2020/03/31,2020/04/07,Td
山形県,0.429,10.286,1.527
富山県,1.714,10.429,2.687
福島県,3.143,16.571,2.918
宮城県,4.571,22.143,3.075
佐賀県,1.714,7.286,3.353
長崎県,2.143,8.429,3.543
石川県,10.429,39.571,3.638
福井県,13.143,49.571,3.655
福岡県,29.000,102.000,3.858
茨城県,17.571,61.143,3.891
岡山県,3.143,10.714,3.956
鹿児島県,1.000,3.000,4.417
広島県,5.000,14.429,4.578
愛媛県,5.714,15.429,4.885
山梨県,5.286,13.857,5.034
滋賀県,6.429,16.714,5.078
奈良県,9.857,24.714,5.279
岐阜県,18.714,46.429,5.340
東京都,413.143,1011.286,5.420
秋田県,4.286,10.000,5.726
京都府,50.857,113.286,6.058
静岡県,4.571,9.857,6.315
神奈川県,108.857,232.000,6.412
沖縄県,7.429,15.714,6.476
埼玉県,82.571,173.857,6.517
宮崎県,3.000,6.143,6.770
全国,1774.857,3544.000,7.016
大阪府,208.714,413.143,7.106
高知県,15.000,29.143,7.306
徳島県,1.571,3.000,7.504
山口県,5.286,10.000,7.610
千葉県,128.571,240.571,7.744
長野県,6.857,12.714,7.858
青森県,6.429,10.857,9.258
熊本県,11.286,18.571,9.741
群馬県,16.857,25.571,11.644
兵庫県,127.571,192.714,11.762
香川県,1.429,2.143,11.967
和歌山県,16.571,24.429,12.503
愛知県,165.857,228.571,15.128
三重県,9.286,12.571,16.016
大分県,25.000,32.571,18.340
栃木県,11.714,15.143,18.900
新潟県,29.000,32.857,38.856
北海道,174.143,194.571,43.742
