都道府県,2020/04/08,2020/04/15,Td
島根県,0.286,8.571,1.427
鳥取県,0.143,1.000,2.493
香川県,2.429,13.286,2.855
広島県,17.143,60.000,3.873
富山県,12.571,42.571,3.978
沖縄県,21.429,69.143,4.142
群馬県,27.714,86.857,4.248
静岡県,13.857,43.000,4.285
福岡県,125.143,369.429,4.482
山形県,14.000,37.429,4.934
石川県,50.429,121.000,5.544
宮城県,25.714,56.143,6.214
長野県,15.429,33.571,6.241
滋賀県,20.429,44.286,6.271
山梨県,16.429,35.286,6.347
宮崎県,8.000,16.857,6.510
栃木県,17.571,36.143,6.728
埼玉県,204.143,416.714,6.800
山口県,11.571,23.571,6.819
岐阜県,55.000,111.000,6.910
神奈川県,270.857,545.857,6.924
愛媛県,17.857,35.000,7.210
福島県,20.571,39.571,7.417
東京都,1158.000,2182.429,7.656
全国,4024.143,7511.857,7.774
大阪府,468.143,856.714,8.029
兵庫県,214.000,387.429,8.175
青森県,11.571,20.857,8.236
高知県,33.571,58.571,8.718
千葉県,268.286,467.000,8.754
奈良県,27.286,45.000,9.698
佐賀県,8.429,13.857,9.759
福井県,56.000,91.000,9.994
京都府,126.000,199.571,10.550
茨城県,69.143,107.143,11.078
長崎県,9.714,14.429,12.265
三重県,13.000,18.714,13.317
熊本県,19.714,27.571,14.465
北海道,202.286,278.571,15.163
秋田県,10.714,14.714,15.294
愛知県,246.714,336.000,15.708
岡山県,12.000,16.286,15.888
和歌山県,26.286,34.857,17.192
大分県,34.286,44.571,18.493
鹿児島県,3.000,3.857,19.307
新潟県,34.286,43.429,20.526
徳島県,3.000,3.000,1000
