2020/03/30 19:24:14 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3304,1046.100,2.312
S.Korea,158,64.509,3.075
SanMarino,25,23.443,736.739
SriLanka,2,21.159,0.098
Bahrain,4,15.555,2.353
Bangladesh,5,12.274,0.031
Taiwan,5,10.768,0.212
Italy,11591,10.442,191.742
TrinidadandTobago,3,10.217,2.159
Japan,54,9.639,0.434
Lebanon,11,9.457,1.603
Venezuela,3,9.403,0.116
Guadeloupe,4,9.047,10.000
Slovenia,11,9.040,5.296
Singapore,3,8.881,0.512
Malaysia,37,8.853,1.141
Greece,43,8.725,4.116
Norway,32,8.713,5.903
Denmark,77,8.437,13.296
Bulgaria,8,8.365,1.159
Egypt,41,8.315,0.375
Iran,2757,8.252,32.822
HongKong,4,8.229,0.536
Switzerland,348,7.930,40.210
Iceland,2,7.908,5.860
Finland,13,7.371,2.346
Pakistan,21,7.345,0.099
Sweden,146,7.163,14.462
Cyprus,7,7.089,5.783
CostaRica,2,7.065,0.395
Ecuador,60,7.000,3.394
Estonia,3,6.847,2.262
Armenia,3,6.754,1.015
NorthMacedonia,7,6.558,3.365
Jordan,5,6.497,0.485
Thailand,9,6.483,0.130
Albania,11,6.361,3.798
India,29,6.353,0.022
Austria,108,6.347,11.996
Germany,560,6.153,6.684
France,3024,6.004,46.361
DRC,8,5.983,0.089
Luxembourg,22,5.912,35.147
Iraq,46,5.627,1.168
Czechia,23,5.595,2.150
Peru,18,5.529,0.549
Indonesia,122,5.434,0.431
Australia,18,5.360,0.704
Netherlands,864,5.356,50.443
Cameroon,6,5.337,0.216
BurkinaFaso,12,5.331,0.585
Croatia,6,5.277,1.458
Andorra,6,5.269,77.659
Algeria,35,5.207,0.779
Spain,7340,5.130,156.975
Brazil,141,5.125,0.677
SaudiArabia,8,5.108,0.231
Ireland,54,5.105,10.930
Hungary,15,4.928,1.544
BosniaandHerzegovina,9,4.863,2.740
Moldova,2,4.824,0.497
Poland,31,4.807,0.815
Colombia,12,4.586,0.241
Lithuania,7,4.327,2.566
Argentina,23,4.310,0.505
Nigeria,2,4.309,0.009
UAE,5,4.306,0.507
Portugal,140,4.276,13.720
Mexico,20,4.238,0.161
Serbia,16,4.226,1.834
Panama,24,4.217,5.557
Belgium,513,4.195,44.277
Uzbekistan,2,4.128,0.054
Israel,16,4.110,1.847
Chile,8,4.082,0.418
SouthAfrica,3,4.065,0.050
UK,1408,4.034,20.731
Philippines,78,4.017,0.706
Romania,52,3.975,2.691
Tunisia,8,3.868,0.667
Mauritius,3,3.825,2.367
Canada,67,3.800,1.772
DominicanRepublic,42,3.726,3.869
USA,2871,3.713,8.678
Morocco,33,3.683,0.865
Azerbaijan,4,3.640,0.396
ChannelIslands,2,3.554,11.504
Russia,9,3.386,0.064
Afghanistan,4,3.353,0.094
Cuba,4,3.353,0.353
Ukraine,11,2.576,0.252
Turkey,168,2.479,1.986
