2020/03/31 13:14:05 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3305,1315.999,2.311
S.Korea,162,70.708,3.162
SanMarino,25,23.443,736.739
SriLanka,2,18.819,0.091
Bangladesh,5,18.087,0.029
Bahrain,4,13.146,2.349
Guadeloupe,4,13.009,10.000
Lebanon,12,12.915,1.762
Italy,11591,12.578,191.742
Venezuela,3,12.302,0.111
Taiwan,5,12.152,0.217
TrinidadandTobago,3,12.142,2.153
Norway,35,10.293,6.456
Greece,46,9.916,4.403
Egypt,41,9.908,0.375
Japan,56,9.844,0.430
Switzerland,373,9.835,43.097
Singapore,3,9.579,0.512
Slovenia,15,9.452,7.219
Iceland,2,9.396,5.860
Malaysia,43,9.112,1.321
Bulgaria,8,8.773,1.161
Jordan,5,8.758,0.485
Denmark,90,8.503,15.538
Finland,13,8.331,2.347
Iran,2898,8.272,34.499
Luxembourg,22,8.186,35.147
Ecuador,62,8.125,3.501
HongKong,4,7.922,0.532
Cyprus,7,7.854,5.783
CostaRica,2,7.789,0.394
Austria,128,7.701,14.206
Pakistan,25,7.446,0.107
Sweden,180,7.385,17.817
Australia,19,7.173,0.746
Albania,13,7.126,4.494
Iraq,46,7.032,1.168
Thailand,10,7.018,0.145
France,3024,7.013,46.361
Estonia,4,6.906,3.017
Germany,682,6.841,8.137
SaudiArabia,10,6.816,0.288
Brazil,165,6.650,0.779
Martinique,2,6.592,5.328
Colombia,14,6.493,0.281
Armenia,3,6.391,1.015
Czechia,25,6.325,2.332
BurkinaFaso,12,6.308,0.585
DRC,8,6.234,0.082
Ireland,54,6.191,10.930
Algeria,35,6.111,0.779
NorthMacedonia,7,6.074,3.362
India,32,6.064,0.023
Indonesia,136,6.059,0.534
Montenegro,2,6.036,3.181
Spain,8189,6.000,175.112
Andorra,8,5.963,103.546
Netherlands,1039,5.934,60.632
Croatia,6,5.920,1.460
Peru,24,5.876,0.733
Afghanistan,4,5.675,0.092
Moldova,2,5.585,0.497
SouthAfrica,3,5.559,0.050
Panama,27,5.473,6.254
BosniaandHerzegovina,12,5.424,3.650
Poland,32,5.394,0.852
UAE,5,5.381,0.507
Argentina,24,5.304,0.522
Israel,17,5.288,1.964
Lithuania,7,5.183,2.574
Hungary,16,5.016,1.659
Chile,8,4.967,0.418
Canada,92,4.928,2.437
UK,1408,4.812,20.731
Romania,72,4.668,3.752
Ghana,5,4.605,0.164
DominicanRepublic,42,4.575,3.869
Cameroon,6,4.522,0.218
Serbia,23,4.457,2.632
Mexico,28,4.442,0.205
Belgium,705,4.427,60.815
USA,3175,4.421,9.596
Nigeria,2,4.328,0.010
Portugal,160,4.227,15.693
Uzbekistan,2,4.217,0.063
Tunisia,9,4.199,0.771
Morocco,33,3.987,0.920
Mauritius,3,3.960,2.350
Azerbaijan,5,3.941,0.487
Cuba,4,3.837,0.353
Philippines,88,3.652,0.802
Kazakhstan,2,3.150,0.107
Russia,17,3.126,0.116
Ukraine,13,2.883,0.308
Turkey,168,2.765,1.986
