2020/03/27 06:44:46 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3292,1055.653,2.307
S.Korea,131,73.672,2.552
Japan,47,13.299,0.373
SanMarino,21,13.195,618.894
Denmark,41,12.054,7.077
Iran,2234,12.027,26.590
Bahrain,4,11.290,2.349
Slovenia,6,9.711,2.883
Italy,8215,9.006,135.882
Norway,14,8.869,2.584
Sweden,77,8.826,7.619
Egypt,24,8.789,0.242
HongKong,4,8.502,0.530
Singapore,2,8.464,0.343
Greece,27,8.239,2.603
Iraq,36,7.982,0.848
Taiwan,2,7.774,0.087
Cyprus,3,7.284,2.486
Iceland,2,7.205,5.860
Malaysia,23,7.146,0.713
CostaRica,2,6.786,0.390
Bulgaria,3,6.631,0.432
Lebanon,6,6.629,0.880
Finland,5,6.421,0.903
BosniaandHerzegovina,3,6.354,0.911
Switzerland,191,6.210,22.074
Bangladesh,5,6.154,0.034
Peru,9,6.135,0.279
Germany,267,6.106,3.184
Paraguay,3,5.894,0.439
Czechia,9,5.792,0.842
France,1696,5.790,26.003
UAE,2,5.600,0.204
Pakistan,9,5.550,0.037
Indonesia,78,5.490,0.262
Netherlands,434,5.337,25.347
Albania,6,5.329,2.069
Austria,49,5.061,5.440
NorthMacedonia,3,4.989,1.433
Ireland,19,4.953,3.844
Spain,4365,4.910,93.364
Belgium,220,4.775,18.983
Azerbaijan,3,4.758,0.295
DRC,3,4.659,0.035
Poland,16,4.598,0.419
Mexico,6,4.563,0.051
India,20,4.528,0.014
UK,578,4.518,8.528
SaudiArabia,3,4.497,0.086
Andorra,3,4.434,38.826
Luxembourg,9,4.414,14.376
Chile,4,4.404,0.208
Hungary,10,4.325,1.034
Philippines,45,4.321,0.382
Brazil,77,4.317,0.361
Thailand,4,4.122,0.057
Ecuador,34,4.071,1.939
Russia,3,4.043,0.021
Romania,23,4.022,1.185
Panama,9,3.994,2.083
Serbia,7,3.979,0.796
Colombia,6,3.978,0.122
Portugal,60,3.896,5.892
Australia,13,3.893,0.511
Morocco,11,3.890,0.280
Tunisia,5,3.749,0.431
Argentina,12,3.687,0.265
Canada,39,3.668,1.032
BurkinaFaso,7,3.634,0.322
Croatia,3,3.629,0.733
Israel,8,3.620,0.924
Algeria,25,3.562,0.545
Afghanistan,4,3.554,0.085
Cuba,2,3.388,0.179
USA,1295,3.272,3.913
Lithuania,4,3.116,1.472
Ukraine,5,3.101,0.102
Turkey,75,2.872,0.889
DominicanRepublic,10,2.535,0.922
Ghana,4,2.299,0.121
