2020/04/01 00:09:25 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3305,1315.999,2.311
S.Korea,162,70.708,3.162
SanMarino,26,38.419,766.229
Bangladesh,5,18.087,0.029
Bahrain,4,16.040,2.349
Taiwan,5,15.405,0.217
SriLanka,2,14.361,0.098
Lebanon,12,14.081,1.762
Italy,12428,13.776,205.583
TrinidadandTobago,3,13.058,2.138
Qatar,2,12.953,0.694
Singapore,3,12.650,0.512
Venezuela,3,12.302,0.111
Japan,56,12.081,0.430
Norway,39,11.704,7.193
Slovenia,15,11.607,7.219
Jamaica,2,11.588,0.684
Switzerland,433,11.519,50.041
Iceland,2,11.237,5.861
Malaysia,43,11.236,1.321
Egypt,46,10.958,0.454
Guadeloupe,4,10.885,10.000
Jordan,5,10.420,0.493
Greece,49,10.317,4.699
Finland,17,10.170,3.069
Luxembourg,23,9.882,36.739
Bulgaria,8,9.704,1.143
Iran,2898,9.677,34.499
Denmark,90,9.586,15.545
Albania,15,9.524,5.185
CostaRica,2,8.886,0.392
Ghana,5,8.841,0.155
SaudiArabia,10,8.790,0.288
HongKong,4,8.747,0.532
Sweden,180,8.620,17.817
Paraguay,3,8.611,0.415
Thailand,10,8.517,0.145
BurkinaFaso,14,8.352,0.644
Austria,128,8.089,14.208
Pakistan,26,8.079,0.121
Total:,42107,8.001,5.400
Estonia,4,7.929,3.017
NorthMacedonia,9,7.827,4.322
SouthAfrica,5,7.508,0.085
Germany,775,7.415,9.249
Colombia,16,7.393,0.318
Indonesia,136,7.355,0.534
Spain,8464,7.337,181.063
Martinique,3,7.325,7.992
Australia,20,7.214,0.785
Lithuania,8,7.211,2.935
Croatia,6,7.202,1.460
Ecuador,79,7.197,4.461
Netherlands,1039,7.187,60.632
Cyprus,8,7.078,6.626
UAE,6,7.031,0.605
Czechia,31,7.000,2.896
Andorra,12,7.000,155.298
Syria,2,7.000,0.120
Iraq,50,6.971,1.225
Armenia,3,6.962,1.015
DRC,8,6.798,0.082
France,3523,6.687,53.999
Ireland,71,6.676,14.376
Afghanistan,4,6.663,0.092
Montenegro,2,6.556,3.193
India,35,6.432,0.025
Hungary,16,6.237,1.659
Poland,33,6.158,0.871
Peru,30,6.088,0.901
Israel,20,5.945,2.311
Tunisia,10,5.895,0.838
Sudan,2,5.726,0.057
Angola,2,5.726,0.057
Serbia,23,5.697,2.632
Brazil,201,5.679,0.949
Moldova,4,5.625,0.997
Algeria,44,5.621,0.983
BosniaandHerzegovina,13,5.579,3.962
Chile,12,5.549,0.627
Guyana,2,5.542,2.500
Romania,82,5.347,4.273
Portugal,160,5.330,15.693
Canada,101,5.166,2.674
Cameroon,6,5.133,0.218
Belgium,705,5.103,60.815
UK,1789,4.999,26.319
Panama,30,4.948,6.960
Mexico,28,4.883,0.205
Argentina,27,4.843,0.589
Morocco,36,4.810,0.992
DominicanRepublic,51,4.666,4.691
Uzbekistan,2,4.607,0.058
USA,3860,4.606,11.662
Nigeria,2,4.507,0.010
Mauritius,5,4.445,3.916
ChannelIslands,3,4.332,17.255
Azerbaijan,5,4.167,0.487
Cuba,6,4.103,0.516
Philippines,88,4.088,0.802
Bolivia,6,4.020,0.505
Russia,17,3.828,0.116
Honduras,7,3.554,0.695
Kazakhstan,2,3.362,0.105
Ukraine,17,3.251,0.395
Niger,3,3.070,0.088
Turkey,214,2.828,2.530
Mali,2,1.839,0.071
