2020/03/31 21:06:20 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3305,1315.999,2.311
S.Korea,162,70.708,3.162
SanMarino,25,23.443,736.739
Bangladesh,5,18.087,0.029
SriLanka,2,14.361,0.098
Bahrain,4,13.146,2.349
Lebanon,12,12.915,1.762
Venezuela,3,12.302,0.111
Qatar,2,12.275,0.694
Taiwan,5,12.152,0.217
TrinidadandTobago,3,11.474,2.138
Italy,12428,11.421,205.583
Guadeloupe,4,10.885,10.000
Norway,39,10.093,7.194
Japan,56,9.844,0.430
Singapore,3,9.579,0.512
Slovenia,15,9.452,7.219
Switzerland,433,9.340,50.041
Malaysia,43,9.112,1.321
Iceland,2,8.657,5.861
Egypt,46,8.530,0.454
Greece,49,8.510,4.699
Jordan,5,8.421,0.493
Finland,17,8.331,3.069
Denmark,90,8.273,15.545
Iran,2898,8.272,34.499
Bulgaria,8,8.027,1.143
HongKong,4,7.922,0.532
Austria,128,7.462,14.214
Sweden,180,7.385,17.817
CostaRica,2,7.208,0.392
Australia,19,7.164,0.746
Albania,15,7.126,5.185
Luxembourg,23,7.094,36.739
Pakistan,26,7.031,0.121
Thailand,10,7.018,0.145
Estonia,4,6.906,3.017
SaudiArabia,10,6.816,0.288
Ecuador,75,6.668,4.252
Cyprus,8,6.486,6.626
Armenia,3,6.391,1.015
Germany,774,6.252,9.242
DRC,8,6.234,0.082
Iraq,50,6.167,1.225
NorthMacedonia,9,6.074,4.322
Indonesia,136,6.059,0.534
Martinique,3,5.998,7.992
Netherlands,1039,5.934,60.632
Croatia,6,5.920,1.460
Spain,8464,5.885,181.063
BurkinaFaso,14,5.858,0.644
Andorra,12,5.848,155.298
Montenegro,2,5.768,3.193
Czechia,31,5.717,2.893
France,3523,5.715,53.999
Afghanistan,4,5.675,0.092
Colombia,16,5.551,0.318
Panama,27,5.473,6.254
Ireland,71,5.454,14.376
SouthAfrica,5,5.434,0.085
India,35,5.329,0.025
Argentina,26,5.304,0.565
BosniaandHerzegovina,13,5.295,3.962
Brazil,201,5.196,0.949
Peru,30,5.161,0.901
Poland,33,5.151,0.871
Lithuania,8,5.142,2.935
Hungary,16,5.016,1.659
UAE,6,4.927,0.605
Algeria,44,4.863,0.983
Israel,20,4.752,2.311
Moldova,4,4.674,0.997
Romania,82,4.668,4.273
Cameroon,6,4.522,0.218
Chile,12,4.458,0.627
Serbia,23,4.457,2.632
Mexico,28,4.442,0.205
Belgium,705,4.427,60.815
Ghana,5,4.367,0.155
Canada,95,4.356,2.513
Nigeria,2,4.328,0.010
UK,1789,4.272,26.319
Portugal,160,4.227,15.693
Tunisia,10,4.199,0.856
USA,3756,4.001,11.340
Mauritius,5,3.960,3.916
Azerbaijan,5,3.941,0.487
Uzbekistan,2,3.927,0.058
Morocco,36,3.837,0.957
DominicanRepublic,51,3.826,4.691
Philippines,88,3.652,0.802
Cuba,6,3.582,0.516
Russia,17,3.126,0.116
Kazakhstan,2,3.108,0.105
Ukraine,17,2.631,0.395
Turkey,214,2.453,2.530
