20200323 20:50:25 UTC
China,80880.0,81093.0,1844.830
DiamondPrincess,696.0,712.0,213.480
S.Korea,8236.0,8961.0,57.511
Qatar,439.0,501.0,36.728
Japan,895.0,1128.0,20.970
Jamaica,15.0,19.0,20.526
Palestine,39.0,59.0,11.721
Kuwait,123.0,189.0,11.295
Iran,14991.0,23049.0,11.279
Denmark,914.0,1450.0,10.514
Bahrain,227.0,377.0,9.565
Brunei,54.0,91.0,9.297
SanMarino,109.0,187.0,8.989
Estonia,205.0,352.0,8.975
Slovenia,253.0,442.0,8.697
FrenchGuiana,11.0,20.0,8.116
Sweden,1121.0,2046.0,8.064
Georgia,33.0,61.0,7.898
Afghanistan,21.0,40.0,7.530
Norway,1334.0,2547.0,7.502
Greece,352.0,695.0,7.132
Iraq,133.0,266.0,7.000
Vietnam,61.0,123.0,6.919
UAE,98.0,198.0,6.899
Albania,51.0,104.0,6.809
Total:,181728.0,374499.0,6.710
Singapore,243.0,509.0,6.562
Ethiopia,5.0,11.0,6.154
Belarus,36.0,81.0,5.983
Macao,11.0,25.0,5.910
Italy,27980.0,63927.0,5.872
HongKong,155.0,356.0,5.835
Egypt,150.0,366.0,5.440
Lebanon,109.0,267.0,5.416
Bolivia,11.0,27.0,5.404
Guatemala,8.0,20.0,5.295
Finland,278.0,700.0,5.254
Cyprus,46.0,116.0,5.246
Slovakia,72.0,186.0,5.112
Malaysia,566.0,1518.0,4.918
Paraguay,8.0,22.0,4.796
Guyana,7.0,20.0,4.622
Azerbaijan,25.0,72.0,4.587
Taiwan,67.0,195.0,4.542
Iceland,198.0,588.0,4.458
France,6633.0,19856.0,4.425
Oman,22.0,66.0,4.417
Bulgaria,62.0,201.0,4.125
Philippines,142.0,462.0,4.113
Senegal,24.0,79.0,4.073
Netherlands,1413.0,4749.0,4.003
Spain,9682.0,33089.0,3.948
Romania,168.0,576.0,3.938
SriLanka,28.0,97.0,3.905
Martinique,15.0,53.0,3.844
Belgium,1058.0,3743.0,3.840
Malta,30.0,107.0,3.816
Czechia,344.0,1236.0,3.794
Switzerland,2353.0,8547.0,3.762
Moldova,29.0,109.0,3.665
Rwanda,5.0,19.0,3.634
Algeria,60.0,230.0,3.611
Monaco,6.0,23.0,3.611
India,129.0,499.0,3.587
Ghana,6.0,24.0,3.500
Germany,7241.0,29056.0,3.492
Bangladesh,8.0,33.0,3.424
SaudiArabia,133.0,562.0,3.367
Poland,177.0,749.0,3.363
Hungary,39.0,167.0,3.336
UK,1543.0,6650.0,3.321
Indonesia,134.0,579.0,3.315
Serbia,57.0,249.0,3.291
Jordan,29.0,127.0,3.285
Austria,1018.0,4468.0,3.280
Tunisia,20.0,89.0,3.250
Honduras,6.0,27.0,3.226
CostaRica,35.0,158.0,3.219
Venezuela,17.0,77.0,3.212
Australia,375.0,1717.0,3.189
Peru,86.0,395.0,3.183
Russia,93.0,438.0,3.131
Pakistan,184.0,873.0,3.116
Argentina,56.0,266.0,3.114
Chile,156.0,746.0,3.101
Israel,298.0,1442.0,3.077
Thailand,147.0,721.0,3.051
Morocco,29.0,143.0,3.041
Gibraltar,3.0,15.0,3.015
Canada,406.0,2035.0,3.010
Colombia,54.0,277.0,2.968
Armenia,45.0,235.0,2.935
BosniaandHerzegovina,25.0,132.0,2.916
Latvia,34.0,180.0,2.911
Kenya,3.0,16.0,2.899
Croatia,57.0,315.0,2.838
Panama,55.0,313.0,2.790
Uzbekistan,8.0,46.0,2.774
Mexico,53.0,316.0,2.718
ChannelIslands,6.0,36.0,2.708
FrenchPolynesia,3.0,18.0,2.708
Kazakhstan,10.0,62.0,2.659
PuertoRico,5.0,31.0,2.659
Portugal,331.0,2060.0,2.654
IvoryCoast,4.0,25.0,2.648
SouthAfrica,64.0,402.0,2.640
FaeroeIslands,18.0,118.0,2.580
BurkinaFaso,15.0,99.0,2.571
Ireland,170.0,1125.0,2.568
NorthMacedonia,19.0,136.0,2.465
Brazil,234.0,1696.0,2.450
Cambodia,12.0,87.0,2.449
Liechtenstein,7.0,51.0,2.443
Réunion,9.0,71.0,2.349
Lithuania,17.0,160.0,2.164
Andorra,14.0,133.0,2.155
USA,4411.0,42443.0,2.143
Guam,3.0,29.0,2.139
Cuba,4.0,40.0,2.107
Guadeloupe,6.0,62.0,2.078
Ukraine,7.0,73.0,2.069
Luxembourg,81.0,875.0,2.039
DominicanRepublic,21.0,245.0,1.975
Tanzania,1.0,12.0,1.953
NewZealand,8.0,102.0,1.906
TrinidadandTobago,4.0,51.0,1.906
Cameroon,4.0,56.0,1.839
Ecuador,58.0,981.0,1.716
U.S.VirginIslands,1.0,17.0,1.713
Nigeria,2.0,36.0,1.679
DRC,2.0,36.0,1.679
Togo,1.0,18.0,1.679
Uruguay,8.0,158.0,1.626
Mayotte,1.0,24.0,1.527
Turkey,18.0,1529.0,1.092
