Country,Deaths/Mil.,2020/05/08 05:47:53 UTC
San Marino,1208.314
Belgium,726.125
Andorra,608.312
Spain,557.624
Italy,495.465
UK,450.972
France,398.151
Sint Maarten,326.605
Netherlands,308.616
Sweden,301.000
Ireland,284.110
Isle of Man,270.477
USA,232.448
Channel Islands,230.092
Switzerland,209.142
Montserrat,200.364
Luxembourg,159.756
Canada,116.783
Bermuda,112.415
Portugal,108.370
Monaco,101.937
Ecuador,93.733
Denmark,88.751
Germany,88.217
Saint Martin,77.605
Iran,77.227
Austria,67.619
Panama,52.161
Peru,49.344
Slovenia,47.621
Romania,46.179
Finland,46.029
Brazil,43.252
Turkey,43.184
North Macedonia,42.745
Estonia,42.228
Hungary,40.581
Norway,40.029
Martinique,37.333
Mayotte,36.651
Moldova,35.959
World,34.759
Total:,34.731
Dominican Republic,34.368
British Virgin Islands,33.143
Guadeloupe,32.458
Antigua and Barbuda,30.600
Iceland,29.306
Aruba,28.099
Bahamas,27.978
Israel,27.735
Bosnia and Herzegovina,27.440
Liechtenstein,26.232
Turks and Caicos,25.833
Czechia,25.215
Barbados,24.329
Serbia,23.575
Mexico,22.995
Croatia,20.964
Poland,19.970
Sao Tome and Principe,18.246
Lithuania,17.986
UAE,16.683
Cayman Islands,15.213
Chile,14.910
Greece,14.203
Armenia,14.170
Montenegro,12.741
Guyana,12.688
Cyprus,12.418
Belarus,12.274
Bulgaria,12.071
Malta,11.327
Russia,11.135
Algeria,10.998
Albania,10.787
Honduras,10.593
Kuwait,10.305
Latvia,9.545
Bolivia,8.725
Colombia,8.006
Mauritius,7.861
Ukraine,7.773
Cuba,6.460
Saudi Arabia,6.291
Argentina,6.248
Philippines,6.225
Curaçao,6.125
Trinidad and Tobago,5.724
Maldives,5.551
Belize,5.000
S. Korea,4.991
Morocco,4.948
Uruguay,4.896
Slovakia,4.768
Egypt,4.711
Bahrain,4.702
Japan,4.548
New Zealand,4.355
Qatar,4.165
Cameroon,4.049
Liberia,3.915
Australia,3.803
Tunisia,3.731
Lebanon,3.667
Cabo Verde,3.596
Gabon,3.587
Indonesia,3.421
Singapore,3.419
French Guiana,3.348
Malaysia,3.309
China,3.242
Jamaica,3.043
Djibouti,3.037
Oman,2.936
Equatorial Guinea,2.852
Azerbaijan,2.757
Somalia,2.750
Afghanistan,2.737
South Africa,2.719
Pakistan,2.690
Iraq,2.527
El Salvador,2.309
Brunei ,2.284
Burkina Faso,2.283
Georgia,2.254
Sierra Leone,2.009
Kyrgyzstan,1.841
Congo,1.825
Eswatini,1.725
Niger,1.721
Suriname,1.700
Chad,1.601
Kazakhstan,1.599
Mali,1.575
Paraguay,1.407
India,1.374
Guatemala,1.272
Tajikistan,1.249
Bangladesh,1.201
Costa Rica,1.176
Sudan,1.174
Comoros,1.125
Togo,1.067
Haiti,1.023
Guinea-Bissau,1.018
Jordan,0.874
Guinea,0.839
Thailand,0.788
Senegal,0.775
Ivory Coast,0.764
Nicaragua,0.625
Ghana,0.577
Hong Kong,0.532
Kenya,0.526
Nigeria,0.516
Botswana,0.435
Libya,0.422
Sri Lanka,0.415
DRC,0.401
Palestine,0.395
Gambia,0.389
Venezuela,0.341
Uzbekistan,0.300
Tanzania,0.267
Mauritania,0.250
Taiwan,0.245
Zimbabwe,0.235
Zambia,0.209
Syria,0.200
Benin,0.171
Yemen,0.160
Malawi,0.140
Myanmar,0.102
Burundi,0.067
Angola,0.056
Ethiopia,0.042
