date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Death rate 2Weeks,Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-8-13,132816,5968,87558,125065.0,2098.0,1978.1428571428569,5712.428571428571,65.0,64.42857142857142,0.03438214651841337,1.3794987077925036,21.551958869386546,49.502786492738046,1.072519899127999,0.09336496411361095,0.04567567721927454
2020-8-14,135123,6021,89618,127074.0,2307.0,2009.0,5776.285714285714,53.0,63.857142857142854,0.035570628598469906,1.35421993566018,21.74335528695985,49.415646426993646,1.072652318458966,0.09352165445396965,0.0454560784604696
2020-8-15,137468,6071,91321,129059.28571428571,2345.0,1985.2857142857142,5837.428571428571,50.0,61.14285714285714,0.03449606420743942,1.3108848977190544,21.923917945047876,49.47951047466721,1.0725552224565802,0.093406766361108,0.04523059723382941
2020-8-16,139549,6150,93103,131054.28571428571,2081.0,1995.0,5896.428571428571,79.0,59.0,0.03383399209486166,1.2567161002926472,22.209206944826953,50.082823739484965,1.0716506141099649,0.09233519478866303,0.044992260568139694
2020-8-17,141370,6207,94458,133076.14285714284,1821.0,2021.8571428571427,5957.428571428572,57.0,60.99999999999999,0.03257868580894534,1.390332467277785,22.415048375047302,50.88037724155135,1.0704888074615126,0.09095576533170546,0.04476706675984641
2020-8-18,143043,6277,96306,135117.14285714284,1673.0,2040.9999999999998,6020.5714285714275,70.0,63.14285714285714,0.03327877795962902,1.383109960954264,22.667836096370536,51.57177104342372,1.0695116997761944,0.08979284684493183,0.044558161172316084
2020-8-19,144945,6346,98657,137155.2857142857,1902.0,2038.142857142857,6085.285714285714,69.0,64.71428571428571,0.03398692810457517,1.3506086824984196,22.91701256453201,52.03145535601691,1.0688769044041981,0.08903596878898712,0.04436785416321646
2020-8-20,147211,6418,100674,139187.7142857143,2266.0,2032.4285714285713,6148.5714285714275,72.0,63.28571428571427,0.036417718466114635,1.3650536951454615,23.177022792178764,52.57934719060625,1.0681352764101837,0.08815034470834415,0.04417467058874243
2020-8-21,149408,6500,102991,141244.14285714284,2197.0,2056.4285714285716,6212.857142857143,82.0,64.28571428571428,0.03567689458001127,1.4336675052189107,23.47314555144312,53.28745680550935,1.0672001036549208,0.08703149087460516,0.04398665330243783
2020-8-22,151498,6594,105198,143284.85714285716,2090.0,2040.7142857142858,6281.285714285715,94.0,68.42857142857142,0.03501945525291829,1.5492276063952461,23.812603348648608,53.78116268913889,1.066563125108067,0.0862680525816999,0.04383774977716716
