date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-4-5,24,4,0,15.999999999999996,1.0,2.142857142857143,2.571428571428571,0.0,0.42857142857142855,3.814561452585001,5.086081936780001,13.112944653769205,1.4477611940298505,0.3092783505154638,0.16071428571428573
2020-4-6,31,4,8,18.28571428571428,7.0,2.2857142857142856,3.0,0.0,0.42857142857142855,3.814561452585001,5.086081936780001,7.000000000000002,1.9999999999999998,0.4999999999999999,0.16406250000000003
2020-4-7,33,5,8,21.571428571428566,2.0,3.2857142857142856,3.428571428571428,1.0,0.42857142857142855,2.5430409683900006,6.3576024209750015,4.54377753346345,2.9090909090909087,0.65625,0.15894039735099338
2020-4-8,37,6,8,24.571428571428573,4.0,3.0,3.8571428571428568,1.0,0.42857142857142855,3.814561452585001,7.629122905170002,4.47004603753383,2.9607843137254894,0.662251655629139,0.15697674418604649
2020-4-9,37,6,8,27.142857142857142,0.0,2.571428571428571,4.428571428571428,0.0,0.5714285714285714,2.5430409683900006,7.629122905170002,4.986120983820229,2.646153846153847,0.622093023255814,0.16315789473684209
2020-4-10,37,6,8,29.71428571428571,0.0,2.571428571428571,4.714285714285714,0.0,0.2857142857142857,2.5430409683900006,7.629122905170002,5.5288989777029505,2.4050632911392404,0.5842105263157895,0.15865384615384617
2020-4-11,45,6,8,31.71428571428571,8.0,1.9999999999999998,4.999999999999999,0.0,0.2857142857142857,2.5430409683900006,7.629122905170002,6.360589780174356,2.144329896907217,0.5336538461538463,0.15765765765765763
2020-4-12,45,6,8,34.857142857142854,0.0,3.1428571428571423,5.285714285714285,0.0,0.2857142857142857,2.5430409683900006,7.629122905170002,7.091760686588006,1.9821428571428574,0.49549549549549554,0.15163934426229506
2020-4-13,45,6,8,37.857142857142854,0.0,3.0,5.571428571428571,0.0,0.2857142857142857,2.5430409683900006,7.629122905170002,7.520918864530924,1.9062500000000004,0.47540983606557385,0.1471698113207547
2020-4-14,47,6,8,39.857142857142854,2.0,2.0,5.857142857142856,0.0,0.2857142857142857,1.2715204841950003,7.629122905170002,8.626598555132867,1.7549668874172188,0.43018867924528315,0.14695340501792112
2020-4-15,55,6,8,41.857142857142854,8.0,2.0,5.999999999999999,0.0,0.14285714285714285,0.0,7.629122905170002,10.03071466264836,1.6220930232558137,0.38351254480286734,0.14334470989761092
2020-4-16,55,6,8,44.42857142857142,0.0,2.571428571428571,5.999999999999999,0.0,0.0,0.0,7.629122905170002,11.201769949707026,1.5421052631578946,0.3515358361774744,0.135048231511254
2020-4-17,63,6,9,46.99999999999999,8.0,2.571428571428571,5.999999999999999,0.0,0.0,0.0,7.629122905170002,12.062080731338371,1.4951923076923077,0.3311897106109325,0.1276595744680851
2020-4-18,63,6,9,50.71428571428571,0.0,3.714285714285714,5.999999999999999,0.0,0.0,0.0,7.629122905170002,12.334195215618998,1.481981981981982,0.32522796352583583,0.11830985915492957
2020-4-19,65,7,9,53.285714285714285,2.0,2.571428571428571,5.999999999999999,1.0,0.0,0.0,8.900643389365003,12.940487808012708,1.4549180327868851,0.3126760563380282,0.11260053619302948
2020-4-20,65,7,9,56.142857142857146,0.0,2.8571428571428568,6.142857142857142,0.0,0.14285714285714285,1.2715204841950003,8.900643389365003,14.193506581394825,1.4075471698113209,0.28954423592493306,0.10941475826972008
2020-4-21,66,7,9,59.0,1.0,2.8571428571428568,6.285714285714286,0.0,0.14285714285714285,1.2715204841950003,8.900643389365003,14.162466420879829,1.4086021505376345,0.29007633587786263,0.10653753026634383
2020-4-22,67,7,9,61.714285714285715,1.0,2.714285714285714,6.428571428571429,0.0,0.14285714285714285,1.2715204841950003,8.900643389365003,14.134529140963089,1.4095563139931742,0.2905569007263923,0.10416666666666667
2020-4-23,70,7,9,63.42857142857142,3.0,1.714285714285714,6.571428571428571,0.0,0.14285714285714285,1.2715204841950003,8.900643389365003,14.764296484509545,1.3890675241157557,0.28009259259259267,0.10360360360360361
2020-4-24,73,7,12,65.57142857142857,3.0,2.1428571428571423,6.714285714285714,0.0,0.14285714285714285,1.2715204841950003,8.900643389365003,16.18601551299128,1.3495440729483283,0.25900900900900903,0.10239651416122005
