date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-3-25,173,5,2,65.71428571428572,59.0,12.857142857142856,1.857142857142857,1.0,0.5714285714285714,0.33852566824332175,0.4231570853041522,3.999950293208207,3.3636363636363638,0.7027027027027026,0.028260869565217384
2020-3-26,197,6,2,86.28571428571428,24.0,20.57142857142857,2.571428571428571,1.0,0.7142857142857142,0.33852566824332175,0.5077885023649826,3.8865225761940825,3.484848484848486,0.7130434782608697,0.029801324503311258
2020-3-27,227,6,2,108.85714285714285,30.0,22.57142857142857,3.2857142857142856,0.0,0.7142857142857142,0.4231570853041522,0.5077885023649826,3.7217161507811927,3.6829268292682937,0.728476821192053,0.030183727034120738
2020-3-28,278,8,2,133.57142857142856,51.0,24.71428571428571,4.0,2.0,0.7142857142857142,0.4231570853041522,0.6770513364866435,3.654520996278804,3.7722772277227725,0.7349081364829396,0.029946524064171125
2020-3-29,312,8,2,164.7142857142857,34.0,31.14285714285714,5.0,0.0,0.9999999999999999,0.4231570853041522,0.6770513364866435,3.611812286597658,3.8319672131147544,0.7390374331550802,0.03035559410234172
2020-3-30,312,8,3,198.57142857142856,0.0,33.857142857142854,5.7142857142857135,0.0,0.7142857142857142,0.4231570853041522,0.6770513364866435,3.612796714234228,3.8305647840531556,0.7389418907198613,0.028776978417266185
2020-3-31,394,10,3,230.4285714285714,82.0,31.857142857142858,6.428571428571427,2.0,0.7142857142857142,0.33852566824332175,0.8463141706083044,3.6659047209322306,3.756756756756757,0.7338129496402878,0.02789832610043397
2020-4-1,423,12,5,270.4285714285714,29.0,40.0,7.285714285714285,2.0,0.8571428571428571,0.4231570853041522,1.0155770047299653,3.8673164130882935,3.506521739130433,0.7148171109733414,0.02694136291600634
2020-4-2,455,14,5,306.1428571428571,32.0,35.71428571428571,8.285714285714285,2.0,0.9999999999999999,0.5077885023649826,1.1848398388516261,4.247433752339969,3.1341059602649004,0.6809297411516112,0.027064862342510498
2020-4-3,495,18,5,343.0,40.0,36.85714285714285,9.428571428571427,4.0,1.1428571428571428,0.6770513364866435,1.523365507094948,4.692415680871677,2.8123359580052494,0.6444237050863275,0.02748854643898375
