date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-3-25,419,4,177,318.1428571428571,27.0,23.428571428571427,1.5714285714285714,1.0,0.2857142857142857,1.176804246851166,2.353608493702332,13.787770316446723,1.4217780840799454,0.29665535627726636,0.004939380332285586
2020-3-26,458,4,204,341.4285714285714,39.0,23.285714285714285,1.9999999999999998,0.0,0.42857142857142855,1.7652063702767489,2.353608493702332,12.530354368014468,1.4728835978835981,0.3210597215985632,0.005857740585774059
2020-3-27,466,4,227,367.14285714285717,8.0,25.714285714285715,2.4285714285714284,0.0,0.42857142857142855,1.7652063702767489,2.353608493702332,11.99751423401369,1.4984326018808778,0.33263598326359833,0.006614785992217898
2020-3-28,476,4,265,393.0,10.0,25.857142857142858,2.8571428571428568,0.0,0.42857142857142855,1.7652063702767489,2.353608493702332,11.493879784640828,1.5252225519287834,0.3443579766536965,0.007270083605961468
2020-3-29,499,4,272,417.4285714285714,23.0,24.428571428571423,3.2857142857142856,0.0,0.42857142857142855,1.176804246851166,2.353608493702332,11.14509660670998,1.5455056179775282,0.3529625590694293,0.007871321013004792
2020-3-30,515,4,279,441.0,16.0,23.57142857142857,3.571428571428571,0.0,0.2857142857142857,1.176804246851166,2.353608493702332,11.272926644161416,1.537894736842105,0.3497604380561259,0.008098477486232587
2020-3-31,567,4,295,460.71428571428567,52.0,19.71428571428571,3.8571428571428568,0.0,0.2857142857142857,0.588402123425583,2.353608493702332,12.03862689620765,1.4963645176926805,0.33171363783608676,0.008372093023255815
2020-4-1,569,4,337,485.71428571428567,2.0,24.999999999999996,3.999999999999999,0.0,0.14285714285714285,0.0,2.353608493702332,13.103765289131678,1.4481365065110012,0.3094573643410853,0.008235294117647058
2020-4-2,643,4,381,507.1428571428571,74.0,21.428571428571423,3.999999999999999,0.0,0.0,0.0,2.353608493702332,13.76532520761628,1.4225941422594144,0.2970588235294118,0.007887323943661971
2020-4-3,672,4,382,533.5714285714286,29.0,26.428571428571427,3.999999999999999,0.0,0.0,0.0,2.353608493702332,15.019826217871785,1.3813229571984433,0.27605633802816887,0.007496653279785808
2020-4-4,688,4,423,563.0,16.0,29.428571428571427,3.999999999999999,0.0,0.0,0.0,2.353608493702332,15.867543068884594,1.3576881134133043,0.26345381526104417,0.007104795737122556
2020-4-5,700,4,431,593.2857142857142,12.0,30.285714285714285,3.999999999999999,0.0,0.0,0.0,2.353608493702332,16.218511680373044,1.3487337440109515,0.2585638162902817,0.006742114134360703
2020-4-6,756,4,458,622.0,56.0,28.71428571428571,3.999999999999999,0.0,0.0,0.0,2.353608493702332,16.35711264031244,1.3453190800129575,0.25668191668673235,0.0064308681672025705
2020-4-7,811,5,458,656.4285714285713,55.0,34.42857142857143,3.999999999999999,1.0,0.0,0.0,2.942010617127915,16.164704595572545,1.350077519379845,0.2593017914561324,0.006093579978237214
2020-4-8,823,5,477,691.2857142857142,12.0,34.857142857142854,4.142857142857142,0.0,0.14285714285714285,0.588402123425583,2.942010617127915,16.109355268879646,1.351470588235294,0.2600652883569097,0.005992973754908038
2020-4-9,887,5,519,727.5714285714286,64.0,36.285714285714285,4.285714285714286,0.0,0.14285714285714285,0.588402123425583,2.942010617127915,15.663812879523979,1.3630985915492957,0.26637735069229174,0.005890437855880621
2020-4-10,925,6,539,762.4285714285713,38.0,34.85714285714286,4.428571428571429,1.0,0.14285714285714285,0.588402123425583,3.5304127405534977,15.645693027790887,1.3635876840696117,0.2666404869428628,0.005808506651676973
2020-4-11,1040,6,555,798.5714285714284,115.0,36.142857142857146,4.7142857142857135,0.0,0.2857142857142857,1.176804246851166,3.5304127405534977,16.00119737049595,1.3542248160365389,0.26157017050777576,0.005903398926654741
2020-4-12,1136,6,558,848.8571428571428,96.0,50.28571428571428,4.999999999999999,0.0,0.2857142857142857,1.176804246851166,3.5304127405534977,16.32864766927739,1.3460149289670118,0.25706618962432914,0.00589027263547627
2020-4-13,1361,6,591,911.1428571428571,225.0,62.285714285714285,5.285714285714285,0.0,0.2857142857142857,1.176804246851166,3.5304127405534977,15.603851290644958,1.3647220946256315,0.2672500841467519,0.005801191596111633
2020-4-14,1528,7,645,997.5714285714286,167.0,86.42857142857142,5.57142857142857,1.0,0.2857142857142857,0.588402123425583,4.118814863979081,14.797926823299214,1.3880304678998914,0.279554719347758,0.005584992123729055
2020-4-15,1671,7,663,1100.0,143.0,102.42857142857142,5.857142857142857,0.0,0.2857142857142857,1.176804246851166,4.118814863979081,13.229062280025195,1.4430667493283738,0.3070313618788487,0.005324675324675324
2020-4-16,1700,7,703,1221.142857142857,29.0,121.14285714285712,6.142857142857142,0.0,0.2857142857142857,1.176804246851166,4.118814863979081,11.738216405792501,1.511879049676026,0.33857142857142863,0.005030416471689283
2020-4-17,1740,7,725,1337.2857142857142,40.0,116.14285714285712,6.428571428571429,0.0,0.2857142857142857,0.588402123425583,4.118814863979081,10.300814741887795,1.6016488664043471,0.37564342536265805,0.004807178720222199
2020-4-18,1773,7,755,1453.7142857142853,33.0,116.42857142857142,6.571428571428571,0.0,0.14285714285714285,0.588402123425583,4.118814863979081,9.41095017510909,1.674597495527728,0.4028415767546203,0.004520440251572328
2020-4-19,1881,7,759,1558.428571428571,108.0,104.7142857142857,6.714285714285714,0.0,0.14285714285714285,0.588402123425583,4.118814863979081,9.018874456901656,1.7125546953887576,0.4160770440251571,0.004308369236410305
2020-4-20,1907,7,769,1664.8571428571427,26.0,106.4285714285714,6.857142857142858,0.0,0.14285714285714285,0.588402123425583,4.118814863979081,9.039923256055276,1.7104107870805891,0.4153451278760655,0.004118757508151708
2020-4-21,1973,7,784,1742.857142857143,66.0,77.99999999999999,7.0,0.0,0.14285714285714285,0.0,4.118814863979081,9.473460492024827,1.6689102105112414,0.400806590012013,0.0040163934426229505
