,date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
77,2020-4-8,1066,13,77,483.0,205.0,101.28571428571428,6.999999999999999,0.0,1.7142857142857142,1.1640942124728038,1.3757477056496772,3.851125915686341,3.525065963060686,0.716317365269461,0.014492753623188404
78,2020-4-9,1486,16,139,612.0,420.0,129.0,8.571428571428571,3.0,1.5714285714285712,0.9524407192959303,1.6932279454149872,3.469465385144276,4.049101796407186,0.7530316474415854,0.014005602240896357
79,2020-4-10,1981,19,169,780.8571428571429,495.0,168.85714285714286,10.285714285714285,3.0,1.7142857142857142,1.2699209590612404,2.0107081851802975,3.4577240611723794,4.06837606837607,0.754201680672269,0.013172338090010975
80,2020-4-11,2226,23,172,1013.7142857142856,245.0,232.85714285714283,12.428571428571427,4.0,2.142857142857143,1.4815744522381138,2.4340151715340443,3.3965435784953883,4.172519083969467,0.7603366264178559,0.01226042841037204
81,2020-4-12,2578,26,203,1268.857142857143,352.0,255.1428571428571,15.0,3.0,2.571428571428571,1.5874011988265506,2.7514954112993544,3.3344395149032677,4.2850241545893715,0.7666290868094701,0.011821661787885612
82,2020-4-13,2919,29,203,1556.8571428571427,341.0,288.0,17.571428571428573,3.0,2.571428571428571,1.3757477056496772,3.0689756510646644,3.3913072377525455,4.181732580037665,0.7608646701193424,0.011286474582492203
83,2020-4-14,3281,33,203,1873.8571428571427,362.0,317.0,19.857142857142854,4.0,2.2857142857142856,1.6932279454149872,3.4922826374184113,3.4515548679239045,4.078592814371257,0.7548173976876491,0.010596935274834185
84,2020-4-15,3728,36,203,2219.5714285714284,447.0,345.7142857142857,22.714285714285715,3.0,2.8571428571428568,2.1165349317687343,3.8097628771837213,3.5788860270659293,3.879621413782904,0.7422428909049326,0.010233635837034178
85,2020-4-16,4204,40,203,2599.8571428571427,476.0,380.2857142857143,25.999999999999996,4.0,3.285714285714285,2.1165349317687343,4.233069863537469,3.76611849128934,3.6267507002801116,0.7242710948059471,0.0100005494807407
86,2020-4-17,4779,42,342,2988.142857142857,575.0,388.2857142857143,29.428571428571423,2.0,3.428571428571429,2.2223616783571707,4.444723356714341,4.033880413342815,3.3294914013904138,0.699653827133359,0.009848448630300712
87,2020-4-18,5297,45,342,3387.8571428571427,518.0,399.71428571428567,32.714285714285715,3.0,3.2857142857142856,2.0107081851802975,4.762203596479652,4.488335997396452,2.947717023675311,0.6607544102882823,0.009656335652540588
88,2020-4-19,5807,47,494,3826.5714285714284,510.0,438.71428571428567,35.857142857142854,2.0,3.1428571428571423,2.0107081851802975,4.9738570896565255,4.940560149078991,2.6700067552353075,0.6254691123761332,0.00937056671395505
89,2020-4-20,6264,51,514,4287.857142857143,457.0,461.2857142857143,38.85714285714286,4.0,2.9999999999999996,1.9048814385918607,5.397164076010272,5.395340653325636,2.457882180216554,0.5931456731128202,0.009062135598867234
90,2020-4-21,6723,55,577,4765.714285714285,459.0,477.8571428571428,41.99999999999999,4.0,3.1428571428571423,1.9048814385918607,5.820471062364018,5.8614395697563575,2.2882518868643746,0.562985174079627,0.00881294964028777
91,2020-4-22,7281,58,769,5257.428571428572,558.0,491.71428571428567,45.14285714285713,3.0,3.1428571428571423,2.0107081851802975,6.137951302129329,6.34971706527209,2.1471326510909443,0.5342625899280575,0.008586489864681265
92,2020-4-23,8022,60,938,5764.999999999999,741.0,507.57142857142856,48.28571428571428,2.0,3.142857142857142,1.9048814385918607,6.3496047953062025,6.890272464722559,2.0221990219242816,0.5054888321286888,0.00837566596456449
93,2020-4-24,8773,63,1120,6310.428571428571,751.0,545.4285714285714,51.14285714285713,3.0,2.8571428571428563,1.9048814385918607,6.667085035071512,7.383409484775158,1.9292919634746857,0.4816751331929129,0.008104498222896338
94,2020-4-25,9590,67,1573,6881.0,817.0,570.5714285714284,54.14285714285714,4.0,2.9999999999999996,1.9048814385918607,7.090392021425259,7.800616704029506,1.8626607632300232,0.46313358839109864,0.007868457657732471
95,2020-4-26,10463,72,1695,7494.285714285714,873.0,613.2857142857142,57.285714285714285,5.0,3.1428571428571423,2.1165349317687343,7.619525754367443,8.268700506206141,1.7982154857014858,0.44389312184690766,0.007643919176515441
