date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-3-14,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-3-15,1,0,0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-16,1,0,0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-17,1,0,0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-18,1,0,0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-19,1,0,0,0.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-20,3,1,0,0.857142857142857,2.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.44950608271631126,,,,0.0
2020-3-21,4,1,0,1.2857142857142856,1.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.44950608271631126,0.44950608271631126,,,,0.11111111111111112
2020-3-22,5,1,0,1.7142857142857142,1.0,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.44950608271631126,0.44950608271631126,2.208254137500101,9.000000000000002,0.8888888888888888,0.16666666666666666
2020-3-23,5,1,0,2.2857142857142856,0.0,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.44950608271631126,0.44950608271631126,2.707969650641791,6.0,0.8333333333333334,0.1875
2020-3-24,6,1,0,2.8571428571428568,1.0,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.44950608271631126,0.44950608271631126,2.898505717650461,5.333333333333334,0.8125,0.2
2020-3-25,6,1,0,3.571428571428571,0.0,0.7142857142857142,0.7142857142857142,0.0,0.14285714285714285,0.44950608271631126,0.44950608271631126,3.0147359065137516,4.999999999999999,0.8,0.19999999999999998
2020-3-26,7,1,0,4.285714285714286,1.0,0.7142857142857142,0.857142857142857,0.0,0.14285714285714285,0.44950608271631126,0.44950608271631126,3.0147359065137516,4.999999999999999,0.8,0.19999999999999996
2020-3-27,7,1,0,5.142857142857142,0.0,0.857142857142857,0.9999999999999998,0.0,0.14285714285714285,0.0,0.44950608271631126,3.014735906513751,5.000000000000001,0.8,0.19444444444444442
2020-3-28,7,1,0,5.7142857142857135,0.0,0.5714285714285714,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,3.5,4.0,0.75,0.175
2020-3-29,7,1,0,6.142857142857142,0.0,0.42857142857142855,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,4.030016497454115,3.333333333333333,0.7,0.1627906976744186
2020-3-30,7,1,0,6.428571428571429,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,4.907924687139928,2.6875,0.627906976744186,0.1555555555555555
2020-3-31,16,1,0,6.714285714285714,9.0,0.2857142857142857,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,5.983289519730089,2.250000000000001,0.5555555555555556,0.14893617021276592
2020-4-1,18,1,0,8.142857142857142,2.0,1.4285714285714284,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,7.686119421009877,1.8800000000000001,0.46808510638297873,0.12280701754385963
2020-4-2,21,1,0,9.857142857142858,3.0,1.714285714285714,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,7.559399994995771,1.9,0.4736842105263158,0.10144927536231882
2020-4-3,21,1,1,11.857142857142858,0.0,1.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,7.457920372961654,1.916666666666667,0.4782608695652175,0.08433734939759034
2020-4-4,21,1,1,13.857142857142858,0.0,1.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,6.646970512665055,2.075,0.5180722891566265,0.07216494845360823
2020-4-5,21,1,1,15.857142857142858,0.0,1.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,5.96430912693775,2.2558139534883725,0.5567010309278351,0.06306306306306304
2020-4-6,24,1,1,17.857142857142858,3.0,1.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,5.374021245740197,2.466666666666667,0.5945945945945945,0.05599999999999999
2020-4-7,30,1,1,20.285714285714285,6.0,2.4285714285714284,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,4.960333513265511,2.659574468085107,0.624,0.049295774647887314
2020-4-8,34,1,1,22.285714285714285,4.0,2.0,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,5.3156868513785955,2.491228070175439,0.5985915492957746,0.044871794871794865
2020-4-9,44,1,1,24.571428571428573,10.0,2.2857142857142856,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,5.947941430726007,2.260869565217391,0.5576923076923077,0.04069767441860464
2020-4-10,44,1,1,27.857142857142858,0.0,3.2857142857142856,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,6.6588959041228675,2.072289156626506,0.5174418604651163,0.03589743589743589
2020-4-11,46,1,1,31.142857142857142,2.0,3.2857142857142856,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,6.948459995579736,2.010309278350516,0.5025641025641026,0.03211009174311926
2020-4-12,49,1,1,34.714285714285715,3.0,3.571428571428571,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,7.1885671993411115,1.9639639639639639,0.49082568807339444,0.02880658436213991
2020-4-13,57,1,1,38.71428571428571,8.0,3.9999999999999996,0.9999999999999998,0.0,0.0,0.0,0.44950608271631126,7.299055295484461,1.9440000000000002,0.48559670781893005,0.025830258302583023
