date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Death rate 2Weeks,Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-9-3,2805,113,1144,2603.0,28.0,63.57142857142856,107.71428571428571,1.0,1.2857142857142856,0.027667984189723317,0.2024711663704417,3.2684631142657024,31.711068032876163,1.115486964907761,0.14187668766876682,0.04138082432358268
2020-9-4,2876,115,1167,2658.714285714286,71.0,55.71428571428571,108.85714285714285,2.0,1.1428571428571428,0.039301310043668124,0.2024711663704417,3.3263120189429713,31.56765671357591,1.1160409499021362,0.1424729707480381,0.040943528021062804
2020-9-5,2935,117,1192,2716.5714285714284,59.0,57.85714285714285,110.14285714285714,2.0,1.2857142857142856,0.03703703703703704,0.23139561870907627,3.3841609236202403,32.47338234497877,1.1126287252115785,0.13878888829187053,0.040544804375262936
2020-9-6,2965,117,1198,2771.428571428571,30.0,54.85714285714286,111.57142857142857,0.0,1.4285714285714284,0.03529411764705882,0.2892445233863453,3.3841609236202403,33.40255611945546,1.1093304192846398,0.1352019352124526,0.04025773195876289
2020-9-7,2981,120,1215,2820.1428571428573,16.0,48.714285714285715,112.99999999999999,3.0,1.4285714285714284,0.03773584905660377,0.26032007104771077,3.470934280636144,35.13983031927812,1.10365455516042,0.12896907216494846,0.04006889215338635
2020-9-8,3033,124,1215,2866.8571428571427,52.0,46.71428571428571,114.7142857142857,4.0,1.7142857142857142,0.03484320557491289,0.3181689757249799,3.586632089990682,37.24921600146367,1.0975076630868539,0.12213160427536618,0.0400139525612916
2020-9-9,3092,126,1245,2910.2857142857138,59.0,43.42857142857143,116.85714285714283,2.0,2.142857142857143,0.03785488958990536,0.3470934280636144,3.6444809946679513,40.00774518507442,1.0904894412080401,0.11421168028702422,0.0401531513842529
2020-9-10,3217,130,1277,2955.2857142857138,125.0,45.0,118.85714285714283,4.0,2.0,0.0473186119873817,0.3760178804022489,3.7601788040224893,43.482181440234136,1.0829672619681605,0.10558609856666001,0.04021849470682071
2020-9-11,3279,131,1288,3014.1428571428573,62.0,58.85714285714286,121.28571428571426,1.0,2.428571428571429,0.03773584905660378,0.433866785079518,3.7891032563611238,45.880920167221,1.0784638079292526,0.10035287861942266,0.04023887388027868
2020-9-12,3335,132,1289,3071.714285714286,56.0,57.57142857142856,123.57142857142856,1.0,2.285714285714285,0.04218362282878412,0.4049423327408834,3.8180277086997583,46.67886081992193,1.0770721294838426,0.09872505805962373,0.040228815924100075
2020-9-13,3388,134,1301,3128.8571428571427,53.0,57.142857142857146,125.71428571428571,2.0,2.142857142857143,0.038369304556354906,0.433866785079518,3.8758766133770273,47.16529649886188,1.07624769415993,0.09775834806064565,0.0401789790886677
2020-9-14,3439,136,1324,3189.285714285714,51.0,60.42857142857142,128.14285714285714,2.0,2.4285714285714284,0.033112582781456956,0.4049423327408834,3.9337255180542963,46.70791162589357,1.0770223926983546,0.09866678842114862,0.040179171332586784
2020-9-15,3569,139,1332,3254.7142857142853,130.0,65.42857142857143,130.42857142857142,3.0,2.285714285714285,0.039351851851851846,0.3470934280636144,4.0204988750702,45.52450771557592,1.079101784831323,0.10109742441209413,0.040073739191502436
2020-9-16,3675,143,1401,3331.2857142857138,106.0,76.57142857142856,132.57142857142856,4.0,2.1428571428571423,0.0358744394618834,0.3760178804022489,4.136196684424738,43.37854218370639,1.0831735101637072,0.10582451828117456,0.03979587460868819
