,date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
34,2020-2-25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
35,2020-2-26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
36,2020-2-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
37,2020-2-28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
38,2020-2-29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
39,2020-3-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
40,2020-3-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
41,2020-3-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
42,2020-3-4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
43,2020-3-5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
44,2020-3-6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
45,2020-3-7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
46,2020-3-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
47,2020-3-9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
48,2020-3-10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
49,2020-3-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
50,2020-3-12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
51,2020-3-13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
52,2020-3-14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
53,2020-3-15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
54,2020-3-16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
55,2020-3-17,2,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
56,2020-3-18,2,0,0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,,,0.0
57,2020-3-19,3,0,0,0.5714285714285714,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,,,0.0
58,2020-3-20,14,0,0,1.0,11.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,,,,0.0
59,2020-3-21,14,0,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
60,2020-3-22,21,0,0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
61,2020-3-23,27,1,0,8.0,6.0,3.0,0.0,1.0,0.0,0.0,1.59219696113288,,,,0.0
62,2020-3-24,47,1,0,11.857142857142858,20.0,3.857142857142857,0.14285714285714285,0.0,0.14285714285714285,1.59219696113288,1.59219696113288,,,,0.012048192771084336
63,2020-3-25,52,1,0,18.285714285714285,5.0,6.428571428571429,0.2857142857142857,0.0,0.14285714285714285,1.59219696113288,1.59219696113288,1.302316027520914,41.50000000000001,0.9759036144578314,0.015625
64,2020-3-26,69,1,0,25.428571428571427,17.0,7.142857142857143,0.42857142857142855,0.0,0.14285714285714285,1.59219696113288,1.59219696113288,1.4,32.0,0.96875,0.016853932584269662
65,2020-3-27,82,1,0,34.857142857142854,13.0,9.428571428571427,0.5714285714285714,0.0,0.14285714285714285,1.59219696113288,1.59219696113288,1.4994499667586314,25.428571428571434,0.9606741573033708,0.01639344262295082
66,2020-3-28,84,1,0,44.57142857142857,2.0,9.714285714285714,0.7142857142857142,0.0,0.14285714285714285,1.59219696113288,1.59219696113288,1.9782841405432967,11.619047619047617,0.9139344262295082,0.016025641025641024
67,2020-3-29,85,1,0,54.57142857142857,1.0,10.0,0.857142857142857,0.0,0.14285714285714285,1.59219696113288,1.59219696113288,2.2179136946879683,8.914285714285713,0.8878205128205128,0.015706806282722512
68,2020-3-30,91,1,0,63.71428571428571,6.0,9.142857142857142,0.9999999999999998,0.0,0.14285714285714285,0.0,1.59219696113288,2.5270083895210083,6.821428571428569,0.8534031413612565,0.015695067264573988
69,2020-3-31,109,2,0,72.85714285714286,18.0,9.142857142857142,0.9999999999999998,1.0,0.0,0.0,3.18439392226576,2.885574042977261,5.373493975903614,0.8139013452914798,0.013725490196078428
70,2020-4-1,123,2,0,81.71428571428571,14.0,8.857142857142856,1.1428571428571428,0.0,0.14285714285714285,1.59219696113288,3.18439392226576,3.5099094627004144,3.984375000000001,0.7490196078431373,0.013986013986013986
