,date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K
45,2020-3-7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
46,2020-3-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
47,2020-3-9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
48,2020-3-10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
49,2020-3-11,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
50,2020-3-12,1,0,0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
51,2020-3-13,2,0,0,0.2857142857142857,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
52,2020-3-14,2,0,0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,,
53,2020-3-15,2,0,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,,
54,2020-3-16,2,0,0,1.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,,
55,2020-3-17,3,0,0,1.4285714285714284,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,,
56,2020-3-18,4,0,0,1.857142857142857,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,,,
57,2020-3-19,14,0,0,2.2857142857142856,10.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,1.8916670809912381,13.0,0.9230769230769231
58,2020-3-20,18,0,0,4.142857142857142,4.0,1.857142857142857,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,7.999999999999998,0.875
59,2020-3-21,23,1,0,6.428571428571428,5.0,2.2857142857142856,0.0,1.0,0.0,0.0,0.18147479850399437,2.4492815074466723,7.25,0.8620689655172413
60,2020-3-22,30,1,0,9.428571428571427,7.0,3.0,0.14285714285714285,0.0,0.14285714285714285,0.18147479850399437,0.18147479850399437,2.4080713634613566,7.499999999999999,0.8666666666666667
61,2020-3-23,36,1,0,13.428571428571427,6.0,4.0,0.2857142857142857,0.0,0.14285714285714285,0.18147479850399437,0.18147479850399437,2.2993080808719712,8.249999999999995,0.8787878787878788
62,2020-3-24,45,2,0,18.285714285714285,9.0,4.857142857142857,0.42857142857142855,1.0,0.14285714285714285,0.18147479850399437,0.36294959700798873,2.165398885514462,9.400000000000002,0.8936170212765957
63,2020-3-25,48,2,0,24.28571428571428,3.0,5.999999999999999,0.7142857142857142,0.0,0.2857142857142857,0.36294959700798873,0.36294959700798873,2.121494805985583,9.846153846153848,0.8984375
64,2020-3-26,51,3,0,30.57142857142857,3.0,6.285714285714286,0.9999999999999999,1.0,0.2857142857142857,0.36294959700798873,0.5444243955119831,2.053152639611897,10.625,0.9058823529411765
65,2020-3-27,51,3,2,35.857142857142854,0.0,5.2857142857142865,1.4285714285714284,0.0,0.42857142857142855,0.5444243955119831,0.5444243955119831,2.427617134671165,7.3793103448275845,0.8644859813084113
66,2020-3-28,65,6,2,40.57142857142857,14.0,4.714285714285714,1.857142857142857,3.0,0.42857142857142855,0.36294959700798873,1.0888487910239661,2.822932990884468,5.577777777777778,0.8207171314741035
67,2020-3-29,65,6,2,46.57142857142857,0.0,6.0,2.571428571428571,0.0,0.7142857142857142,0.9073739925199718,1.0888487910239661,3.3248581114491533,4.3030303030303045,0.767605633802817
68,2020-3-30,81,8,2,51.57142857142857,16.0,5.0,3.2857142857142856,2.0,0.7142857142857142,0.9073739925199718,1.451798388031955,3.901592250968203,3.468085106382979,0.7116564417177914
69,2020-3-31,98,8,2,57.99999999999999,17.0,6.428571428571428,4.285714285714286,0.0,0.9999999999999999,1.0888487910239661,1.451798388031955,4.6795978715710085,2.8203125000000004,0.6454293628808865
70,2020-4-1,109,9,3,65.57142857142857,11.0,7.571428571428571,5.142857142857142,1.0,0.8571428571428571,1.0888487910239661,1.633273186535949,5.573492553918969,2.388235294117647,0.5812807881773399
71,2020-4-2,134,13,3,74.28571428571428,25.0,8.714285714285714,6.142857142857142,4.0,1.0,1.0888487910239661,2.3591723805519265,6.3585301343778,2.1448598130841123,0.5337690631808278
