,date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K
34,2020-2-25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
35,2020-2-26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
36,2020-2-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
37,2020-2-28,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,2020-2-29,1,0,0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
39,2020-3-1,1,0,0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
40,2020-3-2,1,0,0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
41,2020-3-3,1,0,0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
42,2020-3-4,1,0,0,0.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
43,2020-3-5,1,0,0,0.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
44,2020-3-6,1,0,0,0.9999999999999998,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,
45,2020-3-7,1,0,0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.493450309756155,6.999999999999999,0.8571428571428571
46,2020-3-8,1,0,0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8730632896557857,3.4999999999999996,0.7142857142857142
47,2020-3-9,2,0,0,0.9999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.726475293708763,2.333333333333333,0.5714285714285714
48,2020-3-10,2,0,0,1.1428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,8.670288380926669,1.7499999999999998,0.4285714285714285
49,2020-3-11,2,0,0,1.2857142857142856,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,10.323388931498638,1.6,0.375
50,2020-3-12,2,0,0,1.4285714285714284,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,11.966579039460179,1.5000000000000002,0.33333333333333337
51,2020-3-13,2,0,0,1.5714285714285712,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,13.603507469123121,1.4285714285714286,0.30000000000000004
52,2020-3-14,2,0,0,1.714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,10.734933538825668,1.5714285714285716,0.36363636363636365
53,2020-3-15,2,0,0,1.8571428571428568,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,9.001969877956517,1.7142857142857144,0.41666666666666674
54,2020-3-16,2,0,0,1.9999999999999996,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,7.838001532102691,1.8571428571428572,0.46153846153846156
55,2020-3-17,3,0,0,1.9999999999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.670288380926669,1.7499999999999998,0.4285714285714285
56,2020-3-18,8,0,1,2.1428571428571423,5.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,10.981599347020161,1.5555555555555554,0.3571428571428571
57,2020-3-19,8,0,1,3.0,0.0,0.857142857142857,0.0,0.0,0.0,0.0,0.0,11.966579039460187,1.4999999999999998,0.33333333333333326
58,2020-3-20,12,0,1,3.857142857142857,4.0,0.857142857142857,0.0,0.0,0.0,0.0,0.0,7.503597941917569,1.9090909090909096,0.4761904761904763
59,2020-3-21,22,0,1,5.285714285714286,10.0,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,5.983289519730089,2.250000000000001,0.5555555555555556
60,2020-3-22,30,0,2,8.142857142857142,8.0,2.8571428571428568,0.0,0.0,0.0,0.0,0.0,4.6387917111639805,2.846153846153847,0.6486486486486487
61,2020-3-23,40,1,2,12.142857142857142,10.0,3.9999999999999996,0.0,1.0,0.0,0.0,0.0048579013809682565,3.455876932113771,4.071428571428573,0.7543859649122807
62,2020-3-24,44,1,2,17.57142857142857,4.0,5.428571428571428,0.14285714285714285,0.0,0.14285714285714285,0.0048579013809682565,0.0048579013809682565,2.690201043383606,6.071428571428573,0.8352941176470589
63,2020-3-25,51,1,2,23.428571428571423,7.0,5.857142857142856,0.2857142857142857,0.0,0.14285714285714285,0.0048579013809682565,0.0048579013809682565,2.3059510032061064,8.2,0.8780487804878049
64,2020-3-26,65,1,2,29.57142857142857,14.0,6.142857142857142,0.42857142857142855,0.0,0.14285714285714285,0.0048579013809682565,0.0048579013809682565,2.3606901264647764,7.809523809523808,0.8719512195121951
65,2020-3-27,70,1,3,37.71428571428571,5.0,8.142857142857142,0.5714285714285714,0.0,0.14285714285714285,0.0048579013809682565,0.0048579013809682565,2.382087149471672,7.666666666666668,0.8695652173913043
