date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-3-18,79,2,3,38.857142857142854,11.0,7.285714285714286,1.714285714285714,0.0,0.14285714285714285,0.022130221971658932,0.044260443943317865,3.3980877715360935,4.169811320754717,0.7601809954751131,0.044117647058823525
2020-3-19,97,3,3,47.42857142857142,18.0,8.571428571428571,1.8571428571428568,1.0,0.14285714285714285,0.022130221971658932,0.06639066591497679,3.612501009019946,3.8309859154929575,0.7389705882352942,0.03915662650602409
2020-3-20,128,3,3,58.57142857142856,31.0,11.142857142857142,2.1428571428571423,0.0,0.2857142857142857,0.022130221971658932,0.06639066591497679,3.6855567236651416,3.7303370786516865,0.7319277108433735,0.036585365853658534
2020-3-21,158,4,3,72.42857142857142,30.0,13.857142857142854,2.2857142857142856,1.0,0.14285714285714285,0.022130221971658932,0.08852088788663573,3.895734451513315,3.4745762711864407,0.7121951219512195,0.03155818540433925
2020-3-22,266,4,3,90.14285714285712,108.0,17.71428571428571,2.571428571428571,0.0,0.2857142857142857,0.044260443943317865,0.08852088788663573,3.854801870569783,3.5208333333333335,0.7159763313609467,0.02852614896988907
2020-3-23,301,4,3,121.71428571428571,35.0,31.57142857142857,2.8571428571428568,0.0,0.2857142857142857,0.044260443943317865,0.08852088788663573,3.81702148896856,3.56497175141243,0.7194928684627575,0.023474178403755867
2020-3-24,387,6,52,156.71428571428572,86.0,35.0,3.1428571428571423,2.0,0.2857142857142857,0.044260443943317865,0.13278133182995358,3.5956310929958213,3.8552036199095023,0.7406103286384977,0.02005469462169553
2020-3-25,387,8,52,202.28571428571428,0.0,45.57142857142856,3.714285714285714,2.0,0.5714285714285714,0.08852088788663573,0.17704177577327146,3.4793241697846655,4.033088235294119,0.7520510483135825,0.018361581920903956
2020-3-26,502,9,63,246.28571428571428,115.0,44.0,4.571428571428571,1.0,0.8571428571428571,0.11065110985829466,0.19917199774493038,3.3451750639201103,4.265060240963856,0.7655367231638418,0.018561484918793503
2020-3-27,589,13,72,304.1428571428571,87.0,57.85714285714285,5.428571428571428,4.0,0.857142857142857,0.13278133182995358,0.2876928856315661,3.3782740960402284,4.204878048780488,0.7621809744779583,0.017848755284170972
2020-3-28,690,18,72,370.0,101.0,65.85714285714286,6.857142857142857,5.0,1.4285714285714284,0.19917199774493038,0.39834399548986077,3.3814492672357104,4.199211045364892,0.7618600281822452,0.018532818532818532
2020-3-29,745,19,72,446.0,55.0,76.0,8.857142857142858,1.0,1.9999999999999998,0.309823107603225,0.4204742174615197,3.4360209673048474,4.1045958795562605,0.7563706563706565,0.01985906470211403
2020-3-30,820,23,228,514.4285714285714,75.0,68.42857142857143,10.999999999999998,4.0,2.142857142857143,0.331953329574884,0.5089951053481554,3.736232247534704,3.664319248826291,0.7270980140935298,0.021382949180783112
2020-3-31,1054,27,240,588.5714285714286,234.0,74.14285714285714,13.714285714285712,4.0,2.7142857142857144,0.37621377351820184,0.5975159932347911,4.082027589142198,3.2825888787602553,0.6953623993335185,0.023300970873786405
2020-4-1,1054,28,248,683.8571428571428,0.0,95.28571428571428,16.714285714285715,1.0,3.0,0.4204742174615197,0.61964621520645,4.543026468944522,2.909604519774011,0.6563106796116505,0.024441194902861924
2020-4-2,1133,36,256,779.142857142857,79.0,95.28571428571428,19.57142857142857,8.0,2.8571428571428563,0.4204742174615197,0.7966879909797215,4.751038678696392,2.7766821345707653,0.6398579486108209,0.02511917858452512
2020-4-3,1265,39,266,869.2857142857142,132.0,90.14285714285714,23.428571428571427,3.0,3.8571428571428568,0.5089951053481554,0.8630786568946983,5.157910344548077,2.5617660873649597,0.6096442977631096,0.02695152013147083
2020-4-4,1451,43,279,965.8571428571428,186.0,96.57142857142856,27.14285714285714,4.0,3.714285714285714,0.46473466140483755,0.951599544781334,5.680411150305971,2.349420849420849,0.5743631881676252,0.02810235172311788
2020-4-5,1451,44,280,1074.5714285714284,0.0,108.71428571428571,30.71428571428571,1.0,3.571428571428571,0.5311253273198143,0.9737297667529929,6.279344104784097,2.165598975016015,0.5382339890548735,0.028582823717096518
2020-4-6,1554,48,325,1175.4285714285713,103.0,100.85714285714285,34.285714285714285,4.0,3.5714285714285707,0.46473466140483755,1.0622506546396286,6.586879439384765,2.08886420438767,0.5212709385801648,0.02916869227029655
2020-4-7,1628,56,338,1280.2857142857142,74.0,104.85714285714285,37.857142857142854,8.0,3.571428571428571,0.46473466140483755,1.2392924304129,7.014748814844986,1.9970873786407768,0.49927078269324254,0.029569292568623073
2020-4-8,1715,63,358,1362.2857142857142,87.0,81.99999999999999,41.99999999999999,7.0,4.142857142857142,0.61964621520645,1.3942039842145126,7.737380737286315,1.8721537497388763,0.46585583575094847,0.030830536912751675
2020-4-9,1795,72,365,1456.7142857142858,80.0,94.42857142857142,47.0,9.0,5.0,0.5975159932347911,1.593375981959443,8.684114324269396,1.7484415108177485,0.42806208053691286,0.03226439148769246
2020-4-10,1975,82,375,1551.285714285714,180.0,94.57142857142858,52.142857142857146,10.0,5.142857142857142,0.7302973250647448,1.8146782016760323,9.398299395419606,1.6757600657354152,0.4032558595665392,0.03361267151671425
2020-4-11,1975,83,440,1652.7142857142856,0.0,101.42857142857142,58.285714285714285,1.0,6.142857142857142,0.8630786568946983,1.8368084236476914,10.240165529147784,1.6061233545333529,0.37738281609724644,0.03526666090414038
2020-4-12,2142,90,468,1727.5714285714284,167.0,74.85714285714285,64.0,7.0,5.714285714285714,0.8630786568946983,1.9917199774493037,11.27076317421363,1.5380218027120447,0.3498141585270983,0.03704622508889441
2020-4-13,2208,97,515,1826.2857142857142,66.0,98.7142857142857,70.57142857142857,7.0,6.571428571428572,0.9294693228096751,2.1466315312509163,12.599933446078737,1.4697374817695674,0.31960638385843054,0.03864205256570714
2020-4-14,2277,102,559,1919.7142857142856,69.0,93.42857142857143,77.57142857142857,5.0,7.0,0.9073391008380162,2.257282641109211,13.65995770671621,1.4264673064048203,0.29896745932415525,0.0404077987795803
2020-4-15,2443,111,596,2012.428571428571,166.0,92.71428571428571,84.14285714285714,9.0,6.571428571428571,0.8630786568946983,2.4564546388541415,14.145349278519639,1.4091862416107381,0.29037059086173533,0.0418115993469156
2020-4-16,2571,115,631,2116.428571428571,128.0,103.99999999999999,91.0,4.0,6.857142857142857,0.8630786568946983,2.544975526740777,15.014382588657861,1.3814847504167889,0.27614112302122507,0.04299696253796828
2020-4-17,2669,123,666,2227.285714285714,98.0,110.85714285714286,97.14285714285714,8.0,6.142857142857142,0.7302973250647448,2.7220173025140486,15.619164634045156,1.3643061055345798,0.267026662166723,0.04361490603553332
2020-4-18,2758,129,685,2326.428571428571,89.0,99.14285714285714,103.0,6.0,5.857142857142856,0.8852088788663572,2.854798634344002,16.262077842760725,1.3476532111677761,0.25796934128663973,0.04427387166103777
2020-4-19,2839,132,709,2438.2857142857138,81.0,111.85714285714285,109.57142857142857,3.0,6.57142857142857,0.8630786568946983,2.921189300258979,16.302897372837347,1.3466468204746547,0.2574147988946883,0.04493789547691587
2020-4-20,2941,136,737,2537.8571428571427,102.0,99.57142857142856,115.57142857142857,4.0,5.999999999999999,0.7745577690080626,3.0097101881456148,16.78839442711097,1.335106382978723,0.25099601593625487,0.04553898114269631
