date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-3-27,225,0,57,186.57142857142858,17.0,8.571428571428571,0.0,0.0,0.0,0.0,0.0,12.26861926118145,1.485101311084625,0.3266452648475122,0.0
2020-3-28,235,0,64,196.0,10.0,9.428571428571427,0.0,0.0,0.0,0.0,0.0,13.763573785263912,1.422657952069717,0.2970903522205207,0.0
2020-3-29,255,0,67,204.42857142857144,20.0,8.428571428571429,0.0,0.0,0.0,0.0,0.0,14.868939289314472,1.385858585858586,0.27842565597667646,0.0
2020-3-30,266,0,72,213.99999999999997,11.0,9.57142857142857,0.0,0.0,0.0,0.0,0.0,16.477713044590605,1.3424015009380865,0.2550663871418589,0.0
2020-3-31,289,0,73,224.99999999999997,23.0,10.999999999999998,0.0,0.0,0.0,0.0,0.0,17.31971623214276,1.323321554770318,0.24432576769025371,0.0
2020-4-1,317,0,80,238.99999999999997,28.0,14.0,0.0,0.0,0.0,0.0,0.0,17.466909569528248,1.3202011735121542,0.2425396825396825,0.0
2020-4-2,342,0,81,256.4285714285714,25.0,17.428571428571427,0.0,0.0,0.0,0.0,0.0,16.46542092074721,1.342696629213483,0.2552301255230125,0.0
2020-4-3,417,0,82,275.57142857142856,75.0,19.14285714285714,0.0,0.0,0.0,0.0,0.0,15.256230112042703,1.3744257274119445,0.27242339832869067,0.0
2020-4-4,479,1,93,303.0,62.0,27.42857142857143,0.0,1.0,0.0,0.0,0.23426242592329266,14.240010771310175,1.4059766763848396,0.2887506480041472,0.0
2020-4-5,556,1,99,337.85714285714283,77.0,34.857142857142854,0.14285714285714285,0.0,0.14285714285714285,0.23426242592329266,0.23426242592329266,12.33000123519851,1.4821802935010482,0.3253182461103252,0.0004228329809725159
2020-4-6,665,1,103,380.8571428571429,109.0,43.0,0.2857142857142857,0.0,0.14285714285714285,0.23426242592329266,0.23426242592329266,10.625338193077162,1.5787716955941256,0.36659619450317127,0.0007501875468867216
2020-4-7,743,1,105,437.8571428571429,78.0,56.99999999999999,0.42857142857142855,0.0,0.14285714285714285,0.23426242592329266,0.23426242592329266,9.21871457440479,1.692698412698413,0.4092273068267068,0.0009787928221859706
2020-4-8,855,1,111,502.7142857142858,112.0,64.85714285714285,0.5714285714285714,0.0,0.14285714285714285,0.23426242592329266,0.23426242592329266,8.014199985066572,1.8320382546323974,0.45415986949429044,0.0011366865586814434
2020-4-9,910,1,111,579.5714285714286,55.0,76.85714285714285,0.7142857142857142,0.0,0.14285714285714285,0.23426242592329266,0.23426242592329266,7.207714288632617,1.960445682451254,0.4899119067917024,0.0012324377618930242
2020-4-10,993,1,123,660.7142857142857,83.0,81.14285714285714,0.857142857142857,0.0,0.14285714285714285,0.23426242592329266,0.23426242592329266,6.52644044274466,2.1031622602384656,0.5245255114616711,0.0012972972972972972
2020-4-11,1154,1,133,743.0,161.0,82.28571428571429,0.9999999999999998,0.0,0.14285714285714285,0.0,0.23426242592329266,6.223833532556664,2.1805752003771803,0.5414054054054054,0.001345895020188425
