date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Death rate 2Weeks,Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-4-29,375,28,32,218.7142857142857,57.0,30.14285714285714,18.57142857142857,3.0,1.857142857142857,0.5555555555555556,0.27330447314014883,0.6377104373270139,4.443994893615032,2.181187517086706,0.6643939393939393,0.08491182233834095
2020-4-30,442,31,39,252.28571428571428,67.0,33.57142857142857,20.714285714285715,3.0,2.142857142857143,0.7222222222222223,0.27330447314014883,0.7060365556120511,4.747854797175312,2.074994028972351,0.6401045068582625,0.08210645526613818
2020-5-1,533,36,46,290.57142857142856,91.0,38.285714285714285,22.857142857142854,5.0,2.142857142857143,0.8823529411764707,0.34163059142518604,0.8199134194204465,5.186883080581296,1.9506704421693888,0.6075877689694225,0.07866273352999016
2020-5-2,592,41,52,341.8571428571428,59.0,51.285714285714285,25.71428571428571,5.0,2.8571428571428568,0.9375000000000002,0.4327320824719023,0.9337902832288418,5.442386779056399,1.8904301772401921,0.5899705014749262,0.07521938988717093
2020-5-3,592,41,52,395.99999999999994,0.0,54.14285714285714,29.142857142857142,0.0,3.428571428571429,0.42553191489361697,0.4555074552335814,0.9337902832288418,5.4411389602435545,1.8907062732484317,0.5900543251149184,0.0735930735930736
2020-5-4,678,41,61,446.71428571428567,86.0,50.714285714285715,32.0,0.0,2.8571428571428568,0.5106382978723405,0.4327320824719023,0.9337902832288418,5.525792842857423,1.872346605841696,0.5844155844155844,0.07163415414134955
2020-5-5,778,45,70,504.2857142857142,100.0,57.57142857142857,34.714285714285715,4.0,2.714285714285714,0.2564102564102564,0.3644059641868651,1.024891774275558,5.625918427610336,1.851563179491431,0.5778701630956188,0.06883852691218131
2020-5-6,852,49,80,569.9999999999999,74.0,65.71428571428572,37.57142857142857,4.0,2.8571428571428568,0.2533333333333333,0.3871813369485442,1.1159932653222744,5.808194014402018,1.8161115084421777,0.5662889518413597,0.06591478696741855
2020-5-7,930,52,92,638.142857142857,78.0,68.14285714285714,40.57142857142857,3.0,3.0,0.18518518518518515,0.40995670971022324,1.1843193836073116,5.9528699206037485,1.789964533964236,0.5573934837092731,0.06357734497425567
2020-5-8,1111,59,102,707.8571428571428,181.0,69.71428571428571,43.57142857142857,7.0,2.9999999999999996,0.14788732394366194,0.3644059641868651,1.343746992939065,6.167473828710981,1.7540680229594854,0.5446608462055069,0.0615539858728557
2020-5-9,1164,64,119,790.4285714285713,53.0,82.57142857142856,46.857142857142854,5.0,3.2857142857142856,0.14893617021276595,0.40995670971022324,1.4576238567474604,6.6662561488653544,1.6818466718858345,0.517053481331988,0.059280679559009584
2020-5-10,1365,70,149,872.1428571428571,201.0,81.71428571428571,50.14285714285714,6.0,3.2857142857142856,0.1564625850340136,0.5238335735186186,1.5942760933175348,7.020114971967666,1.6383448387859285,0.4990059642147118,0.05749385749385749
2020-5-11,1526,74,162,982.5714285714284,161.0,110.42857142857142,54.28571428571428,4.0,4.142857142857142,0.13450292397660818,0.660485810088693,1.6853775843642511,7.252292189892377,1.6126542908329453,0.4877968877968878,0.055248618784530384
2020-5-12,1661,80,173,1103.7142857142856,135.0,121.14285714285714,59.0,6.0,4.7142857142857135,0.17261904761904762,0.660485810088693,1.8220298209343255,7.274080573902899,1.6103475565491905,0.48676940971212557,0.05345586331866426
2020-5-13,1818,90,198,1229.8571428571427,157.0,126.14285714285714,64.0,10.0,5.0,0.15639810426540285,0.7060365556120511,2.049783548551116,7.342660440524063,1.603197421908229,0.48356199844680303,0.052038564293181565
2020-5-14,1818,90,198,1367.857142857143,0.0,137.99999999999997,69.85714285714286,0.0,5.857142857142856,0.14893617021276598,0.8654641649438046,2.049783548551116,7.395360304039853,1.597814116641007,0.4811244046927634,0.051070496083550916
2020-5-15,1964,91,205,1494.7142857142858,146.0,126.85714285714285,75.28571428571428,1.0,5.428571428571428,0.15298507462686564,0.7060365556120511,2.0725589213127953,7.365417283302985,1.6008611303249543,0.48250652741514366,0.05036796329924495
2020-5-16,2289,97,222,1616.5714285714284,325.0,121.85714285714286,79.85714285714285,6.0,4.571428571428571,0.10584958217270193,0.6149350645653349,2.2092111578828697,7.615626383469485,1.576302927836339,0.4711841727993884,0.04939908094733121
2020-5-17,2289,97,222,1777.2857142857142,0.0,160.71428571428572,84.57142857142857,0.0,4.7142857142857135,0.08443271767810026,0.6149350645653349,2.2092111578828697,7.862510467289768,1.5539382776256354,0.46049840933191943,0.04758459930873724
2020-5-18,2591,105,247,1909.2857142857142,302.0,132.0,88.42857142857143,8.0,3.8571428571428568,0.09295774647887323,0.5238335735186186,2.3914141399763023,8.186737785097938,1.5270463791749893,0.44715055059882647,0.046315001870557426
2020-5-19,2728,111,286,2061.4285714285716,137.0,152.14285714285714,92.85714285714285,6.0,4.428571428571429,0.06699751861042183,0.5693843190419767,2.5280663765463767,8.853292974920912,1.4791430770625076,0.42192293303404416,0.045045045045045036
2020-5-20,2728,111,286,2213.8571428571427,0.0,152.4285714285714,97.28571428571428,0.0,4.428571428571428,0.06739130434782609,0.47828282799526045,2.5280663765463767,9.394034739738176,1.446185545972369,0.4033957033957035,0.0439439891591921
2020-5-21,3138,121,309,2343.8571428571427,410.0,130.0,100.28571428571428,10.0,3.0,0.0649895178197065,0.47828282799526045,2.7558201041631674,10.077096046589427,1.4104687373137803,0.382138478415177,0.04278661546900713
2020-5-22,3378,137,372,2532.4285714285716,240.0,188.57142857142856,104.71428571428572,16.0,4.428571428571429,0.04303278688524591,0.6832611828503721,3.1202260683500325,10.7855767122235,1.3789613986840104,0.36228439080880104,0.04134935409262707
