date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-3-22,3,0,0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-23,3,0,0,1.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-3-24,3,1,0,1.4285714285714286,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,1.798868511706137,,,,0.0
2020-3-25,4,1,0,1.8571428571428572,1.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,1.798868511706137,1.798868511706137,,,,0.07692307692307691
2020-3-26,4,1,0,2.428571428571429,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,1.798868511706137,1.798868511706137,,,,0.1176470588235294
2020-3-27,5,1,0,3.0,1.0,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,1.798868511706137,1.798868511706137,,,,0.14285714285714285
2020-3-28,5,1,0,3.571428571428571,0.0,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,1.798868511706137,1.798868511706137,1.5936917408786708,21.00000000000001,0.9523809523809523,0.16
2020-3-29,6,1,0,3.8571428571428568,1.0,0.2857142857142857,0.7142857142857142,0.0,0.14285714285714285,1.798868511706137,1.798868511706137,2.6476477907811047,6.250000000000002,0.84,0.18518518518518517
2020-3-30,6,1,0,4.285714285714285,0.0,0.42857142857142855,0.857142857142857,0.0,0.14285714285714285,1.798868511706137,1.798868511706137,3.5942916033884744,3.8571428571428577,0.7407407407407407,0.2
2020-3-31,6,1,0,4.714285714285714,0.0,0.42857142857142855,0.9999999999999998,0.0,0.14285714285714285,0.0,1.798868511706137,4.416508275000203,2.999999999999999,0.6666666666666665,0.21212121212121207
2020-4-1,6,1,0,5.142857142857142,0.0,0.42857142857142855,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,5.208510045920725,2.5384615384615383,0.6060606060606061,0.19444444444444442
2020-4-2,6,1,0,5.428571428571428,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,6.466738753028154,2.1176470588235294,0.5277777777777777,0.18421052631578946
2020-4-3,6,1,0,5.7142857142857135,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,8.181296686859863,1.8095238095238093,0.4473684210526315,0.175
2020-4-4,7,1,0,5.857142857142856,1.0,0.14285714285714285,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,10.323388931498641,1.5999999999999999,0.375,0.17073170731707318
2020-4-5,7,1,0,6.142857142857142,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,11.615085958256103,1.5185185185185184,0.3414634146341463,0.1627906976744186
2020-4-6,7,1,1,6.285714285714286,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,13.477759486949669,1.4333333333333336,0.30232558139534893,0.15909090909090906
2020-4-7,7,1,1,6.428571428571429,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,16.865945877572468,1.3333333333333333,0.25,0.1555555555555555
2020-4-8,7,1,1,6.571428571428571,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,21.74398603653771,1.2500000000000002,0.20000000000000007,0.15217391304347824
2020-4-9,7,1,1,6.714285714285714,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,0.0,1.798868511706137,25.39595535895121,1.2105263157894737,0.17391304347826098,0.14893617021276592
