2020/06/14 20:22:48 UTC
"
North America
","2,475,982","+21,416","144,903",+767,"1,059,751","1,271,328","19,438",,,,,,North America
"
South America
","1,402,507","+10,357","59,626",+321,"750,334","592,547","12,071",,,,,,South America
"
Europe
","2,205,756","+14,958","182,865",+286,"1,167,652","855,239","6,593",,,,,,Europe
"
Asia
","1,617,137","+39,465","40,247",+771,"990,411","586,479","15,519",,,,,,Asia
"
Africa
","238,676","+2,972","6,397",+114,"110,123","122,156",515,,,,,,Africa
"
Oceania
","8,931",+18,124,,"8,426",381,3,,,,,,Australia/Oceania
"

",721,,15,,651,55,4,,,,,,
World,"7,949,710","+89,186","434,177","+2,259","4,087,348","3,428,185","54,143","1,020",55.7,,,,All
USA,"2,158,193","+15,969","117,790 ",+263,"857,667","1,182,736","16,730","6,522",356,"24,624,093","74,413","330,912,290 ",North America
Brazil,"852,785","+1,989","42,837 ",+46,"437,512","372,436","8,318","4,013",202,"1,499,041","7,055","212,488,104 ",South America
Russia,"528,964","+8,835","6,948 ",+119,"280,050","241,966","2,300","3,625",48,"14,880,172","101,967","145,931,723 ",Europe
India,"333,008","+11,382","9,520 ",+321,"169,689","153,799","8,944",241,7,"5,658,614","4,102","1,379,344,820 ",Asia
UK,"295,889","+1,514","41,698 ",+36,N/A,N/A,392,"4,360",614,"6,772,602","99,789","67,869,522 ",Europe
Spain,"291,008",+323,"27,136 ",,N/A,N/A,617,"6,224",580,"4,465,338","95,507","46,753,986 ",Europe
Italy,"236,989",+338,"34,345 ",+44,"176,370","26,274",209,"3,919",568,"4,620,718","76,419","60,465,633 ",Europe
Peru,"225,132",,"6,498 ",,"111,724","106,910","1,113","6,833",197,"1,338,477","40,623","32,948,535 ",South America
Germany,"187,631",+208,"8,869 ",+2,"172,200","6,562",447,"2,240",106,"4,694,147","56,035","83,771,837 ",Europe
Iran,"187,427","+2,472","8,837 ",+107,"148,674","29,916","2,781","2,233",105,"1,244,074","14,821","83,939,011 ",Asia
Turkey,"178,239","+1,562","4,807 ",+15,"151,417","22,015",717,"2,114",57,"2,632,171","31,226","84,294,508 ",Asia
Chile,"174,293","+6,938","3,323 ",+222,"143,704","27,266","1,715","9,121",174,"840,150","43,968","19,108,331 ",South America
France,"157,220",+407,"29,407 ",+9,"72,859","54,954",869,"2,409",451,"1,384,633","21,215","65,267,057 ",Europe
Mexico,"142,690","+3,494","16,872 ",+424,"104,975","20,843",378,"1,107",131,"401,755","3,118","128,866,423 ",North America
Pakistan,"139,230","+6,825","2,632 ",+81,"51,735","84,863",111,631,12,"868,565","3,936","220,661,983 ",Asia
Saudi Arabia,"127,541","+4,233",972 ,+40,"84,720","41,849","1,855","3,666",28,"1,106,398","31,806","34,785,871 ",Asia
Canada,"98,735",+325,"8,146 ",+39,"60,241","30,348","1,937","2,617",216,"2,113,924","56,033","37,726,251 ",North America
Bangladesh,"87,520","+3,141","1,171 ",+32,"18,730","67,619",1,532,7,"504,465","3,065","164,609,508 ",Asia
Qatar,"79,602","+1,186",73 ,+3,"56,898","22,631",231,"28,350",26,"290,714","103,538","2,807,805 ",Asia
South Africa,"65,736",,"1,423 ",,"36,850","27,463",208,"1,109",24,"1,087,887","18,354","59,271,249 ",Africa
Belgium,"60,029",+111,"9,655 ",+5,"16,589","33,785",82,"5,181",833,"1,024,302","88,399","11,587,314 ",Europe
Belarus,"53,973",+732,308 ,+5,"30,103","23,562",92,"5,712",33,"733,788","77,654","9,449,458 ",Europe
Sweden,"51,614",+38,"4,874 ",,N/A,N/A,272,"5,112",483,"325,000","32,190","10,096,321 ",Europe
Netherlands,"48,783",+143,"6,059  ",+2,N/A,N/A,77,"2,847",354,"455,067","26,561","17,133,178 ",Europe
Colombia,"48,746",,"1,592 ",,"19,426","27,728",335,959,31,"482,832","9,494","50,856,291 ",South America
Ecuador,"46,751",+395,"3,896 ",+22,"23,064","19,791",230,"2,652",221,"134,141","7,609","17,629,274 ",South America
Egypt,"44,598","+1,618","1,575 ",+91,"11,931","31,092",41,436,15,"135,000","1,321","102,231,323 ",Africa
UAE,"42,294",+304,289 ,+1,"27,462","14,543",1,"4,279",29,"2,626,000","265,670","9,884,452 ",Asia
Singapore,"40,604",+407,26 ,,"29,589","10,989",2,"6,943",4,"488,695","83,564","5,848,152 ",Asia
Indonesia,"38,277",+857,"2,134 ",+43,"14,531","21,612",,140,8,"514,287","1,881","273,381,886 ",Asia
Portugal,"36,690",+227,"1,517 ",+5,"22,669","12,504",73,"3,598",149,"975,737","95,680","10,197,961 ",Europe
Kuwait,"35,920",+454,296 ,+7,"26,759","8,865",171,"8,417",69,"334,612","78,412","4,267,336 ",Asia
Ukraine,"31,154",+648,889 ,+9,"14,082","16,183",314,712,20,"489,334","11,186","43,744,419 ",Europe
Switzerland,"31,117",+23,"1,938 ",,"28,800",379,15,"3,597",224,"458,933","53,046","8,651,628 ",Europe
Argentina,"30,295",,819 ,+4,"9,564","19,912",274,671,18,"234,370","5,188","45,175,755 ",South America
Poland,"29,392",+375,"1,247 ",+10,"14,226","13,919",83,777,33,"1,188,742","31,408","37,848,394 ",Europe
Philippines,"25,930",+538,"1,088 ",+14,"5,954","18,888",82,237,10,"506,626","4,626","109,507,509 ",Asia
Ireland,"25,303",+8,"1,706 ",+1,"22,698",899,28,"5,127",346,"367,780","74,524","4,935,066 ",Europe
Afghanistan,"24,766",+664,471 ,+20,"4,725","19,570",19,637,12,"55,981","1,440","38,879,781 ",Asia
Oman,"23,481","+1,404",104 ,+5,"8,454","14,923",100,"4,605",20,"139,760","27,408","5,099,223 ",Asia
