2020/07/31 05:41:04 JST
北海道,1399,103
青森県,31,1
岩手県,0,0
宮城県,149,1
秋田県,18,0
山形県,75,1
福島県,87,0
茨城県,266,10
栃木県,169,0
群馬県,183,19
埼玉県,2199,73
千葉県,1571,48
東京都,11861,329
神奈川県,2356,98
新潟県,99,0
富山県,236,22
石川県,316,27
福井県,135,8
山梨県,90,1
長野県,102,-
岐阜県,295,7
静岡県,234,1
愛知県,1282,35
三重県,77,1
滋賀県,163,1
京都府,708,20
大阪府,3651,89
兵庫県,1059,45
奈良県,221,2
和歌山県,140,3
鳥取県,10,0
島根県,29,0
岡山県,71,-
広島県,286,3
山口県,53,0
徳島県,18,1
香川県,46,0
愛媛県,89,5
高知県,80,3
福岡県,1535,33
佐賀県,72,0
長崎県,61,2
熊本県,157,3
大分県,62,1
宮崎県,106,0
鹿児島県,232,0
沖縄県,231,7
