2020/08/14 10:32:06 JST
北海道,1579,103
青森県,32,1
岩手県,7,0
宮城県,182,1
秋田県,36,0
山形県,76,1
福島県,100,0
茨城県,416,10
栃木県,261,0
群馬県,244,19
埼玉県,3001,80
千葉県,2258,55
東京都,16474,336
神奈川県,3398,104
新潟県,129,0
富山県,293,22
石川県,399,28
福井県,154,8
山梨県,133,1
長野県,139,-
岐阜県,484,7
静岡県,382,1
愛知県,3306,37
三重県,249,1
滋賀県,311,3
京都府,1001,21
大阪府,6178,98
兵庫県,1692,47
奈良県,341,2
和歌山県,186,4
鳥取県,21,0
島根県,130,0
岡山県,117,-
広島県,423,3
山口県,78,0
徳島県,62,1
香川県,60,0
愛媛県,107,5
高知県,83,3
福岡県,3138,38
佐賀県,174,0
長崎県,170,3
熊本県,371,5
大分県,93,1
宮崎県,243,0
鹿児島県,277,3
沖縄県,1307,10
