2020/04/18 09:27:57 JST
北海道,336,14
青森県,22,0
岩手県,0,0
宮城県,75,0
秋田県,16,0
山形県,50,0
福島県,49,0
茨城県,123,5
栃木県,42,0
群馬県,109,4
埼玉県,535,9
千葉県,539,6
東京都,2606,19
神奈川県,673,16
新潟県,47,0
富山県,65,0
石川県,146,4
福井県,103,2
山梨県,43,0
長野県,45,0
岐阜県,132,1
静岡県,48,0
愛知県,364,24
三重県,26,1
滋賀県,57,1
京都府,225,3
大阪府,1021,8
兵庫県,453,17
奈良県,54,1
和歌山県,38,1
鳥取県,1,0
島根県,14,0
岡山県,18,0
広島県,118,0
山口県,29,0
徳島県,3,0
香川県,21,0
愛媛県,41,2
高知県,62,1
福岡県,459,6
佐賀県,15,0
長崎県,16,0
熊本県,31,1
大分県,50,1
宮崎県,17,0
鹿児島県,4,0
沖縄県,86,1
