2020/08/03 14:48:35 JST
北海道,1428,103
青森県,32,1
岩手県,4,0
宮城県,160,1
秋田県,18,0
山形県,76,1
福島県,89,0
茨城県,294,10
栃木県,195,0
群馬県,191,19
埼玉県,2387,74
千葉県,1656,49
東京都,12691,332
神奈川県,2542,99
新潟県,114,0
富山県,243,22
石川県,322,27
福井県,139,8
山梨県,94,1
長野県,111,-
岐阜県,344,7
静岡県,269,1
愛知県,1796,35
三重県,101,1
滋賀県,179,1
京都府,758,20
大阪府,4252,90
兵庫県,1220,45
奈良県,256,2
和歌山県,163,3
鳥取県,16,0
島根県,29,0
岡山県,86,-
広島県,329,3
山口県,58,0
徳島県,26,1
香川県,46,0
愛媛県,92,5
高知県,80,3
福岡県,1756,33
佐賀県,90,0
長崎県,89,2
熊本県,217,3
大分県,68,1
宮崎県,121,0
鹿児島県,252,0
沖縄県,453,7
