2020/07/14 05:57:26 JST
北海道,1290,101
青森県,29,1
岩手県,0,0
宮城県,104,1
秋田県,16,0
山形県,71,1
福島県,83,0
茨城県,199,10
栃木県,93,0
群馬県,155,19
埼玉県,1462,67
千葉県,1119,46
東京都,7927,325
神奈川県,1743,97
新潟県,87,0
富山県,230,22
石川県,300,27
福井県,123,8
山梨県,76,1
長野県,78,-
岐阜県,162,7
静岡県,94,1
愛知県,528,34
三重県,48,1
滋賀県,106,1
京都府,420,18
大阪府,1967,86
兵庫県,731,45
奈良県,119,2
和歌山県,80,3
鳥取県,5,0
島根県,24,0
岡山県,28,-
広島県,178,3
山口県,37,0
徳島県,10,1
香川県,29,0
愛媛県,82,5
高知県,74,3
福岡県,917,33
佐賀県,47,0
長崎県,19,1
熊本県,49,3
大分県,60,1
宮崎県,18,0
鹿児島県,145,0
沖縄県,148,7
