番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
209,SK,境,35゜33',133゜15',17.0,32.3,15.3,5.52,68.96,2.02,82.23,4.91,343.43,4.60,312.48,2024年,
210,SA,西郷,36゜12',133゜20',17.0,14.2,-2.8,5.65,63.59,1.98,78.40,5.00,347.45,5.52,324.31,2024年,
211,ZE,田後,35゜36',134゜19',20.0,31.7,11.7,5.96,66.99,2.16,84.00,5.09,342.78,5.19,314.81,-,
212,T6,津居山,35゜39',134゜50',17.0,-,-,5.81,69.87,2.06,87.39,5.01,342.57,5.03,314.11,-,
213,T2,宮津,35゜32',135゜12',18.0,-,-,6.28,68.22,2.29,88.87,5.07,341.92,5.13,314.34,-,
214,MZ,舞鶴,35゜29',135゜23',19.0,30.1,11.1,6.20,71.14,2.27,89.58,5.34,342.14,5.42,314.56,2024年,
215,XM,敦賀,35゜40',136゜04',18.0,-,-,5.73,74.80,2.07,95.87,5.10,343.37,5.23,316.36,-,
216,ZG,三国,36゜15',136゜09',18.0,35.5,17.5,5.62,75.74,1.92,97.64,5.22,345.28,5.23,317.79,-,
217,T1,金沢,36゜37',136゜36',20.0,-,-,5.64,76.13,1.97,98.05,5.31,344.73,5.38,318.43,-,
218,Z7,輪島,37゜24',136゜54',20.0,25.0,5.0,5.67,79.57,2.02,103.47,5.45,345.59,5.42,319.86,-,
219,SZ,能登,37゜30',137゜09',20.0,25.6,5.6,5.61,80.64,2.00,107.24,5.45,345.98,5.36,320.14,2024年,
220,XO,七尾,37゜03',136゜58',20.0,-,-,6.12,83.69,2.22,109.05,5.33,346.96,5.41,321.92,-,
221,XQ,伏木富山,36゜48',137゜04',20.0,-,-,5.84,82.50,2.08,107.39,5.37,344.84,5.32,320.98,-,
222,SN,新湊,36゜47',137゜07',20.0,-,-,5.88,81.38,2.10,106.41,5.37,344.57,5.31,320.50,-,
223,TY,富山,36゜46',137゜13',22.0,32.7,10.7,5.74,82.01,2.08,107.89,5.36,345.29,5.23,320.10,2024年,
224,I7,生地,36゜53',137゜25',22.0,-,-,5.80,82.74,2.12,108.41,5.52,345.64,5.40,320.55,-,
225,T3,直江津,37゜11',138゜15',19.0,-,-,5.89,81.82,2.10,111.09,5.31,345.33,5.33,320.28,-,
226,ZC,柏崎,37゜21',138゜31',21.0,21.8,0.8,5.50,88.02,2.02,116.27,5.38,347.89,5.42,323.28,-,
227,S6,新潟西港,37゜56',139゜04',17.0,-,-,5.51,88.59,2.01,119.02,5.34,348.73,5.40,323.79,-,
228,I5,新潟東港,37゜59',139゜13',17.0,-,-,5.43,90.77,2.03,121.97,5.34,349.79,5.41,324.47,-,
229,ZN,小木,37゜49',138゜17',19.0,-0.5,-19.5,5.46,86.78,1.98,115.18,5.37,347.59,5.41,322.79,-,
230,RZ,両津,38゜05',138゜26',18.0,-,-,5.68,87.49,2.02,118.33,5.37,347.84,5.39,322.76,-,
231,S0,佐渡,38゜19',138゜31',18.0,4.6,-13.4,5.46,87.79,2.00,117.88,5.39,347.93,5.49,323.15,2024年,
232,QR,粟島,38゜28',139゜15',20.0,11.0,-9.0,5.41,90.61,2.00,122.02,5.31,349.28,5.38,323.86,-,
233,ZB,鼠ヶ関,38゜34',139゜33',20.0,31.2,11.2,5.03,94.26,1.92,126.11,5.20,350.75,5.24,325.41,-,
234,S9,酒田,38゜55',139゜49',21.0,-,-,5.16,94.31,2.00,126.25,5.33,350.89,5.47,325.28,-,
235,ZQ,飛島,39゜11',139゜33',19.0,1.7,-17.3,5.20,93.75,1.99,126.18,5.37,349.79,5.45,324.99,-,
236,S1,秋田,39゜45',140゜04',19.0,-,-,5.10,96.73,2.03,129.10,5.44,350.98,5.46,326.37,-,
237,S2,船川港,39゜55',139゜51',18.0,-,-,5.45,95.59,2.07,135.24,5.38,348.43,5.41,325.57,-,
238,ZI,男鹿,39゜57',139゜42',18.0,27.9,9.9,5.06,97.48,2.00,131.55,5.40,351.46,5.44,326.70,-,
239,FK,深浦,40゜39',139゜56',18.0,29.2,11.2,4.93,98.45,2.01,132.97,5.27,352.33,5.27,326.63,2024年,
