番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
109,AM,尼崎,34゜42',135゜24',95.0,-,-,29.47,216.19,16.55,228.47,25.77,204.09,19.30,181.68,-,
110,J5,西宮,34゜43',135゜20',95.0,-,-,29.54,215.95,16.59,228.10,26.05,203.81,19.45,181.73,-,
111,KB,神戸,34゜41',135゜11',95.0,22.4,-72.6,28.37,216.39,16.11,228.42,25.64,203.78,19.19,181.47,2024年,
112,AK,明石,34゜39',134゜59',70.0,-,-,15.58,258.66,8.81,242.26,25.47,216.73,19.47,194.82,-,
113,ST,洲本,34゜21',134゜54',95.0,21.8,-73.2,28.88,193.22,16.30,214.12,23.36,203.48,17.71,181.57,2024年,
114,EI,江井,34゜28',134゜50',80.0,-,-,29.35,333.40,5.99,337.16,27.25,229.06,20.17,204.82,-,
115,K1,姫路（飾磨）,34゜47',134゜40',90.0,-,-,33.53,319.81,8.42,322.43,28.04,225.39,20.71,201.17,-,
116,SB,三蟠,34゜36',133゜59',130.0,-,-,60.14,321.04,18.88,339.13,30.77,228.79,22.42,204.51,-,
117,UN,宇野,34゜29',133゜57',140.0,21.0,-119.0,67.42,327.21,21.62,352.81,30.06,233.74,21.97,209.62,2024年,
118,MM,水島,34゜32',133゜44',190.0,-,-,101.54,326.44,36.57,359.45,32.71,234.65,23.70,210.17,-,
119,LG,乙島,34゜30',133゜41',200.0,-,-,105.33,325.62,38.44,358.95,32.69,236.21,23.60,212.60,-,
120,IZ,糸崎,34゜24',133゜05',200.0,-,-,108.18,312.09,40.91,344.50,32.70,231.57,23.67,208.19,-,
121,TH,竹原,34゜20',132゜55',200.0,-,-,105.30,295.18,41.48,325.14,31.87,222.41,23.12,199.87,-,
122,Q9,呉,34゜14',132゜33',200.0,20.7,-179.3,103.11,278.55,42.84,308.35,31.09,216.96,22.76,194.81,-,
123,Q8,広島,34゜21',132゜28',200.0,23.1,-176.9,101.53,278.08,42.08,307.98,30.88,216.89,22.55,194.60,-,
124,QA,徳山,34゜02',131゜48',180.0,20.0,-160.0,88.03,251.87,37.73,280.85,28.38,207.52,21.01,186.25,-,
125,J9,三田尻,34゜02',131゜35',180.0,-,-,89.57,251.60,38.63,280.93,28.71,207.55,21.55,186.19,-,
126,WH,宇部,33゜56',131゜15',210.0,-,-,103.48,254.55,45.33,283.75,29.74,209.02,22.19,187.78,-,
127,CF,長府,34゜01',131゜00',210.0,-,-,107.22,257.85,47.40,286.90,29.72,211.11,22.10,189.64,-,
128,A1,弟子待,33゜56',130゜56',120.0,-,-,57.50,265.08,26.31,294.11,14.91,245.40,13.66,231.94,-,
129,TI,田ノ首,33゜55',130゜55',100.0,-,-,42.40,269.84,19.97,298.14,12.77,268.63,13.34,251.60,-,
130,OH,大山の鼻,33゜55',130゜54',90.0,-,-,41.13,272.60,19.43,300.08,12.44,272.01,12.95,254.64,-,
131,HR,南風泊,33゜57',130゜53',80.0,-,-,34.98,283.68,16.95,308.52,11.98,285.28,12.37,264.94,-,
132,MT,松山,33゜52',132゜43',190.0,13.8,-176.2,99.10,263.82,40.92,291.97,30.61,207.96,22.39,186.42,2024年,
133,M3,波止浜,34゜06',132゜56',200.0,-,-,110.27,297.34,43.64,328.58,32.52,222.59,23.97,200.66,-,
134,M0,今治市小島,34゜08',132゜59',200.0,-,-,108.29,297.11,42.14,327.73,32.69,225.27,24.53,204.67,-,
135,M1,来島航路,34゜07',132゜59',200.0,-,-,101.82,304.21,38.49,335.34,32.24,230.80,24.01,210.91,-,
136,L0,今治,34゜04',133゜00',200.0,-,-,99.71,313.35,37.17,347.00,31.67,233.95,22.91,211.23,-,
137,NI,新居浜,33゜58',133゜16',200.0,-,-,110.72,319.46,41.30,354.00,32.70,235.84,23.78,212.85,-,
138,L8,伊予三島,33゜59',133゜33',210.0,-,-,116.61,323.16,42.87,357.47,33.20,236.28,24.55,212.27,-,
139,TX,多度津,34゜17',133゜45',200.0,-,-,107.28,327.59,38.71,1.09,32.73,236.91,23.67,213.26,-,
140,AX,青木,34゜22',133゜41',200.0,-,-,107.91,326.38,39.24,0.03,32.75,236.73,23.66,213.14,-,
141,J8,与島,34゜23',133゜49',180.0,-,-,89.87,325.43,30.98,356.12,32.08,234.11,23.39,210.08,-,
142,TA,高松,34゜21',134゜03',140.0,17.8,-122.2,66.60,324.76,20.83,347.94,30.85,230.45,22.60,206.28,2024年,
143,KM,小松島,34゜01',134゜35',101.0,17.1,-83.9,41.69,179.45,20.07,203.81,22.21,193.68,17.20,172.82,2024年,
144,J6,橘,33゜52',134゜38',110.0,-,-,44.30,173.71,21.03,199.21,22.26,192.31,16.88,171.49,-,
145,AW,阿波由岐,33゜46',134゜36',106.0,17.2,-88.8,46.97,171.73,21.14,196.14,21.06,188.65,16.39,168.56,2024年,
146,HW,日和佐,33゜43',134゜33',108.0,-,-,48.05,172.90,22.24,198.18,19.32,184.49,15.98,170.08,-,
147,L7,甲浦,33゜33',134゜18',109.0,-,-,47.92,170.48,21.29,195.47,21.14,186.81,16.39,167.01,-,
148,MU,室戸岬,33゜16',134゜10',110.0,31.4,-78.6,49.01,173.34,21.62,197.36,22.05,188.19,16.83,168.41,2024年,
149,KC,高知,33゜30',133゜34',108.0,12.9,-95.1,49.31,173.42,21.87,197.50,21.77,189.34,16.77,169.69,2024年,
150,V7,須崎,33゜23',133゜18',112.0,-,-,49.59,172.07,21.87,196.45,21.62,188.79,16.71,168.96,-,
