秋田県,Td
2020/04/01,4.417
2020/04/02,5.078
2020/04/03,5.726
2020/04/04,6.611
2020/04/05,7.838
2020/04/06,9.273
2020/04/07,11.146
2020/04/08,12.306
2020/04/09,13.152
2020/04/10,13.998
2020/04/11,15.294
2020/04/12,15.349
2020/04/13,15.855
2020/04/14,18.181
2020/04/15,21.108
2020/04/16,27.694
2020/04/17,39.326
2020/04/18,57.921
2020/04/19,106.241
2020/04/20,269.280
2020/04/21,540.998
2020/04/22,1000
2020/04/23,1000
2020/04/24,1000
2020/04/25,1000
2020/04/26,1000
2020/04/27,1000
2020/04/28,1000
2020/04/29,1000
2020/04/30,1000
2020/05/01,1000
2020/05/02,1000
2020/05/03,1000
2020/05/04,1000
2020/05/05,1000
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,1000
2020/07/07,1000
2020/07/08,1000
2020/07/09,1000
2020/07/10,1000
2020/07/11,1000
2020/07/12,1000
2020/07/13,1000
2020/07/14,1000
2020/07/15,1000
2020/07/16,1000
2020/07/17,1000
2020/07/18,1000
2020/07/19,274.133
2020/07/21,138.269
2020/07/22,92.976
2020/07/23,70.327
2020/07/24,56.734
2020/07/25,47.670
2020/07/26,41.195
2020/07/28,48.480
2020/07/29,58.676
2020/07/30,73.967
2020/07/31,99.447
2020/08/01,150.400
2020/08/02,34.034
2020/08/03,20.311
2020/08/04,14.276
2020/08/05,11.110
2020/08/06,9.160
2020/08/07,7.838
2020/08/08,6.844
2020/08/11,7.963
2020/08/12,9.208
2020/08/13,10.579
2020/08/14,12.442
2020/08/15,14.958
2020/08/16,18.776
2020/08/17,26.238
2020/08/18,28.943
2020/08/19,33.675
2020/08/20,42.338
2020/08/21,48.965
2020/08/22,59.841
2020/08/23,72.407
2020/08/24,77.122
2020/08/25,74.256
2020/08/26,68.427
2020/08/27,60.991
2020/08/28,69.482
2020/08/29,73.195
2020/08/30,77.261
2020/08/31,90.819
2020/09/01,109.800
2020/09/02,138.269
2020/09/03,185.714
2020/09/04,186.254
2020/09/06,240.167
2020/09/07,281.411
2020/09/08,282.219
2020/09/09,283.028
2020/09/10,213.480
2020/09/11,171.750
2020/09/13,143.930
2020/09/15,115.623
2020/09/17,108.849
2020/09/18,102.873
2020/09/19,97.560
2020/09/22,117.564
2020/09/23,147.569
2020/09/24,197.576
2020/09/25,297.585
2020/09/26,447.595
2020/09/28,258.190
2020/09/29,182.426
2020/10/01,122.417
2020/10/02,92.410
2020/10/03,74.404
2020/10/04,60.461
2020/10/05,51.039
2020/10/06,57.676
2020/10/07,66.142
2020/10/08,77.316
2020/10/09,92.745
2020/10/12,103.534
2020/10/14,132.446
2020/10/15,182.381
2020/10/17,167.788
2020/10/18,155.439
2020/10/20,119.715
2020/10/22,97.598
2020/10/23,86.303
2020/10/25,74.660
2020/10/27,65.928
2020/10/29,59.135
2020/10/30,53.700
2020/11/05,55.639
2020/11/06,20.925
