茨城県,Td
2020/04/01,3.907
2020/04/02,3.898
2020/04/03,3.891
2020/04/04,3.912
2020/04/05,4.766
2020/04/06,5.665
2020/04/07,6.370
2020/04/08,7.264
2020/04/09,8.426
2020/04/10,9.613
2020/04/11,11.078
2020/04/12,10.903
2020/04/13,11.199
2020/04/14,12.476
2020/04/15,13.401
2020/04/16,14.503
2020/04/17,16.064
2020/04/18,17.540
2020/04/19,20.277
2020/04/20,22.392
2020/04/21,23.967
2020/04/22,26.667
2020/04/23,29.601
2020/04/24,32.385
2020/04/25,37.920
2020/04/26,44.474
2020/04/27,54.512
2020/04/28,67.746
2020/04/29,80.758
2020/04/30,95.871
2020/05/01,117.413
2020/05/02,132.261
2020/05/03,150.859
2020/05/04,169.883
2020/05/05,175.723
2020/05/06,208.897
2020/05/07,269.280
2020/05/08,377.968
2020/05/09,568.169
2020/05/10,812.713
2020/05/11,1424.070
2020/05/12,5703.561
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,2855.419
2020/06/16,1428.922
2020/06/17,953.422
2020/06/18,715.672
2020/06/19,573.021
2020/06/20,477.921
2020/06/21,359.045
2020/06/22,359.651
2020/06/23,339.208
2020/06/24,304.267
2020/06/25,275.981
2020/06/26,252.614
2020/06/27,215.906
2020/06/28,177.676
2020/06/29,140.348
2020/06/30,120.938
2020/07/01,104.640
2020/07/02,90.991
2020/07/03,79.587
2020/07/04,73.426
2020/07/05,70.717
2020/07/06,69.781
2020/07/07,66.035
2020/07/08,64.050
2020/07/09,62.268
2020/07/10,59.073
2020/07/11,55.314
2020/07/12,53.727
2020/07/13,48.306
2020/07/14,45.473
2020/07/15,42.774
2020/07/16,40.042
2020/07/17,39.162
2020/07/18,38.561
2020/07/19,37.563
2020/07/21,40.187
2020/07/22,40.681
2020/07/23,39.814
2020/07/24,40.194
2020/07/25,38.175
2020/07/26,34.723
2020/07/28,29.326
2020/07/29,24.750
2020/07/30,22.231
2020/07/31,20.763
2020/08/01,19.071
2020/08/02,17.286
2020/08/03,16.427
2020/08/04,16.950
2020/08/05,17.441
2020/08/06,17.641
2020/08/07,17.724
2020/08/08,18.213
2020/08/11,20.703
2020/08/12,23.441
2020/08/13,25.244
2020/08/14,27.378
2020/08/15,31.027
2020/08/16,35.796
2020/08/17,41.221
2020/08/18,42.382
2020/08/19,43.315
2020/08/20,45.634
2020/08/21,48.040
2020/08/22,48.054
2020/08/23,48.586
2020/08/24,49.819
2020/08/25,52.015
2020/08/26,54.841
2020/08/27,55.856
2020/08/28,59.703
2020/08/29,64.324
2020/08/30,68.228
2020/08/31,69.791
2020/09/01,71.070
2020/09/02,71.777
2020/09/03,73.100
2020/09/04,68.569
2020/09/06,66.867
2020/09/07,65.701
2020/09/08,67.691
2020/09/09,68.569
2020/09/10,68.521
2020/09/11,69.643
2020/09/13,77.746
2020/09/15,87.294
2020/09/17,99.727
2020/09/18,108.723
2020/09/19,122.860
2020/09/22,134.030
2020/09/23,142.280
2020/09/24,136.754
2020/09/25,122.066
2020/09/26,107.615
2020/09/28,98.551
2020/09/29,90.218
2020/10/01,90.414
2020/10/02,88.890
2020/10/03,83.946
2020/10/04,83.424
2020/10/05,84.440
2020/10/06,83.934
2020/10/07,82.581
2020/10/08,78.238
2020/10/09,79.076
2020/10/12,85.991
2020/10/14,91.556
2020/10/15,95.110
2020/10/17,103.494
2020/10/18,113.421
2020/10/20,114.477
2020/10/22,107.479
2020/10/23,94.850
2020/10/25,85.329
2020/10/27,77.263
2020/10/29,67.569
2020/10/30,60.595
2020/11/05,57.056
2020/11/06,14.319
