鳥取県,Td
2020/04/11,2.493
2020/04/12,3.873
2020/04/13,5.726
2020/04/14,5.983
2020/04/15,6.154
2020/04/16,6.275
2020/04/17,6.366
2020/04/18,5.468
2020/04/19,4.859
2020/04/20,4.417
2020/04/21,5.726
2020/04/22,7.504
2020/04/23,10.117
2020/04/24,14.420
2020/04/25,22.962
2020/04/26,48.480
2020/04/27,1000
2020/04/28,1000
2020/04/29,1000
2020/04/30,1000
2020/05/01,1000
2020/05/02,1000
2020/05/03,1000
2020/05/04,1000
2020/05/05,1000
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,104.300
2020/06/28,53.336
2020/06/29,36.336
2020/06/30,27.829
2020/07/01,22.718
2020/07/02,19.307
2020/07/03,16.866
2020/07/04,20.119
2020/07/05,24.666
2020/07/06,31.476
2020/07/07,32.691
2020/07/08,33.906
2020/07/09,35.121
2020/07/10,36.336
2020/07/11,29.531
2020/07/12,24.990
2020/07/13,21.744
2020/07/14,25.802
2020/07/15,31.476
2020/07/16,39.980
2020/07/17,54.145
2020/07/18,82.461
2020/07/19,84.887
2020/07/21,87.314
2020/07/22,44.838
2020/07/23,21.203
2020/07/24,13.604
2020/07/25,9.002
2020/07/26,6.860
2020/07/28,5.809
2020/07/29,5.146
2020/07/30,4.807
2020/07/31,5.005
2020/08/01,5.250
2020/08/02,6.154
2020/08/03,7.382
2020/08/04,9.281
2020/08/05,11.864
2020/08/06,15.966
2020/08/07,20.486
2020/08/08,31.476
2020/08/11,45.080
2020/08/12,68.870
2020/08/13,99.447
2020/08/14,141.180
2020/08/15,178.301
2020/08/16,240.167
2020/08/17,180.727
2020/08/18,145.062
2020/08/19,121.285
2020/08/20,104.300
2020/08/21,122.093
2020/08/22,147.003
2020/08/23,184.367
2020/08/24,246.637
2020/08/25,371.175
2020/08/26,744.784
2020/08/27,1000
2020/08/28,1000
2020/08/29,1000
2020/08/30,1000
2020/08/31,1000
2020/09/01,1000
2020/09/02,1000
2020/09/03,1000
2020/09/04,1000
2020/09/06,85.427
2020/09/07,37.956
2020/09/08,24.990
2020/09/09,18.564
2020/09/10,14.747
2020/09/11,12.365
2020/09/13,10.735
2020/09/15,11.674
2020/09/17,13.758
2020/09/18,16.484
2020/09/19,20.994
2020/09/22,29.685
2020/09/23,48.480
2020/09/24,119.829
2020/09/25,242.108
2020/09/26,405.140
2020/09/28,1220.284
2020/09/29,1000
2020/10/01,1000
2020/10/02,1000
2020/10/03,1000
2020/10/04,1000
2020/10/05,1000
2020/10/06,1000
2020/10/07,1000
2020/10/08,1000
2020/10/09,1000
2020/10/12,1000
2020/10/14,1000
2020/10/15,1000
2020/10/17,1000
2020/10/18,1000
2020/10/20,613.779
2020/10/22,308.098
2020/10/23,154.646
2020/10/25,103.491
2020/10/27,59.924
2020/10/29,49.040
2020/10/30,36.336
2020/11/05,28.579
2020/11/06,12.123
