沖縄県,Td
2020/04/01,9.774
2020/04/02,7.880
2020/04/03,6.476
2020/04/04,5.015
2020/04/05,4.209
2020/04/06,3.747
2020/04/07,3.200
2020/04/08,3.020
2020/04/09,3.218
2020/04/10,3.461
2020/04/11,4.142
2020/04/12,4.678
2020/04/13,5.169
2020/04/14,6.146
2020/04/15,7.105
2020/04/16,7.836
2020/04/17,8.943
2020/04/18,9.311
2020/04/19,10.604
2020/04/20,12.068
2020/04/21,13.640
2020/04/22,16.247
2020/04/23,19.689
2020/04/24,22.955
2020/04/25,29.632
2020/04/26,36.057
2020/04/27,45.463
2020/04/28,53.878
2020/04/29,62.586
2020/04/30,79.211
2020/05/01,107.167
2020/05/02,139.410
2020/05/03,190.480
2020/05/04,299.000
2020/05/05,686.559
2020/05/06,2409.032
2020/05/07,4820.492
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,2413.884
2020/07/04,967.008
2020/07/05,605.288
2020/07/06,346.915
2020/07/07,243.564
2020/07/08,187.912
2020/07/09,153.129
2020/07/10,144.548
2020/07/11,140.903
2020/07/12,137.460
2020/07/13,150.620
2020/07/14,156.162
2020/07/15,152.385
2020/07/16,140.695
2020/07/17,111.052
2020/07/18,79.586
2020/07/19,53.781
2020/07/21,39.516
2020/07/22,29.355
2020/07/23,22.218
2020/07/24,14.709
2020/07/25,10.474
2020/07/26,8.165
2020/07/28,6.787
2020/07/29,5.886
2020/07/30,5.247
2020/07/31,4.808
2020/08/01,4.805
2020/08/02,4.714
2020/08/03,4.765
2020/08/04,4.911
2020/08/05,5.069
2020/08/06,5.311
2020/08/07,5.596
2020/08/08,5.823
2020/08/11,6.753
2020/08/12,7.767
2020/08/13,8.925
2020/08/14,10.304
2020/08/15,12.073
2020/08/16,14.625
2020/08/17,17.938
2020/08/18,20.124
2020/08/19,22.687
2020/08/20,25.722
2020/08/21,29.571
2020/08/22,33.533
2020/08/23,36.328
2020/08/24,39.056
2020/08/25,40.895
2020/08/26,42.369
2020/08/27,42.909
2020/08/28,44.765
2020/08/29,46.075
2020/08/30,48.602
2020/08/31,52.282
2020/09/01,57.891
2020/09/02,65.921
2020/09/03,75.130
2020/09/04,80.695
2020/09/06,91.142
2020/09/07,102.858
2020/09/08,111.414
2020/09/09,117.496
2020/09/10,112.538
2020/09/11,111.837
2020/09/13,116.311
2020/09/15,117.662
2020/09/17,116.842
2020/09/18,114.607
2020/09/19,109.556
2020/09/22,112.674
2020/09/23,111.300
2020/09/24,103.913
2020/09/25,95.041
2020/09/26,85.616
2020/09/28,79.758
2020/09/29,75.846
2020/10/01,72.440
2020/10/02,70.512
2020/10/03,67.809
2020/10/04,66.027
2020/10/05,66.087
2020/10/06,64.097
2020/10/07,61.806
2020/10/08,57.787
2020/10/09,54.097
2020/10/12,52.634
2020/10/14,49.812
2020/10/15,45.829
2020/10/17,43.805
2020/10/18,41.823
2020/10/20,39.508
2020/10/22,37.899
2020/10/23,36.632
2020/10/25,36.945
2020/10/27,38.538
2020/10/29,39.767
2020/10/30,41.880
2020/11/05,47.312
2020/11/06,30.131
