岡山県,Td
2020/04/01,3.873
2020/04/02,3.995
2020/04/03,3.956
2020/04/04,4.417
2020/04/05,5.078
2020/04/06,5.797
2020/04/07,6.618
2020/04/08,7.494
2020/04/09,8.812
2020/04/10,12.100
2020/04/11,15.888
2020/04/12,19.989
2020/04/13,24.759
2020/04/14,28.405
2020/04/15,32.906
2020/04/16,36.033
2020/04/17,32.556
2020/04/18,34.907
2020/04/19,35.479
2020/04/20,34.176
2020/04/21,34.986
2020/04/22,35.796
2020/04/23,36.606
2020/04/24,35.569
2020/04/25,31.255
2020/04/26,30.419
2020/04/27,32.360
2020/04/28,36.093
2020/04/29,40.655
2020/04/30,46.355
2020/05/01,62.641
2020/05/02,95.200
2020/05/03,153.797
2020/05/04,194.071
2020/05/05,195.284
2020/05/06,196.497
2020/05/07,158.649
2020/05/08,114.006
2020/05/09,89.201
2020/05/10,73.415
2020/05/11,73.857
2020/05/12,74.298
2020/05/13,74.739
2020/05/14,91.898
2020/05/15,118.858
2020/05/16,167.383
2020/05/17,280.602
2020/05/18,422.122
2020/05/19,846.677
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,851.529
2020/06/20,426.974
2020/06/21,285.454
2020/06/22,214.693
2020/06/23,172.236
2020/06/24,143.930
2020/06/25,123.711
2020/06/26,144.739
2020/06/27,125.097
2020/06/28,110.366
2020/06/29,98.908
2020/06/30,89.741
2020/07/01,82.240
2020/07/02,75.989
2020/07/03,65.472
2020/07/04,76.798
2020/07/05,92.653
2020/07/06,116.432
2020/07/07,156.061
2020/07/08,235.315
2020/07/09,473.069
2020/07/10,477.921
2020/07/11,160.913
2020/07/12,81.652
2020/07/13,40.417
2020/07/14,26.126
2020/07/15,19.307
2020/07/16,15.508
2020/07/17,13.584
2020/07/18,12.268
2020/07/19,10.725
2020/07/21,10.553
2020/07/22,10.600
2020/07/23,10.501
2020/07/24,10.163
2020/07/25,9.729
2020/07/26,9.388
2020/07/28,10.047
2020/07/29,10.443
2020/07/30,10.781
2020/07/31,11.280
2020/08/01,12.248
2020/08/02,13.148
2020/08/03,14.618
2020/08/04,15.286
2020/08/05,16.022
2020/08/06,16.941
2020/08/07,18.362
2020/08/08,19.536
2020/08/11,22.279
2020/08/12,25.023
2020/08/13,28.329
2020/08/14,32.353
2020/08/15,37.050
2020/08/16,42.447
2020/08/17,49.365
2020/08/18,51.974
2020/08/19,51.544
2020/08/20,52.295
2020/08/21,52.393
2020/08/22,53.079
2020/08/23,52.471
2020/08/24,53.029
2020/08/25,56.829
2020/08/26,66.293
2020/08/27,76.590
2020/08/28,92.074
2020/08/29,112.200
2020/08/30,151.765
2020/08/31,212.320
2020/09/01,288.404
2020/09/02,351.073
2020/09/03,447.926
2020/09/04,548.545
2020/09/06,824.034
2020/09/07,824.843
2020/09/08,825.651
2020/09/09,826.460
2020/09/10,709.433
2020/09/11,621.663
2020/09/13,553.397
2020/09/15,453.219
2020/09/17,416.057
2020/09/18,312.950
2020/09/19,239.243
2020/09/22,201.738
2020/09/23,158.437
2020/09/24,130.679
2020/09/25,111.368
2020/09/26,97.158
2020/09/28,95.852
2020/09/29,93.034
2020/10/01,91.954
2020/10/02,101.407
2020/10/03,108.360
2020/10/04,116.221
2020/10/05,125.178
2020/10/06,115.348
2020/10/07,113.803
2020/10/08,103.934
2020/10/09,90.934
2020/10/12,72.911
2020/10/14,55.906
2020/10/15,43.030
2020/10/17,36.336
2020/10/18,28.431
2020/10/20,19.307
2020/10/22,14.785
2020/10/23,12.559
2020/10/25,11.245
2020/10/27,10.407
2020/10/29,9.703
2020/10/30,9.609
2020/11/05,11.189
2020/11/06,6.637
