静岡県,Td
2020/04/01,6.324
2020/04/02,6.674
2020/04/03,6.315
2020/04/04,4.760
2020/04/05,4.319
2020/04/06,4.059
2020/04/07,3.856
2020/04/08,3.558
2020/04/09,3.353
2020/04/10,3.404
2020/04/11,4.285
2020/04/12,5.108
2020/04/13,6.259
2020/04/14,7.796
2020/04/15,10.542
2020/04/16,14.791
2020/04/17,21.410
2020/04/18,23.509
2020/04/19,28.072
2020/04/20,29.498
2020/04/21,30.405
2020/04/22,28.259
2020/04/23,26.207
2020/04/24,23.909
2020/04/25,23.463
2020/04/26,22.493
2020/04/27,23.082
2020/04/28,23.909
2020/04/29,25.326
2020/04/30,28.521
2020/05/01,33.378
2020/05/02,41.802
2020/05/03,56.572
2020/05/04,77.529
2020/05/05,115.623
2020/05/06,204.180
2020/05/07,410.800
2020/05/08,2476.961
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,2481.813
2020/05/17,1242.118
2020/05/18,828.886
2020/05/19,498.300
2020/05/20,356.619
2020/05/21,277.906
2020/05/22,227.816
2020/05/23,209.437
2020/05/24,193.884
2020/05/25,180.554
2020/05/26,195.004
2020/05/27,211.863
2020/05/28,231.786
2020/05/29,255.694
2020/05/30,320.228
2020/05/31,512.856
2020/06/01,1283.360
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1288.213
2020/06/09,515.767
2020/06/10,287.072
2020/06/11,185.060
2020/06/12,152.826
2020/06/13,137.247
2020/06/15,130.990
2020/06/16,125.328
2020/06/17,120.182
2020/06/18,126.484
2020/06/19,148.243
2020/06/20,167.383
2020/06/21,206.575
2020/06/22,269.280
2020/06/23,385.731
2020/06/24,541.968
2020/06/25,679.281
2020/06/26,680.494
2020/06/27,681.707
2020/06/28,274.133
2020/06/29,172.236
2020/06/30,125.917
2020/07/01,107.100
2020/07/02,93.300
2020/07/03,78.281
2020/07/04,63.207
2020/07/05,63.854
2020/07/06,64.502
2020/07/07,62.477
2020/07/08,59.356
2020/07/09,54.616
2020/07/10,53.378
2020/07/11,56.116
2020/07/12,52.965
2020/07/13,48.741
2020/07/14,44.770
2020/07/15,41.502
2020/07/16,36.495
2020/07/17,32.680
2020/07/18,29.897
2020/07/19,28.731
2020/07/21,18.321
2020/07/22,14.265
2020/07/23,11.067
2020/07/24,9.600
2020/07/25,8.202
2020/07/26,7.251
2020/07/28,6.544
2020/07/29,7.023
2020/07/30,7.356
2020/07/31,8.248
2020/08/01,8.947
2020/08/02,10.497
2020/08/03,12.348
2020/08/04,14.048
2020/08/05,15.515
2020/08/06,17.695
2020/08/07,19.133
2020/08/08,21.809
2020/08/11,23.442
2020/08/12,24.311
2020/08/13,28.388
2020/08/14,30.741
2020/08/15,33.307
2020/08/16,37.286
2020/08/17,40.272
2020/08/18,43.220
2020/08/19,51.227
2020/08/20,57.756
2020/08/21,65.672
2020/08/22,68.126
2020/08/23,65.949
2020/08/24,63.958
2020/08/25,62.130
2020/08/26,61.239
2020/08/27,58.291
2020/08/28,56.844
2020/08/29,61.860
2020/08/30,72.687
2020/08/31,87.794
2020/09/01,105.410
2020/09/02,122.142
2020/09/03,143.632
2020/09/04,160.175
2020/09/06,162.579
2020/09/07,148.667
2020/09/08,133.804
2020/09/09,132.346
2020/09/10,124.246
2020/09/11,123.959
2020/09/13,131.251
2020/09/15,130.897
2020/09/17,134.629
2020/09/18,140.872
2020/09/19,146.261
2020/09/22,154.887
2020/09/23,151.697
2020/09/24,132.112
2020/09/25,122.874
2020/09/26,113.453
2020/09/28,108.597
2020/09/29,98.577
2020/10/01,95.483
2020/10/02,93.628
2020/10/03,101.473
2020/10/04,109.928
2020/10/05,119.791
2020/10/06,123.679
2020/10/07,138.092
2020/10/08,146.294
2020/10/09,159.336
2020/10/12,158.721
2020/10/14,153.134
2020/10/15,147.974
2020/10/17,145.475
2020/10/18,121.255
2020/10/20,86.106
2020/10/22,64.024
2020/10/23,50.655
2020/10/25,41.427
2020/10/27,35.210
2020/10/29,31.214
2020/10/30,28.113
2020/11/05,27.362
2020/11/06,9.840
