宮崎県,Td
2020/04/01,13.604
2020/04/02,10.070
2020/04/03,6.770
2020/04/04,4.947
2020/04/05,4.300
2020/04/06,3.854
2020/04/07,3.840
2020/04/08,3.965
2020/04/09,4.070
2020/04/10,4.847
2020/04/11,6.510
2020/04/12,8.670
2020/04/13,12.613
2020/04/14,18.855
2020/04/15,31.476
2020/04/16,80.034
2020/04/17,286.263
2020/04/18,574.962
2020/04/19,1000
2020/04/20,1000
2020/04/21,1000
2020/04/22,1000
2020/04/23,1000
2020/04/24,1000
2020/04/25,1000
2020/04/26,1000
2020/04/27,1000
2020/04/28,1000
2020/04/29,1000
2020/04/30,1000
2020/05/01,1000
2020/05/02,1000
2020/05/03,1000
2020/05/04,1000
2020/05/05,1000
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,579.814
2020/07/02,291.115
2020/07/03,194.880
2020/07/04,146.761
2020/07/05,117.888
2020/07/06,98.638
2020/07/07,84.887
2020/07/08,75.180
2020/07/09,67.630
2020/07/10,61.589
2020/07/11,56.646
2020/07/12,52.526
2020/07/13,49.040
2020/07/14,46.052
2020/07/15,54.145
2020/07/16,65.472
2020/07/17,60.618
2020/07/18,43.016
2020/07/19,14.070
2020/07/21,8.453
2020/07/22,6.104
2020/07/23,4.666
2020/07/24,3.925
2020/07/25,3.465
2020/07/26,3.229
2020/07/28,3.497
2020/07/29,3.889
2020/07/30,4.361
2020/07/31,5.107
2020/08/01,5.798
2020/08/02,6.525
2020/08/03,7.115
2020/08/04,7.938
2020/08/05,8.566
2020/08/06,9.447
2020/08/07,10.275
2020/08/08,11.408
2020/08/11,13.756
2020/08/12,17.146
2020/08/13,20.234
2020/08/14,24.580
2020/08/15,27.509
2020/08/16,30.024
2020/08/17,31.875
2020/08/18,30.160
2020/08/19,28.850
2020/08/20,28.058
2020/08/21,26.895
2020/08/22,28.721
2020/08/23,31.266
2020/08/24,34.985
2020/08/25,40.873
2020/08/26,48.970
2020/08/27,58.243
2020/08/28,74.784
2020/08/29,90.934
2020/08/30,110.690
2020/08/31,135.579
2020/09/01,163.867
2020/09/02,199.136
2020/09/03,264.992
2020/09/04,368.671
2020/09/06,424.368
2020/09/07,459.483
2020/09/08,479.740
2020/09/09,461.424
2020/09/10,427.962
2020/09/11,385.731
2020/09/13,340.778
2020/09/15,362.532
2020/09/17,414.844
2020/09/18,505.557
2020/09/19,646.665
2020/09/22,896.317
2020/09/23,1458.034
2020/09/24,3892.136
2020/09/25,11681.263
2020/09/26,1000
2020/09/28,1000
2020/09/29,1000
2020/10/01,1000
2020/10/02,1000
2020/10/03,1000
2020/10/04,1000
2020/10/05,1000
2020/10/06,533.499
2020/10/07,267.957
2020/10/08,179.441
2020/10/09,135.181
2020/10/12,108.623
2020/10/14,90.917
2020/10/15,78.269
2020/10/17,91.054
2020/10/18,108.633
2020/10/20,131.486
2020/10/22,161.765
2020/10/23,209.491
2020/10/25,289.028
2020/10/27,462.826
2020/10/29,403.574
2020/10/30,347.993
2020/11/05,339.046
2020/11/06,32.078
