宮城県,Td
2020/04/01,2.877
2020/04/02,3.044
2020/04/03,3.075
2020/04/04,3.389
2020/04/05,3.651
2020/04/06,4.178
2020/04/07,4.542
2020/04/08,4.964
2020/04/09,5.224
2020/04/10,5.855
2020/04/11,6.214
2020/04/12,6.408
2020/04/13,6.830
2020/04/14,7.399
2020/04/15,7.935
2020/04/16,9.201
2020/04/17,10.323
2020/04/18,12.634
2020/04/19,16.667
2020/04/20,21.257
2020/04/21,28.965
2020/04/22,43.122
2020/04/23,60.301
2020/04/24,91.306
2020/04/25,110.086
2020/04/26,115.364
2020/04/27,132.093
2020/04/28,126.876
2020/04/29,127.298
2020/04/30,139.886
2020/05/01,173.377
2020/05/02,227.477
2020/05/03,329.663
2020/05/04,495.712
2020/05/05,993.856
2020/05/06,2986.424
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,2991.276
2020/06/15,1496.850
2020/06/16,998.708
2020/06/17,749.636
2020/06/18,500.564
2020/06/19,376.027
2020/06/20,274.133
2020/06/21,251.893
2020/06/22,216.599
2020/06/23,190.129
2020/06/24,152.826
2020/06/25,139.592
2020/06/26,128.564
2020/06/27,124.099
2020/06/28,115.443
2020/06/29,108.149
2020/06/30,98.689
2020/07/01,102.578
2020/07/02,103.204
2020/07/03,103.830
2020/07/04,104.456
2020/07/05,101.873
2020/07/06,109.314
2020/07/07,110.285
2020/07/08,98.162
2020/07/09,84.281
2020/07/10,71.034
2020/07/11,60.533
2020/07/12,45.180
2020/07/13,33.702
2020/07/14,28.573
2020/07/15,25.001
2020/07/16,22.868
2020/07/17,21.402
2020/07/18,20.282
2020/07/19,22.107
2020/07/21,25.674
2020/07/22,28.552
2020/07/23,32.906
2020/07/24,36.686
2020/07/25,40.198
2020/07/26,44.225
2020/07/28,40.952
2020/07/29,36.765
2020/07/30,34.465
2020/07/31,32.076
2020/08/01,31.332
2020/08/02,31.223
2020/08/03,31.448
2020/08/04,33.572
2020/08/05,36.806
2020/08/06,42.004
2020/08/07,49.439
2020/08/08,58.429
2020/08/11,75.302
2020/08/12,101.388
2020/08/13,133.311
2020/08/14,176.395
2020/08/15,221.625
2020/08/16,249.484
2020/08/17,250.842
2020/08/18,209.760
2020/08/19,175.471
2020/08/20,158.528
2020/08/21,144.665
2020/08/22,138.796
2020/08/23,142.366
2020/08/24,143.121
2020/08/25,129.728
2020/08/26,121.015
2020/08/27,106.257
2020/08/28,91.070
2020/08/29,66.091
2020/08/30,50.301
2020/08/31,40.909
2020/09/01,35.917
2020/09/02,32.261
2020/09/03,28.581
2020/09/04,24.804
2020/09/06,22.547
2020/09/07,20.732
2020/09/08,19.047
2020/09/09,17.534
2020/09/10,15.614
2020/09/11,14.694
2020/09/13,14.628
2020/09/15,15.297
2020/09/17,16.322
2020/09/18,17.940
2020/09/19,19.953
2020/09/22,24.604
2020/09/23,30.420
2020/09/24,36.494
2020/09/25,40.787
2020/09/26,44.333
2020/09/28,47.402
2020/09/29,50.577
2020/10/01,50.437
2020/10/02,49.266
2020/10/03,45.140
2020/10/04,41.707
2020/10/05,39.086
2020/10/06,36.064
2020/10/07,33.416
2020/10/08,30.381
2020/10/09,28.553
2020/10/12,29.353
2020/10/14,30.734
2020/10/15,30.971
2020/10/17,30.683
2020/10/18,28.263
2020/10/20,23.613
2020/10/22,20.102
2020/10/23,17.261
2020/10/25,15.090
2020/10/27,13.846
2020/10/29,13.089
2020/10/30,13.107
2020/11/05,14.695
2020/11/06,9.994
