富山県,Td
2020/04/01,1.851
2020/04/02,2.193
2020/04/03,2.687
2020/04/04,3.275
2020/04/05,3.725
2020/04/06,4.348
2020/04/07,4.567
2020/04/08,4.213
2020/04/09,3.989
2020/04/10,3.867
2020/04/11,3.978
2020/04/12,4.024
2020/04/13,4.001
2020/04/14,4.040
2020/04/15,4.456
2020/04/16,4.929
2020/04/17,5.304
2020/04/18,5.466
2020/04/19,5.601
2020/04/20,5.625
2020/04/21,6.042
2020/04/22,6.620
2020/04/23,7.044
2020/04/24,7.446
2020/04/25,8.538
2020/04/26,10.204
2020/04/27,12.797
2020/04/28,15.319
2020/04/29,17.670
2020/04/30,21.526
2020/05/01,26.632
2020/05/02,31.752
2020/05/03,36.336
2020/05/04,43.065
2020/05/05,54.083
2020/05/06,66.012
2020/05/07,82.823
2020/05/08,119.415
2020/05/09,156.130
2020/05/10,184.852
2020/05/11,176.972
2020/05/12,158.814
2020/05/13,170.471
2020/05/14,167.275
2020/05/15,160.569
2020/05/16,164.430
2020/05/17,185.136
2020/05/18,224.041
2020/05/19,283.118
2020/05/20,364.706
2020/05/21,511.562
2020/05/22,768.559
2020/05/23,1098.983
2020/05/24,1925.042
2020/05/25,3852.512
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,7712.302
2020/06/28,3857.364
2020/06/29,2572.384
2020/06/30,1929.894
2020/07/01,1544.400
2020/07/02,1287.404
2020/07/03,966.158
2020/07/04,859.616
2020/07/05,774.381
2020/07/06,704.644
2020/07/07,646.530
2020/07/08,597.356
2020/07/09,555.207
2020/07/10,598.476
2020/07/11,707.732
2020/07/12,865.546
2020/07/13,974.650
2020/07/14,1114.925
2020/07/15,977.076
2020/07/16,783.115
2020/07/17,560.406
2020/07/18,413.567
2020/07/19,327.910
2020/07/21,281.584
2020/07/22,246.839
2020/07/23,247.294
2020/07/24,247.901
2020/07/25,265.075
2020/07/26,241.932
2020/07/28,216.693
2020/07/29,183.153
2020/07/30,142.355
2020/07/31,103.563
2020/08/01,80.175
2020/08/02,56.985
2020/08/03,46.692
2020/08/04,38.897
2020/08/05,34.392
2020/08/06,31.735
2020/08/07,30.655
2020/08/08,29.902
2020/08/11,33.136
2020/08/12,36.392
2020/08/13,40.648
2020/08/14,43.443
2020/08/15,46.096
2020/08/16,48.017
2020/08/17,51.216
2020/08/18,49.006
2020/08/19,47.027
2020/08/20,48.179
2020/08/21,49.749
2020/08/22,50.514
2020/08/23,51.501
2020/08/24,50.025
2020/08/25,48.732
2020/08/26,47.362
2020/08/27,43.113
2020/08/28,42.350
2020/08/29,43.219
2020/08/30,44.082
2020/08/31,47.628
2020/09/01,53.587
2020/09/02,61.906
2020/09/03,76.017
2020/09/04,90.830
2020/09/06,111.158
2020/09/07,142.559
2020/09/08,174.537
2020/09/09,204.029
2020/09/10,228.765
2020/09/11,299.237
2020/09/13,383.305
2020/09/15,445.835
2020/09/17,512.604
2020/09/18,554.584
2020/09/19,603.864
2020/09/22,632.966
2020/09/23,480.933
2020/09/24,388.157
2020/09/25,311.224
2020/09/26,255.253
2020/09/28,230.702
2020/09/29,210.547
2020/10/01,217.474
2020/10/02,232.213
2020/10/03,258.076
2020/10/04,316.077
2020/10/05,431.900
2020/10/06,620.740
2020/10/07,1021.697
2020/10/08,1431.833
2020/10/09,2388.007
2020/10/12,4778.441
2020/10/14,7168.874
2020/10/15,7168.874
2020/10/17,7168.874
2020/10/18,1000
2020/10/20,1000
2020/10/22,1000
2020/10/23,7173.726
2020/10/25,3588.076
2020/10/27,2392.859
2020/10/29,1795.250
2020/10/30,1305.856
2020/11/05,1105.328
2020/11/06,98.665
