徳島県,Td
2020/04/01,3.381
2020/04/02,5.028
2020/04/03,7.504
2020/04/04,11.967
2020/04/05,22.962
2020/04/06,48.480
2020/04/07,1000
2020/04/08,1000
2020/04/09,1000
2020/04/10,1000
2020/04/11,1000
2020/04/12,1000
2020/04/13,1000
2020/04/14,1000
2020/04/15,1000
2020/04/16,53.336
2020/04/17,27.829
2020/04/18,19.307
2020/04/19,15.032
2020/04/20,12.458
2020/04/21,10.735
2020/04/22,9.498
2020/04/23,11.556
2020/04/24,14.420
2020/04/25,18.697
2020/04/26,25.802
2020/04/27,39.980
2020/04/28,82.461
2020/04/29,1000
2020/04/30,1000
2020/05/01,1000
2020/05/02,1000
2020/05/03,1000
2020/05/04,1000
2020/05/05,1000
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,172.236
2020/06/22,87.314
2020/06/23,59.000
2020/06/24,44.838
2020/06/25,36.336
2020/06/26,30.666
2020/06/27,26.612
2020/06/28,31.476
2020/06/29,38.280
2020/06/30,48.480
2020/07/01,65.472
2020/07/02,41.195
2020/07/03,30.781
2020/07/04,24.990
2020/07/05,17.993
2020/07/06,14.276
2020/07/07,11.967
2020/07/08,10.389
2020/07/09,11.753
2020/07/10,13.370
2020/07/11,15.322
2020/07/12,20.119
2020/07/13,28.381
2020/07/14,46.052
2020/07/15,110.770
2020/07/16,167.383
2020/07/17,337.210
2020/07/18,1000
2020/07/19,172.236
2020/07/21,44.838
2020/07/22,26.612
2020/07/23,17.754
2020/07/24,11.967
2020/07/25,9.002
2020/07/26,7.306
2020/07/28,6.493
2020/07/29,6.529
2020/07/30,6.461
2020/07/31,6.131
2020/08/01,6.087
2020/08/02,6.095
2020/08/03,6.133
2020/08/04,6.187
2020/08/05,6.024
2020/08/06,5.867
2020/08/07,6.182
2020/08/08,6.752
2020/08/11,7.454
2020/08/12,8.229
2020/08/13,8.883
2020/08/14,9.580
2020/08/15,10.870
2020/08/16,12.357
2020/08/17,13.940
2020/08/18,15.824
2020/08/19,17.757
2020/08/20,20.932
2020/08/21,23.601
2020/08/22,24.547
2020/08/23,25.352
2020/08/24,25.002
2020/08/25,24.614
2020/08/26,24.748
2020/08/27,23.793
2020/08/28,25.174
2020/08/29,26.930
2020/08/30,28.519
2020/08/31,30.648
2020/09/01,32.477
2020/09/02,34.654
2020/09/03,38.623
2020/09/04,42.387
2020/09/06,51.868
2020/09/07,63.595
2020/09/08,80.277
2020/09/09,108.074
2020/09/10,153.281
2020/09/11,246.960
2020/09/13,413.631
2020/09/15,496.844
2020/09/17,621.663
2020/09/18,829.695
2020/09/19,1245.757
2020/09/22,2493.943
2020/09/23,2496.369
2020/09/24,2498.795
2020/09/25,1666.671
2020/09/26,1250.609
2020/09/28,834.547
2020/09/29,626.515
2020/10/01,501.696
2020/10/02,502.181
2020/10/03,502.666
2020/10/04,503.152
2020/10/05,503.637
2020/10/06,630.154
2020/10/07,841.016
2020/10/08,390.210
2020/10/09,231.786
2020/10/12,146.726
2020/10/14,105.587
2020/10/15,82.730
2020/10/17,67.277
2020/10/18,56.807
2020/10/20,59.108
2020/10/22,63.017
2020/10/23,74.911
2020/10/25,90.630
2020/10/27,114.208
2020/10/29,153.500
2020/10/30,222.893
2020/11/05,224.058
2020/11/06,103.594
