愛媛県,Td
2020/04/01,4.417
2020/04/02,4.732
2020/04/03,4.885
2020/04/04,5.181
2020/04/05,5.316
2020/04/06,5.386
2020/04/07,5.444
2020/04/08,5.126
2020/04/09,5.654
2020/04/10,6.346
2020/04/11,7.210
2020/04/12,8.126
2020/04/13,9.339
2020/04/14,10.386
2020/04/15,12.875
2020/04/16,14.828
2020/04/17,17.123
2020/04/18,19.554
2020/04/19,22.530
2020/04/20,25.247
2020/04/21,33.685
2020/04/22,41.869
2020/04/23,54.549
2020/04/24,73.562
2020/04/25,103.976
2020/04/26,174.931
2020/04/27,529.676
2020/04/28,798.157
2020/04/29,800.583
2020/04/30,534.528
2020/05/01,401.501
2020/05/02,321.684
2020/05/03,268.472
2020/05/04,230.463
2020/05/05,269.280
2020/05/06,323.624
2020/05/07,405.140
2020/05/08,271.706
2020/05/09,62.416
2020/05/10,36.235
2020/05/11,25.978
2020/05/12,20.049
2020/05/13,16.239
2020/05/14,13.684
2020/05/15,12.359
2020/05/16,14.286
2020/05/17,16.385
2020/05/18,18.835
2020/05/19,22.115
2020/05/20,27.331
2020/05/21,36.055
2020/05/22,48.342
2020/05/23,47.111
2020/05/24,51.384
2020/05/25,58.892
2020/05/26,70.454
2020/05/27,87.079
2020/05/28,108.764
2020/05/29,144.143
2020/05/30,229.654
2020/05/31,345.701
2020/06/01,554.584
2020/06/02,925.927
2020/06/03,1390.105
2020/06/04,2782.639
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,1000
2020/07/07,1000
2020/07/08,1000
2020/07/09,1000
2020/07/10,1000
2020/07/11,1000
2020/07/12,1000
2020/07/13,1000
2020/07/14,2787.491
2020/07/15,1394.957
2020/07/16,930.779
2020/07/17,698.690
2020/07/18,466.599
2020/07/19,311.871
2020/07/21,201.350
2020/07/22,149.251
2020/07/23,118.858
2020/07/24,98.945
2020/07/25,84.887
2020/07/26,72.753
2020/07/28,62.580
2020/07/29,55.224
2020/07/30,51.237
2020/07/31,47.873
2020/08/01,44.996
2020/08/02,41.450
2020/08/03,38.619
2020/08/04,38.337
2020/08/05,40.835
2020/08/06,43.001
2020/08/07,44.774
2020/08/08,46.052
2020/08/11,50.075
2020/08/12,61.204
2020/08/13,73.199
2020/08/14,80.358
2020/08/15,91.075
2020/08/16,108.011
2020/08/17,137.190
2020/08/18,162.320
2020/08/19,156.263
2020/08/20,150.691
2020/08/21,157.679
2020/08/22,158.285
2020/08/23,165.696
2020/08/24,181.940
2020/08/25,225.325
2020/08/26,295.407
2020/08/27,427.783
2020/08/28,642.891
2020/08/29,1288.213
2020/08/30,3869.494
2020/08/31,1000
2020/09/01,1000
2020/09/02,1000
2020/09/03,1000
2020/09/04,1000
2020/09/06,1000
2020/09/07,1000
2020/09/08,1000
2020/09/09,1000
2020/09/10,1000
2020/09/11,1000
2020/09/13,1000
2020/09/15,1000
2020/09/17,1000
2020/09/18,1000
2020/09/19,1000
2020/09/22,1000
2020/09/23,1000
2020/09/24,1000
2020/09/25,1000
2020/09/26,1000
2020/09/28,3874.346
2020/09/29,1938.385
2020/10/01,1293.065
2020/10/02,970.404
2020/10/03,776.808
2020/10/04,647.743
2020/10/05,555.554
2020/10/06,648.552
2020/10/07,649.360
2020/10/08,650.169
2020/10/09,650.978
2020/10/12,651.786
2020/10/14,652.595
2020/10/15,653.404
2020/10/17,560.406
2020/10/18,654.212
2020/10/20,785.541
2020/10/22,982.534
2020/10/23,1310.855
2020/10/25,1312.473
2020/10/27,1314.090
2020/10/29,1315.707
2020/10/30,987.386
2020/11/05,790.393
2020/11/06,13.222
